number,string,,number,string,number,number,number,number,number,number,number,string,cmd,cmd,cmd,cmd,cmd,cmd,cmd,number,number;num,number;num,number;num,number;num,number;num,number;num,number;num,number;num,string,number,number,number;num,number;num,,cmd,,cmd,cmd,,,,
108,相借灵物,14,13,0,1,0,,,1,11,99,all,,CheckTaskFinished(104),,GetItemSpace >= 1,,,,0,13,20,0,0,0,0,0,0,,0,,0,99,31 ,AddExp(3720);AddNimbus(1860);AddMoney(1116),,,,"em;AddItemEx(259,0,1,1)
fm;AddItemEx(268,0,1,1)
bh;AddItemEx(277,0,1,1)
qc;AddItemEx(602,0,1,1)
xq;AddItemEx(680,0,1,1)",0,,
109,擒贼擒王,14,16,1,1,0,,,1,14,99,all,,CheckTaskFinished(107),,GetItemSpace >= 1,,,,0,236;237,20;1,0,0,0,0,0,0,,0,,0,99,36 ,AddExp(4860);AddNimbus(2430);AddMoney(1512),,,,"em;AddItemEx(6,0,151,1)
fm;AddItemEx(26,0,151,1)
bh;AddItemEx(56,0,151,1)
qc;AddItemEx(552,0,151,1)
xq;AddItemEx(630,0,151,1)",0,,
110,"
开光佛珠",14,13,0,1,0,,,1,11,99,all,,"CheckTaskFinished(108)
GetTaskItemSpace >= 1",,GetItemSpace >= 1,,,,0,0,0,237,15,14,237,0.5,15,,0,,0,99,36 ,AddExp(4320);AddNimbus(2160);AddMoney(1296),,,,"em;AddItemEx(86,0,1,1)
fm;AddItemEx(113,0,1,1)
bh;AddItemEx(140,0,1,1)
qc;AddItemEx(584,0,1,1)
xq;AddItemEx(662,0,1,1)",0,,
112,仙灵蜈蚣,14,14,1,1,0,,,1,12,99,all,,CheckTaskFinished(110),,,,,,0,24,1,0,0,0,0,0,0,,0,,0,99,24 ,AddExp(3000);AddNimbus(1500);AddMoney(936),,,,,0,,
116,飘荡的鬼火 ,14,17,0,1,0,,,1,15,99,all,,GetTaskItemSpace >= 1,,,,,,0,0,0,209,15,15,209,0.5,15,,0,,0,99,36 ,AddExp(5040);AddNimbus(2520);AddMoney(1512),,,,,0,,
117,云灵异变 ,14,18,0,1,0,,,1,15,99,all,,,,,,,,0,16,30,0,0,0,0,0,0,,0,,0,99,36 ,AddExp(5220);AddNimbus(2610);AddMoney(1620),,,,,0,,
118,怨灵的游荡 ,14,19,0,1,0,,,1,16,99,all,,,,,,,,0,17,30,0,0,0,0,0,0,,0,,0,99,36 ,AddExp(5400);AddNimbus(2700);AddMoney(1620),,,,,0,,
122,灵魂的守护者,14,20,0,1,0,,,1,17,99,all,,CheckTaskFinished(118),,,,,,0,18,30,0,0,0,0,0,0,,0,,0,99,36 ,AddExp(5580);AddNimbus(2790);AddMoney(1728),,,,,0,,
124,被放逐的野鬼,14,16,0,1,0,,,1,15,99,all,,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,6 ,AddExp(810);AddNimbus(405);AddMoney(252),,,,,0,,
151,农田破坏者,15,21,0,1,0,,,1,19,99,all,,,,,,,,0,22,30,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(4800);AddNimbus(2400);AddMoney(1440),,,,,0,,
152,挡路的山精,15,21,0,1,0,,,1,19,99,all,,,,,,,,0,19,30,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(4800);AddNimbus(2400);AddMoney(1440),,,,,0,,
153,打倒帮凶,15,21,0,1,0,,,1,19,99,all,,,,,,,,0,28,30,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(4800);AddNimbus(2400);AddMoney(1440),,,,,0,,
154,作恶多端,15,22,1,1,0,,,1,20,99,all,,,,,,,,0,31,1,0,0,0,0,0,0,,0,,0,99,20 ,AddExp(3300);AddNimbus(1650);AddMoney(1020),,,,,0,,
155,收集药材,15,22,0,1,0,,,1,20,99,all,,GetTaskItemSpace >= 1,,GetItemSpace >= 1,,,,0,0,0,377,16,21,377,0.5,16,,0,,0,99,32 ,AddExp(5280);AddNimbus(2640);AddMoney(1632),,,,"em;AddItemEx(260,0,1,1)
fm;AddItemEx(269,0,1,1)
bh;AddItemEx(278,0,1,1)
qc;AddItemEx(603,0,1,1)
xq;AddItemEx(681,0,1,1)",0,,
158,恶斗粉蝴蝶,15,23,1,1,0,,,1,21,99,all,,CheckTaskFinished(159),,,,,,0,32;249,1;20,0,0,0,0,0,0,,0,,0,99,30,AddExp(5100);AddNimbus(2550);AddMoney(1530),,,,,0,,
159,清理武候祠,15,23,0,1,0,,,1,21,99,all,,,,,,,,0,20,30,0,0,0,0,0,0,,0,,0,99,30,AddExp(5100);AddNimbus(2550);AddMoney(1530),,,,,0,,
162,进香,15,24,0,1,0,,,1,22,99,all,,CheckTaskFinished(159),,,,,,0,241,30,0,0,0,0,0,0,,0,,0,99,30,AddExp(5250);AddNimbus(2625);AddMoney(1620),,,,,0,,
803,恩怨情仇,20,21,1,1,0,,,1,20,99,all,,"CheckTaskFinished(802)
GetTaskItemSpace >= 1",AddItem(4041),,,"RemoveItem(4041,1)","RemoveItem(4041,1)",0,157,1,0,0,0,0,0,0,,0,,0,99,40 ,AddExp(6400);AddNimbus(3200);AddMoney(1920),,,,,0,,
161,碧筠庵盗影,15,23,0,1,0,,,1,21,99,all,,"CheckTaskFinished(160)
GetTaskItemSpace >= 1",AddItem(214),GetItemSpace >= 1,,"RemoveItem(214,1)","RemoveItem(214,1)",0,23,30,214,1,0,0,0,0,,0,,0,99,30,AddExp(5100);AddNimbus(2550);AddMoney(1530),,,,"em;AddItemEx(87,0,1,1)
fm;AddItemEx(114,0,1,1)
bh;AddItemEx(141,0,1,1)
qc;AddItemEx(585,0,1,1)
xq;AddItemEx(663,0,1,1)",0,,
165,游荡的凶灵,15,25,0,1,0,,,1,23,99,all,,,,,,,,0,26,30,0,0,0,0,0,0,,0,,0,99,30,AddExp(5400);AddNimbus(2700);AddMoney(1620),,,,,0,,
167,树林中的敌踪,16,25,0,1,0,,,1,23,99,all,,,,GetItemSpace >= 1,,,,0,30,30,0,0,0,0,0,0,,0,,0,99,30,AddExp(5400);AddNimbus(2700);AddMoney(1620),,,,"em;AddItemEx(96,0,1,1)
fm;AddItemEx(123,0,1,1)
bh;AddItemEx(150,0,1,1)
qc;AddItemEx(594,0,1,1)
xq;AddItemEx(672,0,1,1)",0,,
171,击破采花贼,16,26,0,1,0,,,1,24,99,all,,,,,,,,0,27,30,0,0,0,0,0,0,,0,,0,99,30,AddExp(5550);AddNimbus(2775);AddMoney(1710),,,,,0,,
174,八臂熊毛太,16,27,1,1,0,,,1,23,99,all,,,,,,,,0,122;255,1;20,0,0,0,0,0,0,,0,,0,99,30,AddExp(5700);AddNimbus(2850);AddMoney(1710),,,,,0,,
175,慈云僧兵,16,27,0,1,0,,,1,23,99,all,,,,,,,,0,124,30,0,0,0,0,0,0,,0,,0,99,30,AddExp(5700);AddNimbus(2850);AddMoney(1710),,,,,0,,
178,武当女侠,16,28,1,1,0,,,1,25,99,all,,,,,,,,0,123;245,1;20,0,0,0,0,0,0,,0,,0,99,30,AddExp(5850);AddNimbus(2925);AddMoney(1800),,,,,0,,
183,英雄帖,16,29,0,1,0,,,1,26,99,all,,,,,,,,0,246,30,0,0,0,0,0,0,,0,,0,99,30,AddExp(6000);AddNimbus(3000);AddMoney(1800),,,,,0,,
78,荆棘潜伏者,17,11,0,1,0,,,1,9,99,all,,CheckTaskFinished(77),,GetItemSpace >= 1,,,,0,117,15,0,0,0,0,0,0,,0,,0,99,22 ,AddExp(2420);AddNimbus(1210);AddMoney(726),"AddItemEx(532,0,0,1)",,,,0,,
79,死水毒蝇,17,12,0,1,0,,,1,10,99,all,,,,,,,,0,73,24,0,0,0,0,0,0,,0,,0,99,24 ,AddExp(2760);AddNimbus(1380);AddMoney(864),,,,,0,,
80,山民前哨,24,12,0,1,0,,,1,10,99,all,,,,,,,,0,77,16,0,0,0,0,0,0,,0,,0,99,26 ,AddExp(2990);AddNimbus(1495);AddMoney(936),,,,,0,,
81,最强的勇士,24,13,0,1,0,,,1,11,99,all,,,,,,,,0,0,0,412,14,78,412,0.5,14,,0,,0,99,28 ,AddExp(3360);AddNimbus(1680);AddMoney(1008),,,,,0,,
82,长老的委托,24,14,0,1,0,,,1,12,99,all,,,,,,,,0,0,0,413,13,85,413,0.5,13,,0,,0,99,26 ,AddExp(3250);AddNimbus(1625);AddMoney(1014),,,,"em;AddItemEx(77,0,1,1)
fm;AddItemEx(104,0,1,1)
bh;AddItemEx(131,0,1,1)
qc;AddItemEx(575,0,1,1)
xq;AddItemEx(653,0,1,1)",0,,
84,野骡的侵袭,24,14,0,1,0,,,1,12,99,all,,,,,,,,0,85,16,0,0,0,0,0,0,,0,,0,99,28 ,AddExp(3500);AddNimbus(1750);AddMoney(1092),,,,,0,,
86,山神传说,24,15,0,1,0,,,1,13,99,all,,CheckTaskFinished(84),,GetItemSpace >= 1,,,,0,0,0,414,15,350,414,0.5,15,,0,,0,99,30 ,AddExp(3900);AddNimbus(1950);AddMoney(1170),,,,"em;AddItemEx(86,0,1,1)
fm;AddItemEx(113,0,1,1)
bh;AddItemEx(140,0,1,1)
qc;AddItemEx(584,0,1,1)
xq;AddItemEx(662,0,1,1)",0,,
87,主仆重逢,24,16,0,1,0,,,1,14,99,all,,,,,,,,0,88,16,0,0,0,0,0,0,,0,,0,99,28 ,AddExp(3780);AddNimbus(1890);AddMoney(1176),,,,,0,,
89,林中水源,24,17,0,1,0,,,1,15,99,all,,,,,,,,0,352,30,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(4200);AddNimbus(2100);AddMoney(1260),,,,,0,,
91,严寒的威胁,24,18,0,1,0,,,1,16,99,all,,,,,,,,0,0,0,415,16,86,415,0.5,16,,0,,0,99,32 ,AddExp(4640);AddNimbus(2320);AddMoney(1440),,,,,0,,
93,寨主黑神,24,18,1,1,0,,,1,17,99,all,,CheckTaskFinished(81),,,,,,0,95;79,1;10,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(4350);AddNimbus(2175);AddMoney(1350),,,,,0,,
95,兄弟手足,24,19,0,1,0,,,1,17,99,all,,,,,,,,0,74,18,0,0,0,0,0,0,,0,,0,99,32 ,AddExp(4800);AddNimbus(2400);AddMoney(1440),,,,,0,,
96,解救灵兽,24,20,0,1,0,,,1,18,99,all,,,,GetItemSpace >= 1,,,,0,0,0,416,16,356,416,0.5,16,,0,,0,99,32 ,AddExp(4960);AddNimbus(2480);AddMoney(1536),,,,"em;AddItemEx(6,0,152,1)
fm;AddItemEx(26,0,152,1)
bh;AddItemEx(56,0,152,1)
qc;AddItemEx(552,0,152,1)
xq;AddItemEx(630,0,152,1)",0,,
97,诡异法阵,24,20,0,1,0,,,1,18,99,all,,CheckTaskFinished(95),,,,,,0,356,20,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(4650);AddNimbus(2325);AddMoney(1440),,,,,0,,
172,被困的举子(副本),21,26,11,1,0,,,1,22,99,all,,GetTaskItemSpace >= 1,,GetItemSpace >= 3,,,,0,0,0,378,1,261,378,1,1,,0,,0,99,20,AddExp(3700);AddNimbus(1850);AddMoney(1140),"AddItemEx(3970,0,0,1)
AddItemEx(404,0,0,1)
AddItemEx(401,0,0,1)",,,,0,,
179,金屋藏娇,16,28,1,1,0,,,1,25,99,all,,,,,,,,0,69;68,1;20,0,0,0,0,0,0,,0,,0,99,30,AddExp(5850);AddNimbus(2925);AddMoney(1800),,,,,0,,
181,慈云金刚,16,29,0,1,0,,,1,26,99,all,,,,,,,,0,121,30,0,0,0,0,0,0,,0,,0,99,26,AddExp(5200);AddNimbus(2600);AddMoney(1560),,,,,0,,
88,藤须洞异兽,27,16,11,1,0,,,1,14,99,all,,CheckTaskFinished(87),,,,,,0,351,1,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(4050);AddNimbus(2025);AddMoney(1260),,,,"em;AddItemEx(313,0,1,1)
fm;AddItemEx(322,0,1,1)
bh;AddItemEx(331,0,1,1)
qc;AddItemEx(620,0,1,1)
xq;AddItemEx(698,0,1,1)",0,,
90,虎王平坡,27,17,11,1,0,,,1,15,99,all,,,,GetItemSpace >= 1,,,,0,353,1,0,0,0,0,0,0,,0,,0,99,40 ,AddExp(5600);AddNimbus(2800);AddMoney(1680),,,,"em;AddItemEx(286,0,1,1)
fm;AddItemEx(295,0,1,1)
bh;AddItemEx(304,0,1,1)
qc;AddItemEx(611,0,1,1)
xq;AddItemEx(689,0,1,1)",0,,
94,桃源土著,27,18,11,1,0,,,1,16,99,all,,,,,,,,0,355,1,0,0,0,0,0,0,,0,,0,99,40 ,AddExp(5800);AddNimbus(2900);AddMoney(1800),,,,,0,,
99,妖道邪法 ,27,20,11,1,0,,,1,18,99,all,,CheckTaskFinished(97),,GetItemSpace >= 1,,,,0,94,1,0,0,0,0,0,0,,0,,0,99,40 ,AddExp(6200);AddNimbus(3100);AddMoney(1920),"AddItemEx(382,0,0,1)
AddItemEx(4443,0,0,1)
AddItemEx(344,0,0,1)",,,,0,,
111,消灭毒菌(副本) ,20,17,11,1,0,,,1,14,99,all,,GetTaskItemSpace >= 1,,,,,,0,0,0,339,5,174,339,1,5,,0,,0,99,18 ,AddExp(2520);AddNimbus(1260);AddMoney(756),,,,,0,,
113,邪恶的毒菌(副本) ,20,17,11,1,0,,,1,15,99,all,,CheckTaskFinished(111),,GetItemSpace >= 2,,,,0,156,1,0,0,0,0,0,0,,0,,0,99,24 ,AddExp(3360);AddNimbus(1680);AddMoney(1008),"AddItemEx(344,0,0,1)
AddItemEx(404,0,0,1)",,,,0,,
114,神秘的祭坛(副本),20,16,11,1,0,,,1,12,99,all,,"CheckTaskFinished(103)
GetTaskItemSpace >= 1",,GetItemSpace >= 1,,,,0,0,0,340,10,146;147;148;149;154;155;169;170;171;172;,340;340;340;340;340;340;340;340;340;340,0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5,10;10;10;10;10;10;10;10;10;10,,0,,0,99,36 ,AddExp(4860);AddNimbus(2430);AddMoney(1512),,,,"em;AddItemEx(313,0,1,1)
fm;AddItemEx(322,0,1,1)
bh;AddItemEx(331,0,1,1)
qc;AddItemEx(620,0,1,1)
xq;AddItemEx(698,0,1,1)",0,,
115,远古石像(副本),20,18,11,1,0,,,1,14,99,all,,CheckTaskFinished(114),,,,,,0,158,1,0,0,0,0,0,0,,0,,0,99,24 ,AddExp(3480);AddNimbus(1740);AddMoney(1080),"AddItemEx(4443,0,0,1)
AddItemEx(404,0,0,1)",,,,0,,
120,灵魂的怨气(副本) ,20,20,11,1,0,,,1,18,99,all,,CheckTaskFinished(119),,,,,,0,157,1,0,0,0,0,0,0,,0,,0,99,42 ,AddExp(6510);AddNimbus(3255);AddMoney(2016),,,,,0,,
121,超度亡魂(副本),20,20,11,1,0,,,1,18,99,all,,CheckTaskFinished(116),,GetItemSpace >= 1,,,,0,159,1,0,0,0,0,0,0,,0,,0,99,42 ,AddExp(6510);AddNimbus(3255);AddMoney(2016),"AddItemEx(382,0,0,1)",,,"em;AddItemEx(67,0,202,1)
fm;AddItemEx(68,0,202,1)
bh;AddItemEx(74,0,202,1)
qc;AddItemEx(572,0,202,1)
xq;AddItemEx(650,0,202,1)",0,,
163,望江矮叟,15,24,0,1,0,,,1,22,99,all,,CheckTaskFinished(188),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,5,AddExp(875);AddNimbus(438);AddMoney(270),,,,,0,,
177,金身罗汉(副本),16,27,11,1,0,,,1,25,99,all,,,,GetItemSpace >= 1,,,,0,263,1,0,0,0,0,0,0,,0,,0,99,40,AddExp(7600);AddNimbus(3800);AddMoney(2280),,"AddItemEx(240,0,52,1)
AddItemEx(240,0,51,1)",,,0,,
180,欢喜殿(副本),21,28,11,1,0,,,1,24,99,all,,,,GetItemSpace >= 1,,,,0,266,1,0,0,0,0,0,0,,0,,0,99,40,AddExp(7800);AddNimbus(3900);AddMoney(2400),,,,"em;AddItemEx(78,0,1,1)
fm;AddItemEx(105,0,1,1)
bh;AddItemEx(132,0,1,1)
qc;AddItemEx(576,0,1,1)
xq;AddItemEx(654,0,1,1)",0,,
182,绿袍老祖(副本),21,29,11,1,0,,,1,26,99,all,,,,GetItemSpace >= 1,,,,0,262,1,0,0,0,0,0,0,,0,,0,99,40,AddExp(8000);AddNimbus(4000);AddMoney(2400),,,,"em;AddItemEx(66,0,202,1)
fm;AddItemEx(69,0,202,1)
bh;AddItemEx(75,0,202,1)
qc;AddItemEx(573,0,202,1)
xq;AddItemEx(651,0,202,1)",0,,
186,清理欢喜殿(副本),21,30,11,1,0,,,1,28,99,all,,,,GetItemSpace >= 1,,,,0,264,1,0,0,0,0,0,0,,0,,0,99,40,AddExp(8200);AddNimbus(4100);AddMoney(2520),,,,"em;AddItemEx(7,0,152,1)
fm;AddItemEx(27,0,152,1)
bh;AddItemEx(57,0,152,1)
qc;AddItemEx(553,0,152,1)
xq;AddItemEx(631,0,152,1)",0,,
300,四象神兽,15,25,0,1,0,,,1,25,99,all,,GetTaskItemSpace >= 1,,GetItemSpace >= 1,,,,0,0,0,803;804;805,1;1;1,94;159;264,803;804;805,1;1;1,1;1;1;,,0,,0,99,20 ,AddExp(3600);AddNimbus(1800);AddMoney(1080),"AddItem (1200,1)",,,,0,,
807,入虎穴杀妖道,27,23,1,1,0,,,1,20,99,all,,CheckTaskFinished(806),,,,,,0,351;353;355;94;,1;1;1;1,4051,1,94,4051,1,1,,0,,0,99,48 ,AddExp(8160);AddNimbus(4080);AddMoney(2448),,,,,0,,
98,古城冤魂,27,20,11,1,0,,,1,18,99,all,,CheckTaskFinished(96),,GetItemSpace >= 1,,,,0,357,30,0,0,0,0,0,0,,0,,0,99,40 ,AddExp(6200);AddNimbus(3100);AddMoney(1920),,,,"em;AddItemEx(67,0,202,1)
fm;AddItemEx(68,0,202,1)
bh;AddItemEx(74,0,202,1)
qc;AddItemEx(572,0,202,1)
xq;AddItemEx(650,0,202,1)",0,,
522,广交好友之一,13,6,0,1,,,,0,6,99,all,,,,,GetFriendsNum>=5,,,0,0,0,0,0,0,0,0,0,,0,,0,99 ,,AddExp(1000);AddNimbus(500),,,,,,,
523,广交好友之二,13,8,0,1,,,,0,8,99,all,,,,,GetFriendsNum>=15,,,0,0,0,0,0,0,0,0,0,,0,,0,99 ,,AddExp(2000);AddNimbus(1000),,,,,,,
524,广交好友之三,13,10,0,1,,,,0,10,99,all,,,,,GetFriendsNum>=30,,,0,0,0,0,0,0,0,0,0,,0,,0,99 ,,AddExp(4000);AddNimbus(2000),,,,,,,
660,储备物资,15,25,0,1,,,,1,23,99,all,,,,,,,,0,0,0,4538,10,26,4538,0.5,10,,,,0,99,20 ,AddExp(3600);AddNimbus(1800);AddMoney(1080),,,,,,,
661,毛太恶行,15,26,0,1,,,,1,24,99,all,,,,,,,,0,0,0,4539,10,5045,4539,1,10,,,,0,99,20 ,AddExp(3700);AddNimbus(1850);AddMoney(1140),,,,,,,
662,捉拿逃匪,15,27,0,1,,,,1,25,99,all,,,AddItem(4542),,,"RemoveItem(4542,1)","RemoveItem(4542,1)",0,0,0,0,0,0,0,0,0,3,244,1,0,99,20 ,AddExp(3800);AddNimbus(1900);AddMoney(1140),,,,,,,
855,"有福同享,有难同当",15,30,0,0,1,,,1,30,99,all,,"GuildOfficial>=4
GetGuildUserDataInt(""GuildTask855"")!=Day",,,"GetServerHour>18
GetServerHour<22
GetGuildUserDataInt(""GuildTask855"")!=Day","CreateNpc(5214,9,399,127,0)
SetGuildUserDataInt(""GuildTask855"",Day)",,0,0,0,0,0,0,0,0,0,,0,,0,99,,,,,,,,,
869,妙用灵文符咒之入门篇,15,30,0,0,1,,,,30,99,all,,,,,,,,,,,4928,1,4893,0,0,0,,,,0,99,,AddNimbus(10000);,,,,,,,
870,妙用灵文符咒之进阶篇,15,40,0,0,1,,,,40,99,all,,,,,,,,,,,4928,3,4893,0,0,0,,,,0,99,,AddNimbus(30000);,,,,,,,
871,妙用灵文符咒之高阶篇,15,50,0,0,1,,,,50,99,all,,,,,,,,,,,4928,5,4893,0,0,0,,,,0,99,,AddNimbus(50000);,,,,,,,
874,收回火灵,15,20,0,1,,,,,20,99,all,,,AddItem(4930),,,,,,,,,,,,,,,,,4930,1,,AddExp(2000);,,,,,,,
875,兔子之战,15,20,0,1,,,,,20,99,all,,,,GetItemSpace >= 2,,,,,,,4931,25,22,4931,1,25,,,,0,99,,AddExp(2500);,"AddItemEx(1084,0,0,1)
AddItemEx(4933,0,0,1)",,,,,,
876,重铸佛花,15,20,0,1,,,,,20,99,all,,,,GetItemSpace >= 1,,,,,,,4932;4933;4934;4935;4936;,1;1;1;1;1,3123;156;4640;,4936;4935;4934,1;1;1,1;1;1,,,,,,,AddExp(5500);,"AddItemEx(4963,0,0,0)",,,,,,
884,寻找丢失的项链,15,55,0,0,1,,,1,55,99,all,,,,GetItemSpace >= 1,,,,,,,5580;5581;5582;5583;5584;5585;5586;5587;,1;1;1;1;1;1;1;1,4934;4326;4501;4836;4613;4428;4605;4601,5580;5581;5582;5583;5584;5585;5586;5587;,1;1;1;1;1;1;1;1,1;1;1;1;1;1;1;1,,,,,,,AddExp(2000);,"AddItemEx(5610,0,0,1)",,,,,,
885,寻找丢失的手镯,15,30,0,0,1,,,1,30,99,all,,,,GetItemSpace >= 1,,,,,,,5588;5589;5590;5591;5592;5593;5594;5595;,1;1;1;1;1;1;1;1,3128;3323;159;94;264;121;246;,5589;5590;5591;5592;5593;5594;5595;,1;1;1;1;1;0.15;0.15,1;1;1;1;1;1;1,,,,,,,AddExp(1000);,"AddItemEx(5617,0,0,1)",,,,,,
886,善有善报,15,30,0,0,1,,,1,30,99,all,,,,,,,,,,,5588,1,,,,,,,,,,,AddExp(200);,,,,,,,
887,Best Wishes to Talisman Online,15,5,0,0,1,,,,2,99,all,,,,GetItemSpace >= 2,,,,,,,,,,,,,,,,,,,,"AddItemEx(3918,0,0,1);
AddItemEx(3918,0,0,1)","AddEffect(2306)
AddEffect(2307)",,,,,
888,Best Wishes to Talisman Online,15,20,0,1,,,,,21,99,all,,,,GetItemSpace >= 2,,,,,,,,,,,,,,,,,,,,"AddItemEx(3920,0,0,1);
AddItemEx(3920,0,0,1)","AddEffect(2308)
AddEffect(2309)",,,,,
1000,圣诞快乐（lev15）,15,15,0,1,,,,,15,99,all,,,,GetItemSpace >= 1,,,,,,,,,,,,,,,,,,,,"AddItemEx(5751,0,0,1)",,,,,,
1001,圣诞快乐（lev30）,15,30,0,1,,,,,30,99,all,,,,GetItemSpace >= 1,,,,,,,,,,,,,,,,,,,,"AddItemEx(5752,0,0,1)",,,,,,
1002,圣诞快乐（lev50）,15,50,0,1,,,,,50,99,all,,,,GetItemSpace >= 1,,,,,,,,,,,,,,,,,,,,"AddItemEx(5753,0,0,1)",,,,,,
1003,圣诞快乐（lev70）,15,70,0,1,,,,,70,99,all,,,,GetItemSpace >= 1,,,,,,,,,,,,,,,,,,,,"AddItemEx(5754,0,0,1)",,,,,,
1004,装饰圣诞树,15,10,0,0,1,,,,10,99,all,,,,GetItemSpace >= 2,,,,,,,3760;3761;3762;3763;3764;,15;15;15;15;15,4524;4525;4526;4527;4528;4529;4530;4531;4532;4533;5432;,3760;3760;3761;3761;3762;3762;3763;3763;3764;3764;3764;,0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5,15;15;15;15;15;15;15;15;15;15;15,,,,,,,,"AddItemEx(5755,0,0,1)",,,,,,
840,决战七星,30,60,11,0,,3,,1,55,99,all,,,,,,,,0,4611;4612;4615;4760;4761;4762;4763;4764;4765;4766;4767;,1;1;1;1;1;1;1;1;1;1;1;,0,0,0,0,0,0,,0,,0,99,250 ,"AddCredit(30,2500);AddExp(17750);AddNimbus(2958)",,,,,,,
850,魔宫围剿行动(重复),28,45,11,0,0,3,,1,40,99,all,,,,,,,,0,4303;4308;4309;4310;4319;4320;,10;10;10;10;10;10;,0,0,0,0,0,0,,0,,0,99,60 ,"AddCredit(28,600);AddExp(3360);AddNimbus(560)",,,,,0,,
156,护送道友,15,25,1,0,3,,1,1,25,99,all,,,,,,,,0,0,0,0,0,0,0,0,0,2,254,1,0,99,150,AddMoney(3000);AddNimbus(3000);AddExp(3000),,,,,0,,
166,搭救云从,15,35,1,0,3,,1,1,35,99,all,,,,,,,,0,0,0,0,0,0,0,0,0,2,98,1,0,99,200,AddMoney(6000);AddNimbus(6000);AddExp(6000),,,,,0,,
301,护送紫铃,22,45,1,0,3,,1,1,45,99,all,,,,,,,,0,0,0,0,0,0,0,0,0,2,436,1,0,99,,AddMoney(10000);AddNimbus(10000);AddExp(10000),,,,,0,,
403,百花护法,11,30,11,0,2,,,1,25,99,all,,,,,,,,0,3320;3321;3322;3323;,20;20;20;1,0,0,0,0,0,0,0,0,0,0,99,180 ,AddExp(7380);AddNimbus(6150);AddMoney(3780),,,,,0,,
133,天化村危机,13,7,0,0,0,,,1,5,99,all,,,,,,,,0,222;223,5;5,0,0,0,0,0,0,,0,,0,99,53 ,"AddCredit(13,530);AddExp(954);AddNimbus(159)",,,,,0,,
250,三世神童,26,31,0,1,0,,,1,29,99,all,,,,,,,,0,186,32,0,0,0,0,0,0,,0,,0,99,32 ,AddExp(6720);AddNimbus(3360);AddMoney(2016),,,,,0,,
260,机关总图,26,33,0,1,0,,,1,31,99,all,,,,,,,,0,0,0,425,20,189,425,0.5,20,,0,,0,99,40 ,AddExp(8800);AddNimbus(4400);AddMoney(2640),,,,,0,,
262,修真房之战,26,34,0,1,0,,,1,32,99,all,,CheckTaskFinished(261),,,,,,0,379,35,0,0,0,0,0,0,,0,,0,99,35 ,AddExp(7875);AddNimbus(3938);AddMoney(2415),,,,,0,,
223,村长的忧愁,22,39,0,1,0,,,1,37,99,all,,,,,,,,0,308,30,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(7500);AddNimbus(3750);AddMoney(2250),,,,,0,,
229,试炼身手,22,40,0,1,0,,,1,38,99,all,,CheckTaskFinished(226),,,,,,0,314,30,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(7650);AddNimbus(3825);AddMoney(2340),,,,,0,,
1345,古墓碎片,33,57,11,0,3,,,1,55,99,all,,,,,,,,0,4611;4612;,1;1;,0,0,0,0,0,0,,0,,0,99,,AddExp(0);AddNimbus(0);AddMoney(0),"AddItemEx(4179,0,0,1)",,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,清剿四门山妖孽,34,61,11,1,,,,1,61,99,all,,,,,,,,0,4930;4931;4932;4933,15;15;15;15,0,0,0,0,0,0,,0,,0,99,60 ,AddExp(43200);AddNimbus(21600);AddMoney(6480),,,,,0,,
1401,限时清剿四门山妖孽（15分钟）,34,61,11,1,,,,1,61,99,all,,CheckTaskFinished(1400),,,,,,900,4930;4931;4932;4933,15;15;15;15,0,0,0,0,0,0,,0,,0,99,60 ,AddExp(43200);AddNimbus(21600);AddMoney(6480),,,,,0,,
1402,营救月龙幼童,34,62,11,1,,,,0,61,99,all,,,,,,,,0,0,0,4352,1,4945,4352,1,1,,0,,0,99,40 ,AddExp(29200);AddNimbus(14600);AddMoney(4440),,,,,0,,
1403,解除月龙村危机（护送）,34,63,11,1,,,1,1,62,99,all,,,,,,,,0,0,0,0,0,0,0,0,0,2,4937,1,0,99,60 ,AddExp(44400);AddNimbus(22200);AddMoney(6660),,,,,0,,
1404,智擒孽畜妖狐,34,64,11,1,,,,1,62,99,all,,,,,,,,0,4934,1,0,0,0,0,0,0,,0,,0,99,95 ,AddExp(71250);AddNimbus(35625);AddMoney(10830),,,,,0,,
1405,勇闯石穴迷宫,34,65,11,1,,,,1,63,99,all,,,,,,,,0,4935,35,0,0,0,0,0,0,,0,,0,99,60 ,AddExp(45600);AddNimbus(22800);AddMoney(6840),,,,,0,,
