ID,Name,Desc
1,Lôi,
2,Lôi,
3,Lôi,
4,Th¥n,
5,Th¥n,
2044,"Tång Kinh Nghi®m","Tång kinh nghi®m có ðßþc do ðánh quái lên $EffParam1$%.",
2051,"Tång Linh Lñc","Hi®u quä do Linh thú tÕo ra, m²i 30 giây có th¬ tång $EffParam1$ ði¬m linh lñc cho chü nhân khi trong trÕng thái không chiªn ð¤u.",
2052,"Tång Linh Lñc Chü Nhân","Linh thú m²i 30 giây tång cho chü nhân 3 + (c¤p ðµ Linh thú - 10) ði¬m linh lñc khi trong trÕng thái không chiªn ð¤u.",
2053,"Tång Kinh Nghi®m","Hi®u quä do Linh thú tÕo ra , m²i 10 giây có th¬ tång cho chü nhân $EffParam1$ ði¬m kinh nghi®m.",
2054,"Tång Kinh Nghi®m Chü Nhân","Linh thú m²i 10 giây s¨ tång cho chü nhân 3 + (c¤p ðµ Linh thú - 10) ði¬m kinh nghi®m.",
2055,"Tñ Ðµng nÕp Khí Huyªt","Khi mÑc sinh m®nh cüa chü nhân xu¯ng dß¾i 1/3, s¨ cån cÑ vào thÑ tñ s¡p xªp cüa bình khí huyªt ð¬ ch÷n ra mµt bình và u¯ng mµt l¥n. ",
2056,"Tñ Ðµng nÕp Khí Huyªt Cho Chü Nhân ","Khi mÑc sinh m®nh cüa chü nhân xu¯ng dß¾i 1/3, s¨ cån cÑ vào thÑ tñ s¡p xªp cüa bình khí huyªt ð¬ ch÷n ra mµt bình và u¯ng mµt l¥n. ",
2057,"Tñ Ðµng nÕp Pháp Lñc","Khi mÑc pháp lñc cüa chü nhân xu¯ng dß¾i 1/3, s¨ cån cÑ vào thÑ tñ s¡p xªp cüa bình pháp lñc ð¬ ch÷n ra mµt bình và u¯ng mµt l¥n. ",
2058,"Tñ Ðµng nÕp Pháp Lñc Cho Chü Nhân","Khi mÑc pháp lñc cüa chü nhân xu¯ng dß¾i 1/3, s¨ cån cÑ vào thÑ tñ s¡p xªp cüa bình pháp lñc ð¬ ch÷n ra mµt bình và u¯ng mµt l¥n. ",
2059,"Tñ Ðµng Nh£t","Tñ ðµng l¤y v§t ph¦m ho£c ti«n trên ngß¶i quái v§t b¸ chü nhân tiêu di®t.",
2060,"Tñ Ðµng Nh£t","Tñ ðµng l¤y v§t ph¦m ho£c ti«n trên ngß¶i quái v§t b¸ chü nhân tiêu di®t.",
2062,"Tång Phòng Ngñ (Trß¶ng Hi®u lñc Kim Cang Ð½n)","Tång sÑc phòng ngñ lên $EffParam1$%.",
2063,"Tång Th¬ Lñc (Trß¶ng Hi®u Dßþc Sß Ð½n)","Tång sinh m®nh lên $EffParam1$%.",
2064,"Tång Kinh Nghi®m (Trß¶ng Hi®u Linh Bäo Th¥n Phù)","Tång kinh nghi®m có ðßþc do ðánh quái lên $EffParam1$%.",
2065,"Tång Kinh Nghi®m (Trß¶ng Hi®u Thái Thßþng Th¥n Phù)","Tång kinh nghi®m có ðßþc do ðánh quái lên $EffParam1$%.",
2066,"Thë Tình Yêu","Thë Tình Yêu, sau khi sØ døng dß¾i chân s¨ xu¤t hi®n vòng sáng hình tim trong 3 ngày, kinh nghi®m có ðßþc do ðánh quái tång 100%, linh lñc tång 150%, không th¬ sØ døng chung v¾i các døng cø tång kinh nghi®m và linh lñc khác.",
2067,"Thiên SÑ Tình Yêu","Thiên SÑ Tình Yêu, sau khi sØ døng s¨ có danh hi®u 'Thiên SÑ Tình Yêu' trong 3 ngày.",
2068,"Biªn Hình Thu§t","B¸ trúng l¶i nguy«n biªn hình s¨ không th¬ t¤n công ðßþc.",
2069,"Tång Kinh Nghi®m Linh Thú","Sau khi sØ døng s¨ tång thêm mµt BUFF, giúp Linh Thú m²i phút tång thêm 20 ði¬m kinh nghi®m, duy trì trong mµt gi¶, nªu ngß¶i ch½i không có Linh Thú thì s¨ lãng phí  th¶i gian BUFF này. Khi ngß¶i ch½i v¡ng m£t thì th¶i gian BUFF không thay ð±i.",
2070,"Tång Kinh Nghi®m Linh Thú","Làm cho Linh Thú tr· nên vui vë, tång g¤p ðôi kinh nghi®m.",
2071,"Tång Kinh Nghi®m Linh Thú Trß¶ng Hi®u","Làm cho Linh Thú tr· nên vui vë, tång g¤p ðôi kinh nghi®m.",
2072,"Bäo Hµ Phøc Sinh","Bäo v® nhân v§t m¾i h°i sinh. Trong th¶i gian này m÷i ðòn t¤n công vào nhân v§t ð«u vô hi®u. Trong th¶i gian BUFF, nªu ngß¶i ch½i chü ðµng t¤n công thì hi®u quä này s¨ m¤t.",
2073,"Kh¯n Tiên Töa","Ð¯i phß½ng sau khi b¸ tiêu di®t nªu không có sñ bäo v® cüa Hµ Thân Phù thì s¨ không th¬ h°i sinh và thi th¬ s¨ b¸ giam trong 30 giây, trong th¶i gian này nªu di chuy¬n ho£c h°i thành, thi th¬ cüa ð¯i phß½ng cûng s¨ b¸ kéo theo.",
2074,"Thanh Thân Chú","Ð¯i phß½ng sau khi b¸ tiêu di®t nªu không có sñ bäo v® cüa Hµ Thân Phù thì s¨ không th¬ h°i sinh mà b¸ biªn thành xác ðµng v§t trong 30 giây.",
2075,"Biªn Hình Thu§t","Có ðßþc hi®u quä biªn hình, không th¬ t¤n công và cßÞi thú.",
2076,"Biªn Hình Thu§t","Có ðßþc hi®u quä biªn hình, không th¬ t¤n công và cßÞi thú.",
2077,"Sau 3 Gi¶ Ch½i","Theo quy ð¸nh, sau 3 gi¶ ch½i thì m÷i lþi ích mà ngß¶i ch½i thu ðßþc trong trò ch½i s¨ giäm mµt nØa.",
2078,"Sau 5 Gi¶ Ch½i","Theo quy ð¸nh, sau 5 gi¶ ch½i thì ngß¶i ch½i s¨ không thu nh§n ðßþc b¤t cÑ lþi ích gì trong trò ch½i.",
2080,"Tång Linh Lñc Chü Nhân Trong Thành","Linh Thú m²i 30 giây tång cho chü nhân: 3 + (c¤p ðµ Linh Thú - 10) x 2 ði¬m linh lñc, không th¬ kh·i ðµng khi ðang chiªn ð¤u.",
2082,"Tång Kinh Nghi®m Chü Nhân Trong Thành","Linh Thú m²i 10 giây tång cho chü nhân: 3 + (c¤p ðµ Linh Thú - 10) x 2 ði¬m kinh nghi®m, không th¬ kh·i ðµng khi ðang chiªn ð¤u.",
2083,"Tång Sát Thß½ng (Trß¶ng Hi®u Nam Höa Ðan)","Tång sÑc sát thß½ng lên $EffParam1$%.",
2084,"H¤p Thø Sát Thß½ng (Trß¶ng Hi®u Vô Cñc Ðan)","Giäm sát thß½ng xu¯ng $EffParam1$%.",
2085,"Tång Sát Thß½ng","Tång mÑc sát thß½ng v§t lý lên $EffParam1/10000.0*25$%.",
2086,"Tång Phòng Ngñ","Tång h¤p thø sát thß½ng lên $EffParam1/10000.0*25$%.",
2087,"Tång Ðµ Thân M§t","S¨ tång ðµ thân m§t sau khi tri®u h°i và dçn theo Linh Thú, m²i gi¶ tång 1 ði¬m.",
2088,"Gia T¯c","Tång t¯c ðµ di chuy¬n lên $EffParam1$%.",
2089,"Hôn Mê","Hôn mê trong 10 giây, b¸ t¤n công s¨ tïnh lÕi.",
2090,"PhÕm Vi Giäm T¯c (Trß¶ng Minh Ðång)","Giäm t¯c ðµ cüa quái v§t trong phÕm vi.",
2091,"Giäm T¯c (Trß¶ng Minh Ðång)","Giäm 50% t¯c ðµ.",
2092,"Li®t Di®m (Li®t Viêm Võng)",
2093,"Li®t Di®m","Duy trì sát thß½ng trong 6 giây, m²i 2 giây tÕo ra 100 ði¬m sát thß½ng.",
2094,"H°i Sinh Hß Nhßþc","B¸ tØ vong · n½i so tài, sau khi h°i sinh s¨ r½i vào trÕng thái yªu, sau khi phøc h°i m¾i có th¬ hành ðµng.",
2095,"Gia Phòng","Tång sÑc phòng ngñ v§t lý",
2096,"Tång Höa Phòng","Tång phòng ngñ thuµc tính höa",
2097,"Gia T¯c","Tång t¯c ðµ di chuy¬n",
2098,"Hôn Mê","Hôn mê, b¸ t¤n công s¨ tïnh lÕi.",
2099,"Hôn Mê (Nång Lßþng Xung Kích)","Hôn mê, b¸ t¤n công s¨ không tïnh lÕi.",
2100,"Hoãn T¯c","Giäm t¯c ðµ di chuy¬n.",
2101,"Tång Sát Thß½ng","Tång sÑc sát thß½ng lên 10%.",
2102,"H¤p Thø Sát Thß½ng","H¤p thø 10% sÑc sát thß½ng.",
2103,"Gia T¯c","Tång t¯c ðµ di chuy¬n lên 10%.",
2104,"Nhi­m Ôn D¸ch","Kh¡p n½i b¸ lây nhi­m ôn d¸ch",
2105,"Ôn D¸ch","Do änh hß·ng cüa ôn d¸ch, vªt thß½ng s¨ khiªn cho khí huyªt b¸ rút d¥n.",
2106,"Gia Huyªt Lan Töa","Tiªn hành tr¸ li®u các møc tiêu xung quanh",
2107,"Gia Huyªt","Duy trì gia huyªt",
2108,"Gia Huyªt Lan Töa","Tiªn hành tr¸ li®u các møc tiêu xung quanh",
2109,"Gia Huyªt","Duy trì gia huyªt",
2110,"Vô Ð¸ch","Trong $EffParam1$ giây s¨ trong trÕng thái vô ð¸ch",
2111,"Tång cß¶ng th¬ lñc ð¤u trß¶ng","Tång $EffParam1$ ði¬m th¬ lñc, ð°ng th¶i gia tång $EffParam1*5$ ði¬m phòng ngñ v§t lý",
2112,"Tång cß¶ng sÑc mÕnh ð¤u trß¶ng","Tång $EffParam1$ ði¬m sÑc mÕnh",
2113,"Tång cß¶ng trí tu® ð¤u trß¶ng","Tång $EffParam1$ ði¬m trí tu®",
2114,"Tång cß¶ng nhanh nh©n ð¤u trß¶ng","Tång $EffParam1$ ði¬m nhanh nh©n",
2115,"Bäo Hµ","Có khä nång bäo hµ ngß¶i khác, tång 50% khä nång h¤p thø sát thß½ng, giäm 50% sát thß½ng",
2116,"Cß¶ng BÕo","B¤t ch¤p t¤t cä, tiªn nh§p trÕng thái cß¶ng bÕo, tång 50% sát thß½ng, giäm 50% h¤p thu sát thß½ng.",
2117,"Tång Sát Thß½ng","Tång $EffParam1$ ði¬m sát thß½ng",
2118,"Công Kích Quang Hoàn","Tång 20% lñc công kích cüa ðÕo hæu xung quanh",
2119,"Tång Công Kích","Tång 20% lñc công kích",
2120,"Phòng Ngñ Quang Hoàn","Giäm 20% sát thß½ng cho ðÕo hæu xung quanh",
2121,"Tång Phòng Ngñ","Giäm 20% sát thß½ng",
2122,"Tång Cß¶ng PhÕm Vi Công Kích Ð¤u Trß¶ng","Tång phÕm vi 50 cho kÛ nång Xích Di­m Träm và Häi Tri«u Quyªt cüa Nga My Thu§t Sî",
2123,"Tång T¯c KÛ Nång Ð¤u Trß¶ng","Giäm 120 giây th¶i gian ch¶ cüa kÛ nång Kim Cang B¤t HoÕi cüa Ph§t Môn Tång Nhân",
2124,"Cß¶ng Hóa Tr¸ Li®u Ð¤u Trß¶ng","Tång 300 ði¬m tr¸ li®u cüa Bách Hoa Phi Tiên",
2125,"Cß¶ng Hóa Sát Thß½ng Ð¤u Trß¶ng","Tång 100 ði¬m sát thß½ng Lôi H® và Ðµc H® cüa Thanh Thành †n Giä",
2126,"Cß¶ng Hóa BÕo Kích Ð¤u Trß¶ng","Tång 10% tï l® bÕo kích cüa Thüy H® và Ðµc H® cüa Tiên C¥m Linh SÑ",
2200,"Ði®n Mang Höa Kích","Khi trúng ðòn trong 10 giây s¨ ch¸u $EffParam1$ ði¬m sát thß½ng",
2201,"Ði®n Mang Khóa Thân","Khi trúng ðòn s¨ không th¬ di chuy¬n",
2202,"Höa Di®m Thiêu Ð¯t","Khi trúng ðòn trong 10 giây s¨ ch¸u $EffParam1$ ði¬m sát thß½ng",
2203,"Nhi­m Ôn D¸ch","Kh¡p n½i b¸ lây nhi­m ôn d¸ch",
2204,"Ôn D¸ch","Do änh hß·ng cüa ôn d¸ch, vªt thß½ng s¨ khiªn cho khí huyªt b¸ rút d¥n.",
2205,"Mi­n D¸ch Ôn D¸ch","Sau khi b¸ ôn d¸ch s¨ không còn b¸ lÕi næa",
2207,"H°i Sinh Hß Nhßþc","Sau khi tØ vong và h°i sinh trong ð¤u trß¶ng, s¨ trong trÕng thái hß nhßþc (sÑc yªu), sau khi h°i phøc m¾i có th¬ di chuy¬n",
2208,"Gia Huyªt Gia Ma Lan Töa","Hi®u lñc cüa ôn tuy«n (su¯i nß¾c nóng), nhanh chóng h°i phøc th¬ lñc và pháp lñc",
2209,"Gia Huyªt Gia Ma","Hi®u lñc cüa ôn tuy«n (su¯i nß¾c nóng), nhanh chóng h°i phøc th¬ lñc và pháp lñc",
2210,"Ái Tâm Bµc Phát","Sau khi sØ døng s¨ tång 250% kinh nghi®m và 200% linh lñc thu ðßþc, có th¬ sØ døng chung v¾i Thë Tình Yêu.",
2211,"Gia T¯c","Tång t¯c ðµ di chuy¬n lên $EffParam1$%.",
2212,"Hôn Mê","Hôn mê 10 giây, b¸ t¤n công s¨ tïnh lÕi.",
2213,"Biªn Hình Thu§t","Có ðßþc hi®u Ñng biªn hình nhßng không th¬ t¤n công, không th¬ cßÞi kÜ thú.",
2214,"Tång Kinh Nghi®m 2 (Chúc Phúc cüa BÕch ¿ng)","Nhân 150% kinh nghi®m.",
2215,"Tång Kinh Nghi®m 1 (Chúc Phúc cüa BÕch ¿ng)","Nhân 130% kinh nghi®m.",
2216,"Tång Gi¾i HÕn Khí Huyªt (Chúc Phúc cüa NÕn ÐÕi Sß)","L¶i chúc phúc cüa NÕn ÐÕi Sß, tång 30 ði¬m gi¾i hÕn khí huyªt.",
2217,"Tång Phòng Ngñ (Chúc Phúc cüa NÕn ÐÕi Sß)","L¶i chúc phúc cüa NÕn ÐÕi Sß, tång 15 ði¬m phòng ngñ v§t lý.",
2218,"K©o Giáng Sinh","Tång tÕm th¶i 10 ði¬m sÑc mÕnh, th¬ lñc, nhanh nh©n, trí tu®, 1000 ði¬m gi¾i hÕn khí huyªt, 500 ði¬m gi¾i hÕn pháp lñc trong khoäng th¶i gian nh¤t ð¸nh.",
2219,"Biªn thân",
2220,"Huyªt Th¥n Phü Cß¶ng Ki®n Thu§t","Bi¬u trßng cüa ngß¶i th¡ng tr§n cüa Huyªt Th¥n ÐÕi Chiªn, có th¬ tång gi¾i hÕn th¬ lñc.",
2221,"Tång Kinh Nghi®m","Tång kinh nghi®m ðánh quái luy®n công lên 200%, có th¬ dùng chung v¾i nhæng v§t ph¦m tång kinh nghi®m khác.",
2222,"Biªn Hình Thu§t","Có ðßþc hi®u quä biªn hình, không th¬ t¤n công và cßÞi thú.",
2223,"Biªn Hình Thu§t","Có ðßþc hi®u quä biªn hình, không th¬ t¤n công và cßÞi thú.",
2224,"Süng V§t ÐÕi Sß","Khi tri®u h°i Thu¥n Thú, sau khi ðßþc BUFF này thì Thu¥n Thú s¨ ðßþc ÐÕi Sß hóa phép, giúp cho ði¬m vui vë không giäm theo th¶i gian.",
2225,"Biªn Hình Thu§t","V§t ph¦m biªn hình th¥n kÏ.",
2226,"Biªn Hình Thu§t","V§t ph¦m biªn hình th¥n kÏ.",
2227,"Biªn Hình Thu§t","V§t ph¦m biªn hình th¥n kÏ.",
2228,"Biªn Hình Thu§t","V§t ph¦m biªn hình th¥n kÏ.",
2229,"Biªn Hình Thu§t","V§t ph¦m biªn hình th¥n kÏ.",
2230,"Biªn Hình Thu§t","V§t ph¦m biªn hình th¥n kÏ.",
2231,"Biªn Hình Thu§t","V§t ph¦m biªn hình th¥n kÏ.",
2232,"Tång Kinh Nghi®m","Giúp tång 30% ði¬m kinh nghi®m khi ðánh quái trong 30 phút. Có th¬ sØ døng chung v¾i v§t ph¦m tång kinh nghi®m khác.",
2233,"Biªn Hình Thu§t-H","V§t ph¦m biªn hình th¥n kÏ.",
2234,"Tång gi¾i hÕn huyªt khí (Nguy®t Long Ð¤u Sî)","Nguy®t Long Ð¤u Sî ban phúc, tång gi¾i hÕn huyªt khí 500 ði¬m, duy trì 30 phút.",
2235,"Phòng Ngñ Tång Cß¶ng (Nguy®t Long Dûng Sî)","Nguy®t Long Dûng Sî ban phúc, tång phòng ngñ v§t lý 500 ði¬m, duy trì 30 phút.",
2236,"Tång Sát Thß½ng (Nguy®t Long Bá Chü)","Nguy®t Long Bá Chü ban phúc, tång 10% sát thß½ng, duy trì 30 phút.",
2237,"H¤p Thø Sát Thß½ng (Nguy®t Long Hi®p Khách)","Nguy®t Long Hi®p Khách giúp h¤p thø 10% sát thß½ng, duy trì 30 phút.",
2238,"Hôn Mê","Gây hôn mê phÕm vi trong 20 giây, s¨ tïnh lÕi khi b¸ t¤n công.",
2239,"Gia T¯c","Tång t¯c ðµ di chuy¬n $EffParam1$%",
4001,"PhÕm Vi Giäm T¯c (Thüy Tinh Tháp)","Kë ð¸ch trong phÕm vi 600 ð«u b¸ änh hß·ng cüa giäm t¯c.",
4002,"Giäm T¯c (Thüy Tinh Tháp)","Hi®u quä giäm t¯c do Thüy Tinh Tháp tÕo ra. ",
9998,"ThØ-Phòng Công Siêu Cß¶ng","Nâng gi¾i hÕn HP, h¤p thø sát thß½ng và DPS",
9999,"ThØ tham s¯ Eff","ThØ tham s¯ Elf.",
10000,"Ð¸nh thân","Ð¸nh thân.",
10001,Choáng,"Choáng váng.",
10002,"†n Thân","†n thân.",
10003,"Vô Ð¸ch","Vô ð¸ch.",
10004,"SÑc Hút Ma ThÕch","Có h¤p dçn hay không.",
10005,"Chu Vi Gia Huyªt","Tång khí huyªt theo phÕm vi.",
10006,"Chu Vi Giäm T¯c","Giäm t¯c ðµ theo phÕm vi.",
10007,"B¸ Ma ThÕch H¤p Dçn","B¸ Ma ThÕch H¤p Dçn",
10008,"Biªn Thân","†n thân.",
10009,"ThØ - Thñc hi®n sau khi t¤n công","ThØ - Thñc hi®n sau khi t¤n công",
10010,"ThØ - CßÞi","ThØ - CßÞi"
2240,"Bánh Ú biªn hình thu§t",
2241,"Thuy«n r°ng biªn hình thu§t",
2242,"Xà næ biªn hình thu§t",
2243,"Bánh Ú biªn hình thu§t",
2244,"Thuy«n r°ng biªn hình thu§t",
2245,"Xà næ biªn hình thu§t",
1220,"Tång gi¾i hÕn huyªt khí","Hi®u quä do Linh thú tÕo ra, có th¬ tång gi¾i hÕn th¬ lñc cüa chü nhân lên $EffParam1$ ði¬m.",
1221,"Gia T¯c H°i Huyªt","Hi®u quä do Linh Thú ðem ðªn, khi trong trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i huyªt cüa chü nhân lên m²i giây $EffParam1$ ði¬m.",
1222,"Tång huyªt khí chü nhân","Hi®u quä do Linh thú tÕo ra, khi · trong trÕng thái không chiªn ð¤u có th¬ tång gi¾i hÕn th¬ lñc theo công thÑc, 20 + c¤p ðµ Linh Thú x (10 + HP c½ bän cüa chü nhân x 1%). Ð°ng th¶i giúp tång t¯c ðµ h°i phøc khí huyªt cüa chü nhân m²i 2 giây lên: c¤p ðµ Linh thú x (1+lßþng huyªt khí c½ bän cüa chü nhân x 1 ph¥n ngàn)",
1223,"Tång Gi¾i HÕn Pháp Lñc","Hi®u quä do Linh Thú ðem ðªn, có th¬ tång gi¾i hÕn pháp lñc cüa chü nhân lên $EffParam1$ ði¬m.",
1224,"Gia T¯c H°i Pháp (trong trÕng thái chiªn ð¤u)","Hi®u quä do Linh Thú ðem ðªn, khi trong trÕng thái chiªn ð¤u vçn có th¬ tång t¯c ðµ h°i pháp lñc cüa chü nhân lên m²i 2 giây $EffParam1$ ði¬m.",
1225,"Tång pháp lñc chü nhân","Hi®u quä do Linh thú tÕo ra, khi · trong trÕng thái chiªn ð¤u vçn có th¬ tång gi¾i hÕn pháp lñc theo công thÑc, 30 + c¤p ðµ Linh Thú x (15 + MP c½ bän cüa chü nhân x 1%). Ð°ng th¶i giúp tång t¯c ðµ phøc h°i pháp lñc cüa chü nhân m²i 2 giây lên: c¤p ðµ Linh thú x (1.5 + lßþng pháp lñc c½ bän cüa chü nhân x 1 ph¥n ngàn).",
2246,"Ch¤n Vñng",
2247,"Huy­n Vñng",
2248,"Tång Sát Thß½ng (Ki«u Ô)",
2249,"H¤p Thø Sát Thß½ng (Th¥n NgÕc)",
2250,"Tång Cß¶ng Phòng Ngñ (Kim Cang)",
2251,"Tång Phòng Ngñ (DÕ Xoa)",
2252,"Tång Né Tránh (Ngân H°)",
2253,"Tång BÕo Kích (Ki«u Tiên TØ)",
2254,"Vô Ð¸ch",
2255,"Tång Sát Thß½ng",
2256,"H¤p Thø Sát Thß½ng",
2257,"Tång Cß¶ng Phòng Ngñ",
2258,"Tång Phòng Ngñ",
2259,"Tång Né Tránh",
2260,"Tång BÕo Kích",
2261,"Bäo Hµ (TØ Tinh Bích V®)","Trong 60 giây h¤p thø sát thß½ng 2000 ði¬m.",
2262,"Hôn Mê (Nµ Lôi Oanh)","Hôn mê 3 giây",
2263,"Phá Giáp (Li®t Giáp Phá)","SÑc phòng ngñ giäm 500 ði¬m.",
2264,"LØa Thiêu (Höa Long Vû)","M²i 3 giây tÕo ra 600 ði¬m sát thß½ng, duy trì trong 6 giây.",
2265,"Hôn Mê (Ð¸a Cang Thu§t)","Hôn mê, duy trì trong 3 giây.",
2266,"Suy Nhßþc Phòng Ngñ","Giäm 2000 ði¬m phòng ngñ v§t lý, duy trì trong 10 giây.",
2267,"Hôn Mê","Duy trì hôn mê trong 10 giây.",
2270,"Khóa Ðòn","Không th¬ công kích",
2271,"Hôn Mê","Hôn mê trong $EffParam1$ giây",
2272,"Nhi­m Ôn D¸ch","Kh¡p n½i b¸ lây nhi­m ôn d¸ch",
2273,"Ôn D¸ch","Do änh hß·ng cüa ôn d¸ch, vªt thß½ng s¨ khiªn cho khí huyªt b¸ rút d¥n.",
2274,"T±n Th¤t Khí Huyªt","M²i 2 giây m¤t $EffParam1$ ði¬m khí huyªt, duy trì trong 10 giây.",
2275,"L¶i Nguy«n Hß Nhßþc","Giäm 25% phòng ngñ v§t lý xu¯ng.",
2276,"Hoãn T¯c","Giäm $EffParam1$% t¯c ðµ di chuy¬n.",
2277,"Dçn Huyªt","Khôi phøc $EffParam1$ ði¬m khí huyªt.",
2278,"Tång Linh Lñc","Tång $EffParam1$% linh lñc thu ðßþc khi ðánh quái",
2279,"Ngßng Th¥n","Nguyên th¥n xu¤t khiªu, tiªn vào trÕng thái ngßng th¥n và tñ ðµng h¤p thu kinh nghi®m và linh lñc.",
2280,"TÕm D×ng Ngßng Th¥n","Ði vào khu vñc không cho phép Ngßng Th¥n, tÕm d×ng h¤p thu kinh nghi®m và linh lñc. Không hao t±n v§t ph¦m Ngßng Th¥n. S¨ khôi phøc trÕng thái khi r¶i khöi khu vñc này.",
2281,"Phong „n","Phong ¤n trÕng thái cüa Huyªt Th¥n Phü, mi­n d¸ch hi®u quä Ðä Vñng, nhßng hi®u quä di chuy¬n và công kích s¨ b¸ m¤t.",
2282,"Nguyên Linh Hµi Tø",
2283,"T¡m Tiên","Sinh M®nh Chi Thü s¨ phát ra hào quang chói lóa, hãy tø hþp tÕi Lãnh Ð¸a Bang Hµi trong th¶i gian thñc thi nhi®m vø, t¡m mình dß¾i v¥ng quang tiên gia có th¬ tång kinh nghi®m và linh lñc.",
2284,"T¡m Tiên","T¡m mình dß¾i v¥ng quang tiên gia có th¬ tång kinh nghi®m và linh lñc.",
2285,"Tång Kinh Nghi®m","Tång $EffParam1$% ði¬m kinh nghi®m khi ðánh quái.",
1226,"Tång gi¾i hÕn khí huyªt","Hi®u quä do Thu¥n thú tÕo ra, có th¬ tång gi¾i hÕn th¬ lñc cüa chü nhân lên $EffParam1$ ði¬m.",
1227,"H°i khí huyªt nhanh (dùng khi chiªn ð¤u)","Hi®u quä do Thu¥n thú tÕo ra, có th¬ tång t¯c ðµ h°i phøc khí huyªt cüa chü nhân m²i giây lên $EffParam1$ ði¬m, có th¬ sØ døng trong trÕng thái chiªn ð¤u.",
1228,"Tång huyªt khí chü nhân","Hi®u quä do Thu¥n thú tÕo ra, có th¬ tång gi¾i hÕn th¬ lñc cüa chü nhân lên 20 + c¤p ðµ Thu¥n thú x (10 + khí huyªt c½ bän chü nhân x 1%), có th¬ tång t¯c ðµ h°i phøc huyªt khí cüa chü nhân m² 2 giây lên c¤p ðµ Thu¥n thú x (1 + khí huyªt c½ bän chü nhân x 1%), có th¬ dùng trong trÕng thái chiªn ð¤u.",
1229,"Tång gi¾i hÕn pháp lñc","Hi®u quä do Thu¥n thú tÕo ra, có th¬ tång gi¾i hÕn pháp lñc cüa chü nhân lên $EffParam1$ ði¬m.",
1230,"H°i pháp lñc nhanh (dùng khi chiªn ð¤u)","Hi®u quä do Thu¥n thú tÕo ra, có th¬ tång t¯c ðµ h°i phøc pháp lñc cüa chü nhân m²i giây lên $EffParam1$ ði¬m, có th¬ sØ døng trong trÕng thái chiªn ð¤u.",
1231,"Tång pháp lñc chü nhân","Hi®u quä do Thu¥n thú tÕo ra, có th¬ tång t¯c ðµ h°i phøc pháp lñc cüa chü nhân m² 2 giây lên c¤p ðµ Thu¥n thú x (1.5 + pháp lñc c½ bän chü nhân x 1%), có th¬ dùng trong trÕng thái chiªn ð¤u.",
1232,"Bôn nguy®t (có th¬ dùng trong chiªn ð¤u)","Hi®u quä do Thu¥n thú tÕo ra, có th¬ tång t¯c ðµ h°i phøc pháp lñc cüa chü nhân m²i 2 giây lên $EffParam1$ ði¬m, có th¬ dùng trong trÕng thái chiªn ð¤u, ð°ng th¶i tång t¯c ðµ di chuy¬n lên 5%.",
1233,"Bôn nguy®t","Hi®u quä do Thu¥n thú tÕo ra, có th¬ tång t¯c ðµ h°i phøc pháp lñc cüa chü nhân m² 2 giây lên c¤p ðµ Thu¥n thú x (1.5 + pháp lñc c½ bän chü nhân x 1%), có th¬ dùng trong trÕng thái chiªn ð¤u, ð°ng th¶i tång t¯c ðµ di chuy¬n lên 5%.",
156,"Qu¥n th¬ h°i phøc dßþc thüy (c¤p 1)","Trong 15 giây h°i phøc 1350 ði¬m th¬ lñc cho häo hæu xung quanh, có th¬ dùng trong lúc chiªn ð¤u, th¶i gian ch¶ 15 giây.",
157,"Qu¥n th¬ h°i phøc dßþc thüy (c¤p 2)","Trong 15 giây h°i phøc 1950 ði¬m th¬ lñc cho häo hæu xung quanh, có th¬ dùng trong lúc chiªn ð¤u, th¶i gian ch¶ 15 giây.",
2286,"Tång kinh nghi®m Chiªn Thú","Trong vòng 1 gi¶ Chiªn thú tham gia chiªn ð¤u s¨ nh§n ðßþc lßþng kinh nghi®m g¤p ðôi.",
2287,"Ngßu Lang Biªn Hình Thu§t",
2288,"ChÑc Næ Biªn Hình Thu§t",
2289,"Ngßu Lang Biªn Hình Thu§t",
2290,"ChÑc Næ Biªn Hình Thu§t",
2291,"H¤p thu sát thß½ng","Trong 1 phút h¤p thu 1350 ði¬m sát thß½ng",
2292,"Thuµc tính phòng ngñ (Höa)","Tång phòng ngñ thuµc tính Höa: 600 ði¬m, duy trì 3 phút",
2293,"Thuµc tính phòng ngñ (Thüy)","Tång phòng ngñ thuµc tính Thüy: 600 ði¬m, duy trì 3 phút",
2294,"Thuµc tính phòng ngñ (Lôi)","Tång phòng ngñ thuµc tính Lôi: 600 ði¬m, duy trì 3 phút",
2295,"Thuµc tính phòng ngñ (Ðµc)","Tång phòng ngñ thuµc tính Ðµc: 600 ði¬m, duy trì 3 phút",
2296,"Thuµc tính phòng ngñ (Ph§t)","Tång phòng ngñ thuµc tính Ph§t: 600 ði¬m, duy trì 3 phút",
2297,"M§t Dæu Hùng Miêu Biªn Hình Thu§t",
2298,"Nguy®t Miêu ÐÕi Hi®p Biªn Hình Thu§t",
2299,"Nguy®t Th¯ Biªn Hình Thu§t",
2300,"M§t Dæu Hùng Miêu Biªn Hình Thu§t",
2301,"Nguy®t Miêu ÐÕi Hi®p Biªn Hình Thu§t",
2302,"Nguy®t Th¯ Biªn Hình Thu§t",
2303,"Giác Ngµ cüa TrÕi Bào Giä",
