STRID,LAN,Remark
help_fuben_6,"Th¤t Tinh Ğài n¢m tÕi s½n ğµng · giæa Ğ¾i Gia Trß¶ng và Læ Thôn. Do nhìn t× phía ngoài, s½n µng có hình dáng nhß con cá ğang tung tång b½i lµi nên ğßşc mÛ danh là 'Ngß Th¥n Ğµng'. Tuy vë ngoài chï là mµt s½n ğµng bình thß¶ng nhßng bên trong ¦n chÑa huy«n c½. T× lúc cuµc phân tranh giæa Ğ¾i Gia Trß¶ng và Læ Thông không ng×ng bùng n±, chính tà hai phái không ng×ng tiêu di®t lçn nhau, tên yêu tà thu§t sî Quách Vân Ph¯c ğã xây dñng Quan Tinh Ğài ğ¬ tiªn hành yêu thu§t, tàn hÕi kÏ hi®p tÑ phß½ng. Ğ¬ giäi tr× m¯i h÷a này, hãy vào Ngß Th¥n Ğµng tiêu hüy Quan Tinh Ğài và tên yêu ma Quách Vân Ph¯c.

Tinh Anh Nam Cß½ng SÑ Giä c¤p 55 Khu Nam Cß½ng
Tinh Anh Li®t Höa SÑ Giä c¤p 56 Khu Nam Cß½ng
Nhøc Th¬ cüa Ğ° NhÕc     c¤p 54 Khu Nam Cß½ng
Nhøc Th¬ cüa Úy Trì Nguyên   c¤p 55 Khu Nam Cß½ng
Tinh Anh Ğ¸a Bî     c¤p 56 Læ Thôn Bi®t Vi®n
Tinh Anh Hào Nô     c¤p 57 Læ Thôn Bi®t Vi®n
Nhøc Th¬ cüa Thôi Thiên Thø   c¤p 56 Læ Thôn Bi®t Vi®n
Nhøc Th¬ cüa Tr¥n Trß¶ng C¯c   c¤p 57 Læ Thôn Bi®t Vi®n
Tinh Anh Ti¬u T¯t     c¤p 58 H§u Hoa Viên
Tinh Anh Bäo Tiêu     c¤p 59 H§u Hoa Viên
Nhøc Th¬ cüa Læ Tam     c¤p 59 H§u Hoa Viên
Nhøc Th¬ cüa Læ TÑ     c¤p 58 H§u Hoa Viên
Tinh Anh Giáo Ğ¥u     c¤p 56 Quan Tinh Ğài
Tinh Anh Thü V®     c¤p 58 Quan Tinh Ğài
Nguyên Th¥n cüa Ğ° NhÕc     c¤p 54 Quan Tinh Ğài
Nguyên Th¥n cüa Úy Trì Nguyên   c¤p 55 Quan Tinh Ğài
Nguyên Th¥n cüa Thôi Thiên Thø   c¤p 56 Quan Tinh Ğài
Nguyên Th¥n cüa Tr¥n Trß¶ng C¯c   c¤p 57 Quan Tinh Ğài
Nguyên Th¥n cüa Læ TÑ     c¤p 58 Quan Tinh Ğài
Nguyên Th¥n cüa Læ Tam     c¤p 59 Quan Tinh Ğài
La Vån Lâm       c¤p 56 Khu Nam Cß½ng(BOSS)
S½n Nhân Diêu Khai Giang   c¤p 57 Læ Thôn Bi®t Vi®n(BOSS)
Truy H°n Thái Tuª      c¤p 58 H§u Hoa Viên(BOSS)
Höa Phiên Phúc       c¤p 59 H§u Hoa Viên(BOSS)
Quách Vân Ph¯c       c¤p 60 Quan Tinh Ğài(BOSS)

",
help_fuben_7,"Tà thu§t thu§t sî Quách Vån Ph¯c cho xây dñng Th¤t Tinh Ğài th§t ra là ğang làm phép nuôi dßŞng con yêu quái Vån Chu - con quái nh®n ğßşc m®nh danh là Thiên HÕ Cñ Ğµc Chi Vß½ng. Trß¾c ğó h¡n ğã b¡t Lão Yªt và Höa Chu v« nuôi dßŞng cho cñ quái Vån Chu. Tuy sau nhi«u nåm d¯c tâm nuôi dßŞng, cñ quái Vån Chu ğã thành hình nhßng vçn còn thiªu âm ğµc chi khí nên vçn còn ngü vùi trong trÑng kén. Sau khi phát hi®n ra Ngß T¥n Ğµng tø t§p ğßşc âm ğµc chi khí cüa ğ¤t tr¶i. Quách Vån Ph¯c ğã lşi døng tay sai tÕi Læ Thôn, tri®u t§p lñc lßşng, xây dñng Th¤t Tinh Ğài. Dña vào khä nång thông thiên gi¾i cüa Th¤t Tinh Ğài, h¡n ğã l§pk ªt gi¾i tÕi Ngß Th¥n Ğµng, xây dñng Vån Chu Ğµng v¾i sñ canh giæ nghiêm ng£t cüa Ma Chiªn C½ Giáp. M¡t th¤y Vån Chu s¡p ra ğ¶i nhßng Quách Vån Ph¯c tÕi Læ Thôn lÕi ğÕi bÕi dß¾i tay qu¥n hùng kÏ hi®p, Cñ Quái Vån Chu nhß có cäm Ñng, l§p tÑc phá kén xu¤t thª. Kªt gi¾i t× ğó cûng ğã b¸ rÕn nÑt, t× Loa Ty Loan Thüy Lao là có th¬ tiªn vào Vån Chu Ğµng.


Bång Mang Yªt    60 Khu Ğ¥m L¥y
Höa Di®m Chu    60 Khu Nham ThÕch
Pha Lê Yªt Ngçu  60 Khu Ğ¥m L¥y
Hoàng Ğ°ng Chu Ngçu  60 Khu Nham ThÕch
Læ Thôn Oan H°n  60 Khu C± Mµ
QuÖ Linh Hµ V®  60 Khu C± Mµ
QuÖ Linh      60 Khu C± Mµ(BOSS)
Thiên Niên Lão Yªt  60 Khu Ğ¥m L¥y(BOSS)
VÕn Niên Höa Chu  60 Khu Nham ThÕch(BOSS)
Ma Chiªn C½ Giáp  60 Khu Trung Tâm(BOSS)
Cñ Ğµc Vån Chu  62 Khu Vån Chu(BOSS)
",
help_jbcz_gongjimubiao,"Công kích møc tiêu:
   Sau khi ch÷n møc tiêu, nh¤n phím kÛ nång ğ¬ b¡t ğ¥u công kích møc tiêu. Ğòn t¤n công bình thß¶ng s¨ tñ ğµng duy trì công kích, ğòn t¤n công kÛ nång phäi thi tri¬n t×ng ğòn mµt. Ğ¯i v¾i quái v§t, có th¬ trñc tiªp b¡t ğ¥u công kích b¢ng cách nh¤n chuµt phäi vào møc tiêu.",
help_jbcz_jianpancaozuo,"Phím    Tác døng
1-0     Phím t¡t
I       M· / ğóng thông tin trang b¸
C       M· / ğóng thông tin nhân v§t
S       M· / ğóng màn hình kÛ nång
M       M· / ğóng ğ¸a ğ°
T       M· / ğóng thông tin nhi®m vø
TAB     Chuy¬n sang møc tiêu khác
Enter   M· / ğóng khung nh§p li®u tán gçu
ESC     M· / ğóng h® th¯ng",
help_jbcz_npcjiaotan,"Nói chuy®n v¾i NPC:
   BÕn hãy nh¤n chuµt phäi vào NPC, h® th¯ng s¨ tñ ğµng ch÷n møc tiêu và tiªn hành nói chuy®n.",
help_jbcz_renwuyidong,"Di chuy¬n nhân v§t:
   Ği¬m chuµt trái lên m£t ğ¤t, nhân v§t s¨ tñ ğµng b¡t ğ¥u di chuy¬n, nªu nh¤n giæ chuµt trái thì nhân v§t s¨ di chuy¬n liên tøc.",
help_jbcz_shubiaocaozuo,"Thao tác chuµt: 
Nh¤p chuµt trái mµt l¥n: Di chuy¬n, ch÷n møc tiêu. 
Nh¤p chuµt phäi mµt l¥n: Ch÷n møc tiêu ğ°ng th¶i tiªn hành các thao tác m£c ğ¸nh.
         Thao tác m£c ğ¸nh ğ¯i v¾i NPC là nói chuy®n.
         Thao tác m£c ğ¸nh ğ¯i v¾i quái v§t là công kích
         Không có thao tác m£c ğ¸nh ğ¯i v¾i ngß¶i ch½i
Rê nút cuµn cüa chuµt: Hß¾ng lên trên s¨ kéo góc nhìn lÕi g¥n. 
         Hß¾ng xu¯ng dß¾i s¨ kéo góc nhìn ra xa.
         Hß¾ng sang trái s¨ xoay góc nhìn ngßşc chi«u kim ğ°ng h°.
         Hß¾ng sang phäi s¨ xoay góc nhìn theo chi«u kim ğ°ng h°.",
help_jbcz_teshuwuti,"V§t th¬ ğ£c bi®t:
    Khi d¤u trö chuµt di chuy¬n ğªn v§t th¬ ğ£c bi®t s¨ tñ ğµng chuy¬n sang hình dÕng d¤u trö ğ£c thù khác. T¤t cä nhæng v§t ph¦m ğ£c bi®t ğ«u là nhæng v§t th¬ có th¬ tß½ng tác v¾i ngß¶i ch½i, ví dø nhß cánh cØa có th¬ m· ra, v§t ph¦m liên quan ğªn nhi®m vø...",
help_jbcz_xuanzemubiao,"Ch÷n møc tiêu:
   Nh¤p trái chuµt vào møc tiêu, nªu møc tiêu có th¬ ch÷n thì ngay tÕi giao di®n chính cüa màn hình s¨ hi¬n th¸ bi¬u tßşng änh ğÕi di®n cüa møc tiêu, dß¾i chân møc tiêu s¨ có mµt vòng sáng tròn hi¬n th¸ møc tiêu ğã ğßşc ch÷n.",
help_ls_caiji,"   R¤t nhi«u loÕi thäo dßşc phân b¯ trong kh¡p tam gi¾i, c¤p ğµ thäo dßşc thay ğ±i theo khu vñc, tÕi nhæng khu vñc c¤p cao s¨ thu ğßşc thäo dßşc c¤p cao.

Tên g÷i      C¤p ğµ c¥n
Chu Thäo           1
Dã Ma Cô           1
Ğan Sâm            1
HÕ Cô Thäo        2
Chu Quä              2
L® Chi Thäo        2
B¡c Thäo Ô        3
Hà Thü Ô            3
Kim Ngân Hoa    3
La Hán Quä         4
Ğµc C¥n               4
ThÕch Ğiªu Lan   4
Vô Hoa Quä         5
Vô Cån Ğ¢ng       5
Bách Lı Hß½ng     5
",
help_ls_caikuang,"    R¤t nhi«u loÕi khoáng thÕch phân b¯ trong tam gi¾i, c¤p ğµ thäo dßşc thay ğ±i theo khu vñc, tÕi nhæng khu vñc c¤p cao s¨ thu ğßşc khoáng thÕch c¤p cao.

Tên                          C¤p ğµ c¥n
Tranh H°ng ThÕch          1
BÕch Vân ThÕch              1
BÕch Lñu ThÕch              2
Di®p LÕp ThÕch               2
Tiêm Tinh ThÕch              3
Tr÷ng Tinh ThÕch             3
Thüy MÛ ThÕch                 4
Ngoan Höa ThÕch            4
Læ Lñu ThÕch                   5
Ği¬n Ngân ThÕch             5
",
help_ls_fenjie,"Phân giäi: 
   Phân giäi ho£c kªt tinh nhæng v§t ph¦m hiªm Ng÷c Løc ho£c Ng÷c Løc tr· lên.
Ği«u ki®n phân giäi: 
   KÛ nång phân giäi chï có th¬ phân giäi nhæng v§t ph¦m có c¤p ğµ tß½ng Ñng.
   Tinh th¬ thu ğßşc sau phân giäi s¨ có cùng tính ch¤t và c¤p ğµ v¾i trang b¸ ğßşc phân giäi. Ví dø: Trang b¸ t× c¤p 1 - 10 s¨ thu ğßşc Tinh th¬ c¤p 1.

Tên               C¤p ğµ c¥n      Tác døng 
Tinh th¬ xanh   C¤p 1 - 5   Tång thuµc tính bµ ph§n cüa v§t ph¦m.
Tinh th¬ lam   C¤p 1 - 5    Tång thuµc tính bµ ph§n cüa v§t ph¦m.
Tinh th¬ vàng   C¤p 1 - 5   Tång thuµc tính bµ ph§n cüa v§t ph¦m.
Tinh th¬ tím     C¤p 1 - 5  Tång thuµc tính bµ ph§n cüa v§t ph¦m.
",
help_ls_jichuguize,"   M²i ngß¶i ch½i có th¬ h÷c t¯i ğa 2 kÛ nång t× NPC dÕy kÛ nång sinh hoÕt.
   KÛ nång sinh hoÕt chia làm 10 c¤p, m²i khi thu th§p ho£c chª tÕo mµt v§t ph¦m s¨ thu ğßşc kinh nghi®m, nªu thu th§p ho£c chª tÕo v§t ph¦m th¤p h½n c¤p ğµ kÛ nång hi®n tÕi thì kinh nghi®m thu ğßşc s¨ giäm d¥n xu¯ng 0.
   H¥u hªt nhæng v§t ph¦m chª tÕo ra phäi có kÛ nång sinh hoÕt tß½ng Ñng m¾i có th¬ sØ døng.",
help_ls_moshi,"   Tinh ThÕch (có ğßşc trong quá trình thu th§p khoáng thÕch) và Tinh Th¬ (có ğßşc sau khi phân giäi), träi qua quá trình tinh luy®n s¨ thu ğßşc Ma ThÕch. Ma ThÕch có th¬ dùng ğ¬ khäm nÕm lên trang b¸ ho£c pháp bäo. Tùy thuµc vào c¤p ğµ và tính ch¤t cüa trang b¸ và pháp bäo mà s¯ lßşng Ma ThÕch có th¬ khäm nÕm trên chúng khác nhau. LoÕi BÕch Nh§t và Ng÷c Løc có th¬ khäm nÕm 1 viên, Thiên Thanh, Hoàng Kim và TØ Ğinh có th¬ khäm nÕm 2 viên. Ma thÕch có th¶i hÕn sØ døng, công hi®u s¨ m¤t sau t× 7 ğªn 30 ngày k¬ t× lúc khäm nÕm thành công.

Tên             C¤p ğµ c¥n    Tác døng
Lñc ThÕch C¤p 1 - 5      1-5 tång mµt s¯ ği¬m sÑc mÕnh 
Th¬ ThÕch  C¤p 1 - 5      1-5 tång mµt s¯ ği¬m th¬ lñc 
Trí ThÕch    C¤p 1 - 5     1-5 tång mµt s¯ ği¬m trí tu® 
T¯c ThÕch  C¤p 1 - 5     1-5 tång mµt s¯ ği¬m nhanh nh©n ",
help_ls_zhifu,"Chª phù: Dùng tinh thÕch ğ¬ chª tÕo bùa chú, có th¬ sØ døng trong lúc chiªn ğ¤u.

Tên                      C¤p ğµ c¥n      Tác døng
H°i Huyªt Chú    C¤p 1 - 5    1-5 sau mµt khoäng th¶i gian nh¤t ğ¸nh h°i phøc mµt s¯ ği¬m HP,
                                                   th¶i gian ch¶ 2 phút
H°i Pháp Chú    C¤p 1 - 5    1-5 sau mµt khoäng th¶i gian nh¤t ğ¸nh h°i phøc mµt s¯ ği¬m MP,
                                                   th¶i gian ch¶ 2 phút",
help_ls_zhiyao,"Chª dßşc: Dùng dßşc li®u ğ¬ luy®n ğan dßşc, nh¢m tång hay h°i phøc sÑc mÕnh cho bän thân. Ph¥n l¾n chï có th¬ sØ døng khi không trong trÕng thái chiªn ğ¤u, có th¶i gian ch¶ cho m²i l¥n sØ døng. Ğa s¯ không có tác døng v¾i quái v§t và pvp.

Tên                                           C¤p ğµ c¥n      Tác døng
H°i Huyªt Dßşc Thüy           C¤p 1 - 5    1-5 Sau mµt khoäng th¶i gian nh¤t ğ¸nh h°i phøc HP y 
                                                           ği¬m (trÕng thái không chiªn ğ¤u)
H°i Pháp Dßşc Thüy            C¤p 1 - 5    1-5 Sau mµt khoäng th¶i gian nh¤t ğ¸nh h°i phøc MP y
                                                            ği¬m (trÕng thái không chiªn ğ¤u)
Gia T¯c Tång Huyªt Dßşc Thüy C¤p 1 - 5    1-5 h°i phøc ngay l§p  
                                               tÑc mµt s¯ ği¬m HP, th¶i gian ch¶ 3 phút
Gia T¯c Tång Pháp Dßşc Thüy C¤p 1 - 5    1-5 h°i phøc ngay l§p
                                              tÑc mµt s¯ ği¬m MP, th¶i gian ch¶ 3 phút
",
help_ltxt_ltbiaoqing,"Bi¬u tßşng vui
   BÕn ğã chán nhæng kı tñ khô khan? V§y hãy ch÷n nhæng bi¬u tßşng vui th§t sinh ğµng có sÇn trong h® th¯ng ğ¬ bày tö khiªu hài hß¾c cüa bÕn nhé.
Cách sØ døng ra sao?
R¤t ğ½n giän, bÕn chï c¥n nh¤p vào bi¬u tßşng m£t cß¶i dß¾i dòng nh§p li®u là s¨ xu¤t hi®n bäng li®t kê bi¬u tßşng vui. Ho£c bÕn có th¬ nh§p trñc tiªp vào thanh nh§p li®u kı hi®u '#', sau ğó nh§p thêm s¯ hi®u tß½ng Ñng v¾i bi¬u tßşng là ğßşc.",
help_ltxt_ltdiy,"DIY Kı tñ tán gçu
   BÕn có mu¯n nhæng thông tin cüa bÕn n±i b§t lên không? BÕn có mu¯n thông tin cüa bÕn thu hút sñ chú ı cüa ngß¶i khác không? V§y thì hãy nh¾ nhæng l®nh t¡t dß¾i ğây nhé!
##s¯     Hi¬n th¸ m£t cß¶i. 
#r        Thay ğ±i dòng.
##        Hi¬n th¸ s¯#.
#b        Hi¬n th¸ kı tñ #bch¾p nháy.
#u        Hi¬n th¸ kı tñ #ugÕch chân.
#R        Hi¬n th¸ kı tñ #Rmàu ğö.
#G        Hi¬n th¸ kı tñ #Gmàu xanh.
#B        Hi¬n th¸ kı tñ #Bmàu lam.
#Y        Hi¬n th¸ kı tñ #Ymàu vàng.
#W        Hi¬n th¸ kı tñ #Wmàu tr¡ng.
#K        Hi¬n th¸ kı tñ #Kmàu ğen.
#c        Dña theo bäng màu RGB 16 bit có th¬ hi¬n th¸ kı tñ có màu theo bäng.
#n        Khôi phøc lÕi màu s¡c và trÕng thái kı tñ m£c ğ¸nh.",
help_ltxt_ltml,"Dß¾i ğây là mµt s¯ l®nh tán gçu ğ¬ giúp bÕn ti®n thao tác:
/s                               Tán gçu chung
/tên ngß¶i ch½i        Tán gçu riêng
/t                                Hàn Huyên trong Nhóm
/o                               Hàn Huyên trong Môn Phái
/g                                Hàn Huyên trong Bang Hµi
/w                               Hàn Huyên trong Tam Gi¾i
/y                                Loan Báo
/d                                Hàn Huyên Giao D¸ch
Nªu bÕn không nh¾ ğßşc các l®nh t¡t trong trò ch½i, bÕn có th¬ gõ /chat ho£c /chathelp vào khung tán gçu, h® th¯ng s¨ tñ ğµng li®t kê các l®nh tán gçu.",
help_ltxt_ltpd,"Trong kênh hàn huyên có 8 kênh nhö: 
Hi®n tÕi: T¤t cä ngß¶i ch½i trong t¥m nhìn ğ«u có th¬ ğ÷c ğßşc tin tÑc công b¯ trên kênh hi®n tÕi. 
Loan báo: T¤t cä ngß¶i ch½i trong khu vñc ğ«u có th¬ ğ÷c ğßşc tin tÑc công b¯ trên kênh này.
Nhóm: Kênh riêng dùng ğ¬ liên lÕc v¾i các thành viên trong nhóm lúc l§p thành nhóm. Nªu ngß¶i ch½i không có nhóm thì s¨ nh§n ğßşc thông báo cüa h® th¯ng: 'Hi®n chßa có nhóm'.
Môn phái: Dành cho nhæng ngß¶i ch½i trong cùng môn phái liên lÕc v¾i nhau, t¤t cä ngß¶i ch½i trong môn phái ğ«u có th¬ ğ÷c ğßşc nhæng tin tÑc công b¯ trên kênh này.
Bang hµi: Dành cho nhæng ngß¶i ch½i trong cùng bang hµi liên lÕc v¾i nhau, t¤t cä nhæng ngß¶i ch½i trong cùng bang hµi ğ«u có th¬ ğ÷c ğßşc nhæng tin tÑc công b¯ trên kênh này. Nªu ngß¶i ch½i chßa vào bang hµi thì s¨ nh§n ğßşc thông báo cüa h® th¯ng: 'Hi®n chßa có bang hµi'.
Tán gçu riêng: Kênh tán gçu riêng dùng ğ¬ m²i ngß¶i ch½i liên lÕc v¾i nhau. Thông tin chï có th¬ truy«n ğªn mµt ngß¶i ch½i cø th¬.
Nªu ngß¶i ch½i ğó v¡ng m£t thì bÕn s¨ nh§n ğßşc thông báo cüa h® th¯ng:  '**Ngß¶i ch½i v¡ng m£t'.
Giao d¸ch: Kênh giao d¸ch dùng ğ¬ công b¯ nhæng tin tÑc v« nhæng yêu c¥u v§t ph¦m cüa ngß¶i ch½i trong trò ch½i.
Tam gi¾i: T¤t cä ngß¶i ch½i trong trò ch½i ğ«u có th¬ ğ÷c ğßşc nhæng tin tÑc công b¯ trên kênh tam gi¾i. Nhßng vi®c sØ døng kênh tam gi¾i b¸ gi¾i hÕn b·i c¤p ğµ ngß¶i ch½i, chï có ngß¶i ch½i c¤p ğµ 80 tr· lên m¾i có th¬ sØ døng.",
help_monster_11to20,"Sau khi träi qua th¶i kÏ tân thü, ngß¶i ch½i t× c¤p 11 tr· ği có th¬ ch÷n t× Thiên Hóa Thôn ği Vân Linh S½n ho£c t× Døc Thành Thôn ği ğªn H± Träo S½n luy®n công làm nhi®m vø, nhi®m vø cüa hai bên không ğ¯i l§p nhau nên có th¬ làm cä hai. Ngoài ra t× c¤p 15 tr· ği có th¬ nh§n ğßşc nhi®m vø c¤m ğ¸a · hai n½i này, có th¬ cùng ğÕo hæu l§p nhóm, cùng nhau th¬ nghi®m nhæng c¤m ğ¸a ğ¥y thØ thách. 

Quái v§t · Vân Linh S½n
Biªn D¸ Trúc Di®p Thanh c¤p 11 Vân Linh Trúc Häi
Xà Vß½ng Cänh V®   c¤p 11 Vân Linh Trúc Häi
Trúc Di®p Thanh     c¤p 12 Vân Linh Trúc Häi
Trúc Lâm Xà Vß½ng   c¤p 12 Vân Linh Trúc Häi (Tinh Anh)
Phi Ngô Công     c¤p 13 Ngô Công S½n
Chí MÕng Ngô Công   c¤p 13 Ngô Công S½n
Xà Thü TÕp D¸ch   c¤p 14 Vân Linh S½n Thôn
Tiên Linh Ngô Công   c¤p 14 Vân Linh S½n Thôn (Tinh Anh)
Xà Thü Bµ Ğ¥u   c¤p 15 Vân Linh S½n Thôn
Ğ¥u Møc Xà Phï   c¤p 16 Vân Linh S½n Thôn
Xà Nhân Thü V®   c¤p 16 Vân Linh S½n Thôn
Xà Phï Tß¾ng Quân   c¤p 16 Vân Linh S½n Thôn (Tinh Anh)
QuÖ Höa       c¤p 17 Ác QuÖ Quan TrÕi
QuÖ Phong Yêu ĞÕo   c¤p 18 Ác QuÖ Quan TrÕi (Tinh Anh)
Oán QuÖ       c¤p 19 Ác QuÖ Quan TrÕi
Ác QuÖ       c¤p 20 Ác QuÖ Quan TrÕi

Quái v§t · H± Träo S½n
Mãng Xà       c¤p 11 Kinh Cúc Lînh
Ğµc Dång       c¤p 12 Kinh Cúc Lînh
Nam S½n Dân     c¤p 12 Kinh Cúc Lînh
Hung Hãn S½n Dân c¤p 13 Nha Lâm TrÕi
Ti¬u Dã La   c¤p 14 Ğ°i Dã La
Ti¬u yêu ğÕo Hà Hßng c¤p 14 Nha Lâm TrÕi (Tinh Anh)
S½n Lâm Dã Lang   c¤p 15 Nha Lâm TrÕi
Ti¬u Kim Nhu     c¤p 16 Nha Lâm TrÕi
Tùng Lâm NgÕc Ngß   c¤p 17 Ğ°i Dã La
H¡c Th¥n Thü V®   c¤p 18 Nha Lâm TrÕi
ĞÕi Dã La   c¤p 18 Ğ°i Dã La
H¡c Th¥n S½n Tß¾ng   c¤p 18 Nha Lâm TrÕi (Tinh Anh)
Ti¬u H±       c¤p 19 Ğ°i Dã La
S½n Lâm Mµc Tu Quái c¤p 20 Nha Lâm TrÕi
Kim Nhu       c¤p 20 Nha Lâm TrÕi",
help_monster_1to4,"Ğ¯i v¾i ngß¶i ch½i t× c¤p 5 tr· xu¯ng, vi®c hoàn thành mµt s¯ nhi®m vø trong môn phái, ğánh quái dña trên yêu c¥u cüa nhi®m vø là cách lên c¤p t¯t nh¤t.",
help_monster_21to24,"T× c¤p 21 tr· ği có th¬ ğªn Thành Ğô. Thành Ğô là ğô th¸ l¾n ğ¥u tiên mà bÕn g£p, r¤t nhi«u ngß¶i ch½i tø t§p · ğây. BÕn có th¬ nghï ng½i vui ch½i, sau ğó tiªp tøc con ğß¶ng tu luy®n.

Quái v§t · Thành Ğô
S½n Tinh       c¤p 21 Phía b¡c Thành Ğô
Dã Th¯       c¤p 21 Phía b¡c Thành Ğô
Phï Ğ°       c¤p 21 Phích Tà Thôn
Ğµc Ma Cô     c¤p 22 Phích Tà Thôn
Kim Quang Ğïnh     c¤p 22 Phích Tà Thôn (Tinh Anh)
Tùy Tùng Phi T£c   c¤p 22 Thi Gia HÕng
Tà Hoa Thiªu Gia   c¤p 23 Võ H¥u T×
H¡c Y T£c     c¤p 23 Bích V§n Am
Trß½ng Lßşng       c¤p 23 Thi Gia HÕng (Tinh Anh)
Hß½ng Khách Kì Quái c¤p 24 Võ H¥u T×",
help_monster_25to30,"T× c¤p 25 tr· ği có th¬ nh§n mµt s¯ nhi®m vø cüa Thành Ğô, sau ğó ğªn giao chiªn · T× Vân Tñ phía nam Thành Ğô, n½i ğây có c¤m ğ¸a m¾i là T× Vân Tñ Hoan HÖ Ği®n, c¤p 25 tr· ği có th¬ tri®u t§p ğÕo hæu ği thåm dò, nhßng không nên vào quá sâu, t¯t nh¤t hãy ğşi dªn khi c¤p ğµ cao h½n.

Quái v§t · T× Vân Tñ
Ngøy Thanh Giä MÕo c¤p 24 Thành tây Thành Ğô (Tinh Anh)
Ngøy Thanh Hµ V®   c¤p 24 Thành tây Thành Ğô
Dã Lang       c¤p 25 Thành tây Thành Ğô
Ác Hòa Thßşng     c¤p 25 Thành tây Thành Ğô
Phi Long Hµ V®   c¤p 25 Thành tây Thành Ğô
Kim T¢m Hµ V®   c¤p 25 Thành tây Thành Ğô
Ğ® TØ Mao Thái   c¤p 25 Thành tây Thành Ğô
Th¬ Hoa T£c     c¤p 26 Thành tây Thành Ğô
Kim T¢m Bách C± Ğµc c¤p 26 Thành tây Thành Ğô (Tinh Anh)
Phi Long       c¤p 26 Thành tây Thành Ğô (Tinh Anh)
Løc Bào Lão T±   c¤p 26 Thành tây Thành Ğô (Tinh Anh)
Mao Thái       c¤p 26 Thành tây Thành Ğô (Tinh Anh)
T× Vân Tång Binh   c¤p 27 T× Vân Tñ
Phï Ğ° N£c Danh c¤p 27 T× Vân Tñ
Dß½ng Hoa       c¤p 27 T× Vân Tñ (Tinh Anh)
Tiªt Mãng Xà       c¤p 28 Ngøy Gia Thôn (Tinh Anh)
Xích Di­m ĞÕo Nhân   c¤p 28 Ngøy Gia Thôn (Tinh Anh)
T¥n Lãng       c¤p 28 Ngøy Gia Thôn (Tinh Anh)
Phong Tr¥n Næ TØ   c¤p 28 T× Vân Tñ
Du DÑc       c¤p 28 T× Vân Tñ (Tinh Anh)
T× Vân Man Tång   c¤p 28 T× Vân Tñ
Kim Cß½ng Võ Tång   c¤p 29 T× Vân Tñ
Thü V® Ngøy Gia Thôn c¤p 29 Ngøy Gia Thôn
Tri Phi Thi«n Sß   c¤p 30 Ngøy Gia Thôn (Tinh Anh)

",
help_monster_31to35,"T× c¤p 31 có th¬ ğ±i ğ¸a ği¬m luy®n công t× T× Vân Tñ ğªn Quª Hoa S½n · phía nam, n½i ğây phong cänh hæu tình, là n½i tu chân cüa H°ng Hoa Bà Bà, nhßng sau khi Phi Long Sß Thái ğªn ğoÕt bäo, n½i này d¥n tr· nên kì lÕ. BÕn có th¬ ğªn ğây nghï ng½i, sau ğó nói chuy®n v¾i Nhßşc Lan ğ¬ xem có th¬ giúp ğŞ gì không.

Quái v§t · Quª Hoa S½n
Thiªt Thú      c¤p 31 Quª Hoa S½n
Ğào Tinh      c¤p 31 Quª Hoa Gian ĞÕo
Ğào Hoa Yêu      c¤p 31 Quª Hoa Lâm
Nhi­m Tà Ğào Thø c¤p 32 Su¯i Bích Tuy«n
Kim Ğà        c¤p 32 Su¯i Bích Tuy«n (Tinh Anh)
Kim Ğà Hµ V®    c¤p 32 Su¯i Bích Tuy«n
Thiªt Hµ V®    c¤p 33 H°ng Hoa Ğµng
Thiªt Nhân      c¤p 33 Quª Cß
H°ng Hoa Hµ V®    c¤p 34 H°ng Hoa Ğµng
NgÕc Ngß        c¤p 34 Ğ¥m Phúc Tiên
Th¥n NgÕc Thü V®     c¤p 34 Ğ¥m Phúc Tiên
Xuyên S½n Giáp      c¤p 34 Höa Vân Ğµng
Thiªt Cñ Nhân    c¤p 34 H°ng Hoa Ğµng (Tinh Anh)
Höa ThÕch Quái      c¤p 35 Höa Vân Ğµng
Th¥n NgÕc        c¤p 35 Ğ¥m Phúc Tiên (Tinh Anh)
H¡c ThÕch Quái      c¤p 35 Ğ¥m Ô Phong Thäo (Tinh Anh)
H°ng Hoa Bà Bà Giä MÕo c¤p 35 Höa Vân Ğµng (Tinh Anh)
Phi Long Sß Thái    c¤p 35 Phòng Luy®n Ğan (Tinh Anh)
H¡c ThÕch Hµ V®     c¤p 35 Ğ¥m Ô Phong Thäo

",
