"Ghi chú","Ti«n t¯","Nµi dung",""
"207","B¤t tïnh","$N b¸ $n làm cho tÑc gi§n ğªn mÑc ng¤t ği.",""
"208","B¤t tïnh","$N ngã r¥m xu¯ng ğ¤t, mi®ng th± huyªt.",""
"209","B¤t tïnh","$N b¸ $n làm cho tÑc gi§n ğªn mÑc ng¤t ği.",""
"210","B¤t tïnh","$N b¤t tïnh nhân sñ.",""
"211","To béo","$N nhìn vào gß½ng, h¯t hoäng kêu lên: ""i!Cái gß½ng này làm m£t mình trông to quá!""",""
"212","To béo","$N chï vào mûi cüa $n, ngây th½ nói: ""Nhìn kìa!Con hà mã to ghê!""",""
"213","To béo","$N nhìn vào gß½ng, h¯t hoäng kêu lên: ""i!Cái gß½ng này làm m£t mình trông to quá!""",""
"214","To béo","$N chï vào mûi cüa $n, ngây th½ nói: ""Nhìn kìa!Con hà mã to ghê!""",""
"215","To béo","$N nhìn m÷i ngß¶i ¤m Ñc nói: Th§t ra tôi có béo ğâu, chï là h½i tròn trînh.",""
"216","Sş hãi","$N chÕy mµt mÕch, ğµt nhiên phát hi®n mình ğã chÕy xa ba trßşng.",""
"217","Sş hãi","$N b¸ $n d÷a mµt tr§n.",""
"218","Sş hãi","$N chÕy mµt mÕch, ğµt nhiên phát hi®n mình ğã chÕy xa ba trßşng.",""
"219","Sş hãi","$N b¸ $n d÷a mµt tr§n.",""
"220","Sş hãi","$N lµ rõ vë höang sş.",""
"221","Phong lßu","$N h¾n h· hát: ""Là lá la, Hôm nay thê tØ v¡ng nhà!Ha ha ha, ta ği ra ngoài hái hoa!""",""
"222","Phong lßu","$N nói kh¨ vào tai $n: ""Chªt dß¾i ğao cüa nàng, làm ma cûng phong lßu.""",""
"223","Phong lßu","$N h¾n h· hát: ""Là lá la, Hôm nay thê tØ v¡ng nhà!Ha ha ha, ta ği ra ngoài hái hoa!""",""
"224","Phong lßu","$N nói kh¨ vào tai $n: ""Chªt dß¾i ğao cüa nàng, làm ma cûng phong lßu.""",""
"225","Phong lßu","$N kh¨ nói: ""Chªt dß¾i hoa mçu ğ½n, làm ma vçn phong lßu."" ",""
"226","TÕm bi®t 3","$N ğau kh± nói: ""Các huynh ğ®, ta không ±n r°i, m÷i ngß¶i · lÕi phäi c¯ g¡ng chiªn ğ¤u!"" sau ğó rút ra mµt phong bao ğö r°i nói thêm: ""Ğây là ti«n hµi phí cüa ta.""",""
"227","TÕm bi®t 3","$N nhìn theo bóng dáng d¥n khu¤t cüa $n, không khöi xót xa trong lòng. Trong không gian b²ng vång vÆng tiªng hát thê lß½ng: ""Ğêm nay ngß¶i ly bi®t, ngày nào g£p lÕi nhau?......""",""
"228","TÕm bi®t 3","$N ğau kh± nói: ""Các huynh ğ®, ta không ±n r°i, m÷i ngß¶i · lÕi phäi c¯ g¡ng chiªn ğ¤u!"" sau ğó rút ra mµt phong bao ğö r°i nói thêm: ""Ğây là ti«n hµi phí cüa ta.""",""
"229","TÕm bi®t 3","$N nhìn theo bóng dáng d¥n khu¤t cüa $n, không khöi xót xa trong lòng. Trong không gian b²ng vång vÆng tiªng hát thê lß½ng: ""Ğêm nay ngß¶i ly bi®t, ngày nào g£p lÕi nhau?......""",""
"230","TÕm bi®t 3","$N ğau kh± nói: ""Thª gian này có bæa ti®c nào không tàn, ta ği trß¾c mµt bß¾c, m÷i ngß¶i hãy bäo tr÷ng.""",""
"231","ĞÑa trë ngoan","$N nghî th¥m: TÕi sao mình ngoan thª này mà không ai thích mình nhï?",""
"232","ĞÑa trë ngoan","$N v² nh© ğ¥u $n, nói: ""Con ngoan, biªt nghe l¶i, giöi l¡m.""",""
"233","ĞÑa trë ngoan","$N nghî th¥m: TÕi sao mình ngoan thª này mà không ai thích mình nhï?",""
"234","ĞÑa trë ngoan","$N v² nh© ğ¥u $n, nói: ""Con ngoan, biªt nghe l¶i, giöi l¡m.""",""
"235","ĞÑa trë ngoan","$N nói v¾i m÷i ngß¶i: ""Thßa các trß·ng b¯i, cháu s¨ hát cho m÷i ngß¶i nghe bài ""Ti¬u tØ ngoan"" có ğßşc không Õ?""",""
"236","Cu¶i th¥m","Trên m£t $N hi®n ra mµt nø cß¶i bí ¦n.",""
"237","Cu¶i th¥m","$N nhìn $n cß¶i th¥m.",""
"238","Cu¶i th¥m","Trên m£t $N hi®n ra mµt nø cß¶i bí ¦n.",""
"239","Cu¶i th¥m","$N nhìn $n cß¶i th¥m.",""
"240","Cu¶i th¥m","$N cß¶i th¥m trong bøng.",""
"241","†u ğä","$N nhìn xung quanh, rút gß½m ra, nói mµt cách kiêu ngÕo: ""Chß v¸ cùng xông t¾i, ğÕi gia ta l¨ nào lÕi sş sao?""",""
"242","†u ğä","$N dùng hªt sÑc hét to: ""Ğ¯i v¾i $n hÕng ngß¶i này thì c¥n gì ğªn ğÕo nghîa giang h°, m÷i ngß¶i cùng xông lên ği!""",""
"243","†u ğä","$N nhìn xung quanh, rút gß½m ra, nói mµt cách kiêu ngÕo: ""Chß v¸ cùng xông t¾i, ğÕi gia ta l¨ nào lÕi sş sao?""",""
"244","†u ğä","$N dùng hªt sÑc hét to: ""Ğ¯i v¾i $n hÕng ngß¶i này thì c¥n gì ğªn ğÕo nghîa giang h°, m÷i ngß¶i cùng xông lên ği!""",""
"245","†u ğä","$N dùng hªt sÑc hét to: ""M÷i ngß¶i cùng xông lên ği!""",""
"246","Vû khí","$N rút gß½m ra, vung tay mµt phát ğã chém ğÑt t¤m khån qu¤n trên ğ¥u.",""
"247","Vû khí","$N nhanh chóng rút gß½m ra khöi vö, ""xo©t"" mµt tiªng ğã khiªn cho $n ngã xu¯ng ğ¤t.",""
"248","Vû khí","$N rút gß½m ra, vung tay mµt phát ğã chém ğÑt t¤m khån qu¤n trên ğ¥u.",""
"249","Vû khí","$N nhanh chóng rút gß½m ra khöi vö, ""xo©t"" mµt tiªng ğã khiªn cho $n ngã xu¯ng ğ¤t.",""
"250","Vû khí","$N nhanh chóng rút gß½m ra khöi vö.",""
"251","Anh tu¤n","$N nói mµt cách tñ tin: ""Anh hùng trong thiên hÕ, lu§n v« võ công cao thì có r¤t nhi«u ngß¶i, nhßng nói ğªn tß¾ng mÕo thì chÆng ai bì ğßşc v¾i ta.""",""
"252","Anh tu¤n","$N chï vào $n mïm cß¶i: ""Tß¾ng mÕo cüa huynh không chï khôi ngô tu¤n tú mà còn phong lßu khoáng ğÕt, quä th§t là có mµt không hai. """,""
"253","Anh tu¤n","$N nói mµt cách tñ tin: ""Anh hùng trong thiên hÕ, lu§n v« võ công cao thì có r¤t nhi«u ngß¶i, nhßng nói ğªn tß¾ng mÕo thì chÆng ai bì ğßşc v¾i ta.""",""
"254","Anh tu¤n","$N chï vào $n mïm cß¶i: ""Tß¾ng mÕo cüa huynh không chï khôi ngô tu¤n tú mà còn phong lßu khoáng ğÕt, quä th§t là có mµt không hai. """,""
"255","Anh tu¤n","$N cß¶i mà nói: ""Tß¾ng mÕo cüa các v¸ nhân huynh quä th§t khôi ngô, c¯t cách phi phàm, vóc dáng cao to, m¡t sáng nhß sao, vë m£t uy nghi, ğ«u là nhæng anh hùng ng÷c di®n hành hi®p trßşng nghîa, Thiªu niên anh ... à không. Trung niên anh tu¤n.""",""
"256","Cß¶i gian xäo","$N n· mµt nø cß¶i nham hi¬m, dß¶ng nhß ğang nghî ğªn mµt ı ğ° x¤u.",""
"257","Cß¶i gian xäo","$N nhìn $n cß¶i khà khà gian xäo.",""
"258","Cß¶i gian xäo","$N n· mµt nø cß¶i nham hi¬m, dß¶ng nhß ğang nghî ğªn mµt ı ğ° x¤u.",""
"259","Cß¶i gian xäo","$N nhìn $n cß¶i khà khà gian xäo.",""
"260","Cß¶i gian xäo","$N cß¶i khà khà gian xäo.",""
"261","Cß¶i ng¾ ng¦n","$N cß¶i ha ha.",""
"262","Cß¶i ng¾ ng¦n","$N nhìn $n cß¶i ha ha.",""
"263","Cß¶i ng¾ ng¦n","$N cß¶i ha ha.",""
"264","Cß¶i ng¾ ng¦n","$N nhìn $n cß¶i ha ha.",""
"265","Cß¶i ng¾ ng¦n","$N cß¶i ha ha.",""
"266","Anh hùng","$N dùng hªt sÑc hét l¾n: ""Ha!Chém ğ¥u chÆng qua chï là ğ¥u r½i xu¯ng ğ¤t, ti¬u gia ta mß¶i tám nåm sau s¨ lÕi là mµt häo hán!""",""
"267","Anh hùng","$N nhìn $n thét to: ""Sş gì mà sş, m¤t ğ¥u chÆng qua chï là thêm mµt vªt s©o không b¢ng cái bát thôi, ngß½i có gan thì ğ¤u v¾i h¡n mµt tr§n ği!""",""
"268","Anh hùng","$N dùng hªt sÑc hét l¾n: ""Ha!Chém ğ¥u chÆng qua chï là ğ¥u r½i xu¯ng ğ¤t, ti¬u gia ta mß¶i tám nåm sau s¨ lÕi là mµt häo hán!""",""
"269","Anh hùng","$N nhìn $n thét to: ""Sş gì mà sş, m¤t ğ¥u chÆng qua chï là thêm mµt vªt s©o không b¢ng cái bát thôi, ngß½i có gan thì ğ¤u v¾i h¡n mµt tr§n ği!""",""
"270","Anh hùng","$N dùng hªt sÑc hét l¾n: ""Ha!Chém ğ¥u chÆng qua chï là ğ¥u r½i xu¯ng ğ¤t, ti¬u gia ta mß¶i tám nåm sau s¨ lÕi là mµt häo hán!""",""
