"ID","name","desc","talk_pre","talk_accept","talk_doing","talk_finish","task_failed","","","","","","",""
"72","Vô My M§t Hàm","Thay Tiên Gia ĞÕo Trß·ng l¤y m§t hàm t× tay Vô My Yêu Næ. ","Thì ra chính Vô My Yêu Næ ğã dùng yêu thu§t mê ho£c thôn dân lß½ng thi®n, . Ğ¬ bá tánh lß½ng thi®n không b¸ Vô My Giáo mê ho£c, nh¤t ğ¸nh phäi ğánh bÕi Vô My Yêu Næ. G¥n ğây ta phát hi®n chúng thß¶ng mang theo vài lá thß, ngß½i hãy giúp ta l¤y vài lá thß v« xem r¯t cuµc chúng ğang mu¯n gi· trò quÖ gì.","Ği nhanh v« nhanh, ğ×ng làm kinh ğµng ğªn ngß¶i khác, vi®c này càng ít ngß¶i biªt càng t¯t.","Sao? Ğã l¤y ğßşc thß chßa?","T× m§t thß cho th¤y, chúng ğang t§p trung dß ğäng ğªn ğây, nh¤t ğ¸nh là mu¯n hành ğµng gì. Chúng ta phäi tiªp tøc theo dõi nh¤t cØ nh¤t ğµng cüa b÷n yêu nhân.","Vi®c này vô cùng ğ½n giän, sao ngß½i cûng không làm ğßşc?","","","","","","",""
"73","Phª Tích Oán Linh","Thay Tiên Gia ĞÕo Trß·ng tiêu di®t nhæng Oán Linh lßşn l¶ quanh Oán Linh Phª Tích.","Không ng¶ T±ng Ğàn Vô My Giáo lÕi · trong Oán Linh Phª Tích, chúng ta ğúng là quá s½ su¤t. Ta nghî không th¬ tiªp tøc ch¶ ğşi, chúng ta phäi ra tay trß¾c, tiêu di®t lû Oán Linh lßşn l¶ quanh Oán Linh Phª Tích.","Oán Linh bay lßşn b¤t ğ¸nh, ngß½i phäi kiên nhçn. ","Sao ngß½i tr· v« s¾m thª? Không phäi b¸ b÷n Oán Linh ğánh bÕi chÑ?","Ha ha! T¤n công Oan Linh Phª Tích tr§n ğ¥u ğã giành th¡ng lşi.","Vi®c này vô cùng ğ½n giän, sao ngß½i cûng không làm ğßşc?","","","","","","",""
"74","Oan H°n Läng Väng","Tiêu di®t Oan H°n, ğ¬ linh h°n cüa chúng ğßşc siêu thoát.","Bá tánh b¸ Vô My Giáo mê ho£c sau khi chªt ği không th¬ ğ¥u thai, biªn thành Oan H°n, t§p trung quanh Oan Linh Phª Tích, mang theo lòng h§n thù, t¤n công sinh v§t xung quanh. Ğ¬ giúp h÷ ğßşc siêu thoát, tiêu di®t Oan H°n là cách duy nh¤t.","Nhæng Oan H°n ğáng thß½ng, ngß½i mau ği siêu ğµ cho h÷ ği.","Ğ¬ siêu ğµ cho h÷, ngß½i phäi ğánh bÕi h÷. ","Thôn dân tØ mÕng cu¯i cùng cûng ğßşc siêu thoát.","Vi®c này vô cùng ğ½n giän, sao ngß½i cûng không làm ğßşc?","","","","","","",""
"75","Lân Höa KÏ LÕ ","Tiêu di®t Lân Höa.","Lân Höa lãng vãng trong Oán Linh Phª Tích là quÖ quái do Vô My Giáo Chü Mãnh Höa tri®u h°i. Do cäm th¤y th¤t bÕi v¾i nhæng Thø Mê Nam Nhân, nên ğã chuy¬n sang tri®u h°i d¸ gi¾i quÖ quái. Nhân lúc Lân Höa m¾i ğßşc tri®u h°i, nång lñc chßa h°i phøc, chúng ta hãy tiêu di®t chúng.","Lân Höa là loài quÖ quái ğáng sş, nó h¤p thø không nh×ng nång lßşng xung quanh và mÕnh lên, ngß½i hãy nhân lúc nó chßa mÕnh lên hãy tiêu di®t nó. ","Hãy c¦n th§n, ğ×ng ğ¬ Lân Höa khôi phøc sÑc mÕnh.","Th§t nguy hi¬m! Lân Höa quä th§t khó ğ¯i phó, ta lo cho ngß½i quá.","Vi®c này vô cùng ğ½n giän, sao ngß½i cûng không làm ğßşc?","","","","","","",""
"76","Ngµ Nh§p KÏ Ğ° ","Tiêu di®t Vô My Giáo Giáo Chü Mãnh Höa ĞÕo Trß·ng.","Mãnh Höa ĞÕo Trß·ng v¯n là ğ°ng môn cüa H± Träo S½n Ğ¢ng Tu Ğµng Yêu ĞÕo Vßu Thái Chân, v¯n không phäi kë ğÕi gian ğÕi ác, nhßng khi nghe Vßu Thái Chân ba hoa v« Tiên Gia Pháp Bäo thì chşt n±i lòng tham, tu luy®n tà thu§t, gia nh§p ma ğÕo, quyªt không tr· v«. Nghîa cØ l¥n này là giài thoát Mãnh Höa ĞÕo Trß·ng, ğ¬ lão quay v« luân h°i, tu hành chuµc tµi.","Ngày này nåm sau chính là ngày tª cüa Mãnh Höa ĞÕo Trß·ng.","Yêu pháp cüa Mãnh Höa ĞÕo Trß·ng r¤t lşi hÕi, ngß½i phäi c¦n th§n, có th¬ tri®u t§p nhi«u ğÕo hæu cùng ği.","B¡t ğ¥u t× hôm nay Vô My Giáo ğã th§t sñ biªn m¤t.","Vi®c này vô cùng ğ½n giän, sao ngß½i cûng không làm ğßşc?","","","","","","",""
"77","M°i LØa Kinh Cúc Lînh","Thay Chu Vân Tòng tìm cö khô làm m°i lØa.","Nhæng bøi Kinh Cúc r§m rÕp ch¡n ğß¶ng ği cüa ta, ta ğang suy nghî xem có cách nào khai hoang chúng không. Hay ngß½i giúp ta chu¦n b¸ mµt s¯ cö khô, chúng ta s¨ ğ¯t bøi Kinh Cúc, m· rµng ğß¶ng xá.","Xung quanh có r¤t nhi«u cö khô, ğ×ng lo không tìm th¤y.","Th§t may · ğây có ğ¯ng cö khô có th¬ giúp chúng ta, nhanh lên nào.","Ha ha! Ğa tÕ ngß½i giúp ta thu nh£t nhi«u cö khô thª này.","Vi®c này vô cùng ğ½n giän, sao ngß½i cûng không làm ğßşc?","","","","","","",""
"78","Kë Mai Phøc Kinh Cúc ","Thay Chu Vân Tòng tiêu di®t b÷n Mãng Xà h°i sinh t× trong bøi Kinh Cúc.","Không ng¶ v×a ğ£t mình xu¯ng, ta ğã lŞ làm kinh ğµng ğªn lû mãng xà ğang ngü ğông trong bøi Kinh Cúc. Bän tính v¯n hung ác, ta e chúng s¨ gây ğÕi h÷a sau này, ngß½i hãy giúp ta tiêu di®t chúng trß¾c khi cä hang ± cüa Mãng Xà hoàn toàn tïnh gi¤c.","Lû ğµc xà ğó vçn còn ğang m½ màng, phäi tranh thü tiêu di®t chúng.","Th§t chÆng ra làm sao, ng÷n lØa khai hoang cüa ta không ng¶ lÕi mang ğªn nhi«u phi«n phÑc thª này.","Hóa ra thân thü cüa ngß½i lÕi nhanh nh©n ğªn thª!","Vi®c này vô cùng ğ½n giän, sao ngß½i cûng không làm ğßşc?","","","","","","",""
"79","TØ Thüy Ğµc Dång","Thay Thß½ng Phong TØ tiêu di®t Ğµc Dång trên Kinh Cúc Lînh.","Kinh Cúc Lînh r¤t khô c¢n, ta v¯n ğ¸nh ğªn ti¬u tuy«n · phía ğông l¤y nß¾c, không ng¶ b¸ Ğµc Dång ch£n lÕi. B÷n chúng sinh trß·ng · vùng ğ¤t khô c¢n này, tß¾ng mÕo hung dæ, ta b¸ chúng ğu±i ğªn ğây m¾i thoát thân, ngß½i hãy thay ta tiêu di®t chúng.","B÷n Ğµc Dång này r¤t lşi hÕi, ngß½i phäi c¦n th§n ğ×ng ğ¬ chúng phát hi®n.","Ngß½i không sao chÑ? Nªu không ğánh n±i thì thôi.","Th§t may g£p ngß½i · ğây, nªu không ta ğã b¸ Ğµc Dång b¡t làm th¸t r°i!","Vi®c này vô cùng ğ½n giän, sao ngß½i cûng không làm ğßşc?","","","","","","",""
"80","S½n Dân Ti«n Tiêu","Thay Thß½ng Phong TØ ğªn S½n Ğµng giáo hu¤n b÷n s½n dân phø trách phóng tiêu.","Ta phát hi®n S½n Ğµng phía trß¾c lúc nào cûng có vài s½n dân canh giæ, nh¤t ğ¸nh là tu¥n la phóng tiêu r°i. Chúng ğ«u là nhæng kë ngang ngßşc, cÑ nói ta ğªn l¤y c¡p ğ° cüa chúng, ta cûng chÆng bu°n giäi thích. Ngß½i có th¬ thay ta giáo hu¤n chúng không?","Nh¤t ğ¸nh phäi thay ta giáo hu¤n chúng!","Ta nghï · ğây mµt chút, lúc nãy ta tÑc chªt ği ğßşc. Ngß½i phäi giúp ta giáo hu¤n chúng mµt bài h÷c!","Hay l¡m! Ta ğÑng t× xa ğã trông th¤y ngß½i giáo hu¤n chúng nhß thª nào, cho ch×a thói ngang ngßşc.","Vi®c này vô cùng ğ½n giän, sao ngß½i cûng không làm ğßşc?","","","","","","",""
"81","Dûng Sî Cß¶ng Lñc","Ğ¬ chÑng tö khä nång, ngß½i hãy ği l¤y vài Dûng Sî Vû Mao trên ğïnh ğ¥u cüa nhæng Hung Hãn S½n Dân.","Bµ lÕc cüa chúng ta tôn th¶ sÑc mÕnh, chï có nhæng kÏ hi®p thñc thø m¾i xÑng ğáng ğßşc chúng ta xem tr÷ng, nªu ngß½i có th¬ mang v« vû mao trên ğïnh ğ¥u b÷n Hung Hãn S½n Dân thì chúng ta s¨ th×a nh§n sÑc mÕnh cüa ngß½i.","Ha ha ... Mau ği chÑng minh thñc lñc cüa ngß½i ği.","Ğªn g£p ta có chuy®n gì không? Mu¯n nói v¾i ta là ngß½i bö cuµc sao?","Ha ha ha! Ngß½i ğã qua ğßşc thØ thách cüa ta, quä th§t là mµt kÏ hi®p xu¤t chúng, ngß½i s¨ nh§n ğßşc sñ tôn kính cüa bµ lÕc này.","Vi®c này vô cùng ğ½n giän, sao ngß½i cûng không làm ğßşc?","","","","","","",""
"82","œy Thác cüa Trß·ng Lão ","Giúp S½n Dân Trß·ng Lão tìm Dã La Tông Mao.","Chúng tôi · ğây r¤t lâu r°i mà chßa th¤y ai dûng cäm nhß ngß½i. Ta th§t sñ có mµt vi®c mu¯n nh¶ ngß½i giúp, ngß½i yên tâm, không phäi vi®c khó ğ¯i v¾i ngß½i ğâu, chï là mu¯n nh¶ ngß½i l¤y dùm ta mµt vài c÷ng tông mao cüa Dã La mà thôi.","Dã La r¤t hi«n hòa, nhßng l¤y tông mao cüa chúng có th¬ s¨ làm chúng tÑc gi§n.","Có phäi ğã xäy ra phi«n phÑc gì ğâu? Hay ngß½i mu¯n nói v¾i ta là ngß½i bö cuµc?","Tông Mao này có th¬ gom lÕi dùng r°i, v¤t vä ngß½i quá.","Vi®c này vô cùng ğ½n giän, sao ngß½i cûng không làm ğßşc?","","","","","","",""
"83","Ti¬u Yêu ĞÕo Hà Hßng","Thay S½n Dân Trß·ng Lão tiêu di®t Ti¬u Yêu ĞÕo Hà Hßng l¦n tr¯n trong Nha Lâm TrÕi.","Ngß¶i ngoài nhìn th¤y trong thôn vô cùng thanh bình, thñc ch¤t · ğây luôn có mµt Yêu ĞÕo giám sát chúng ta. Tên h¡n là Hà Hßng, h¡n và sß phø cüa h¡n luôn âm mßu chiªm ğoÕt vùng ğ¤t này, th§t hªt cách, pháp lñc cüa Yêu ĞÕo vô cùng lşi hÕi vì thª ta chï còn cách âm th¥m nh¶ ngß½i giúp ğŞ, ngß½i có th¬ giæ bí m§t không?","H¡n không d­ ğ¯i phó ğâu, ngß½i hãy tri®u t§p vài ğÕo hæu cùng ği.","Ngß½i ğ×ng quên vi®c trß¾c ğây ta üy thác cho ngß½i.","Ha ha ha... Cu¯i cùng cûng ğã giäi quyªt ğßşc m¯i lo ngÕi cüa ta r°i. Ğa tÕ ngß½i!","Vi®c này vô cùng ğ½n giän, sao ngß½i cûng không làm ğßşc?","","","","","","",""
"84","Dã La Ğµt Kích","Giúp Ti¬u S½n Dân cüa bµ lÕc ğánh ğu±i Ti¬u Dã La. ","M¤y ngày trß¾c ta chï hái dã quä ½ n½i Dã La nghï ng½i, thª mà ğµt nhiên chúng lÕi n±i c½n truy ğu±i ta chÕy nhß m¤t mÕng v« làng... Vi®c này ta chï nói v¾i ngß½i, ngß½i ğ×ng nói v¾i ai cä... Ngß½i ta biªt ğßşc s¨ m¤t m£t l¡m. Ta xin ngß½i hãy giúp ta ğu±i b÷n hung th¥n ğó ği nªu không t× nay v« sau ta s¨ không bao gi¶ dám ği hái dã quä næa.","Hay quá! Ngß½i ğã nh§n l¶i, ta th¤y yên tâm r°i!","Ngß½i không sao chÑ? Nªu ngß½i không ğánh lÕi b÷n chúng thì thôi. CÑ coi nhß không có chuy®n gì xäy ra.","... Có th§t là Dã La ğã b¸ ngß½i ğánh ğu±i r°i không? T¯t quá! T× nay ta không còn lo sş khi ğªn ğó hái quä næa.","Vi®c này vô cùng ğ½n giän, sao ngß½i cûng không làm ğßşc?","","","","","","",""
"85","S½n Huy®t Qu¥n Lang","Thay S½n Dân Thiªt Tßşng tiêu di®t S½n Lâm Dã Lang g¥n Dã Thú Ğµng Huy®t.","Thì ra phía tây Nha Lâm TrÕi có r¤t nhi«u tinh thiªt, nhßng g¥n ğây ta phát hi®n n½i ğó ğã b¸ b÷n S½n Lâm Dã Lang chiªm ğóng, mµt mình ta có th¬ mi­n cßŞng chiªn ğ¤u v¾i ba con, nhßng b÷n chúng quä th§t r¤t ğông, phi«n ngß½i có th¬ tiêu di®t b÷n chúng giúp ta không?","B÷n S½n Lang ğó r¤t hung bÕo, ngß½i phäi c¦n th§n.","Có phäi ğã xäy ra chuy®n gì r°i không? Hay ngß½i mu¯n nói v¾i ta là ngß½i chu¦n b¸ bö cuµc?","Không còn b÷n Dã Lang ğó ta ği hái quä cûng cäm th¤y an toàn h½n.","Vi®c này vô cùng ğ½n giän, sao ngß½i cûng không làm ğßşc?","","","","","","",""
"86","Truy«n thuyªt S½n Th¥n","Thay Ti¬u S½n Dân ği«u tra v« vi®c có liên quan ğªn S½n Lang Th¥n.","Ta... Ta... Ta phäi nh¶ ngß½i thêm mµt vi®c næa. Có mµt ğêm ta ğang tän bµ bên ngoài, phát hi®n cách ğó không xa có mµt con sói ğang nhìn v« phía ta, v¯n chÆng có gì nhßng khi ta nhìn th¤y hình änh cüa con sói ğó ta sş chªt khiªp, ğuôi cüa nó to g¤p m¤y l¥n sói bình thß¶ng... Ta không ğùa v¾i ngß½i ğâu! — ğây có truy«n thuyªt S½n Lang Th¥n... Ta sş ğêm ğó ta g£p chính là S½n Lang Th¥n... Th§t kh±... Ta làm sao lÕi xui xëo thª này?","Ngß¶i nhìn th¤y S½n Lang Th¥n cä ğ¶i s¨ g£p không may...","Ngß½i có nhìn th¤y S½n Lang Th¥n ta nói không?","A? ? Ngß½i nói ğêm ğó ta nhìn th¤y không phäi là S½n Lang Th¥n sao? Là do ánh trång chiªu xu¯ng thân nó sao?","Vi®c này vô cùng ğ½n giän, sao ngß½i cûng không làm ğßşc?","","","","","","",""
"87","Chü Bµc Trùng Phùng","Thay Ti¬u Tam Nhi ğánh ğu±i nhæng tên ğang canh giæ - Ti¬u Kim Nhu.","Thiªu lão gia Vân Tòng cüa ta nói s¨ l§p tÑc ğªn ngay! T¯t quá, chúng ta ğã nhi«u nåm ly tán, hôm nay có th¬ g£p nhau tÕi ğây ta không biªt di­n tä ni«m vui cüa mình nhß thª nào! Nhßng ta b¸ b÷n Ti¬u Kim Nhu mà nhÕc mçu phái ğªn canh giæ, ta không có cách nào thoát thân. Nªu ngß½i có th¬ giúp ta khai tr× b÷n chúng thì t¯t quá. ","Th§t không ng¶ ngß½i ğ°ng ı dÑt khoát nhß v§y! Xin ğa tÕ!","Sao, b÷n Ti¬u Kim Nhu có d­ ğ¯i phó không?","Ha ha, ta tñ do r°i! Có th¬ trùng phùng v¾i Ti¬u Thiªu Gia r°i. ","Vi®c này vô cùng ğ½n giän, sao ngß½i cûng không làm ğßşc?","","","","","","",""
"88","Ğ¢ng Tu Ğµng D¸ Thú ","Thay Ti¬u Tam Nhi tiêu di®t Thü Lînh Kim Nhu trong Ğ¢ng Tu Ğµng.","H½ ... Ngß½i làm sao hi¬u n²i kh± cüa ta. Hi«n thê và nhÕc mçu cüa ta là Tiên Gia Linh Thú, hi®n ğang tu luy®n ğ¬ hóa thành ngß¶i. Nhßng do th¯ng lãnh cüa bµ tµc Kim Nhu trong Ğ¢ng Tu Ğµng b¸ Yêu ĞÕo mê ho£c, r¤t b¤t mãn v¾i vi®c này, hy v÷ng ngß½i hãy tiêu di®t h¡n hµ ta, giúp ta thoát khöi sñ kh¯ng chª cüa Yêu ĞÕo.","Thü Lînh Kim Nhu hành tung bí ¦n, ngß½i phäi t¯n công sÑc m¾i tìm ğßşc h¡n ta.","Có phäi ğã xäy ra chuy®n gì r°i không? Hay ngß½i mu¯n nói v¾i ta là ngß½i chu¦n b¸ bö cuµc?","Cu¯i cùng ta ğã ğßşc tñ do! Cûng nh¶ công ngß½i cä!","Vi®c này vô cùng ğ½n giän, sao ngß½i cûng không làm ğßşc?","","","","","","",""
"89","Lâm Trung Thüy Nguyên","Thay S½n Dân Thôn Phø tiêu di®t NgÕc Ngß, cÑu ngu°n nß¾c ğang b¸ ô nhi­m.","Nß¾c cüa · ğây ğøc ng¥u, thôn dân u¯ng loÕi nß¾c này thß¶ng m¡c nhi«u b®nh lÕ. Ğây ğ«u là do b÷n NgÕc Ngß gây ra cä. Ngß½i có th¬ giúp ta ğu±i chúng ği ğ¬ thôn dân có lÕi ngu°n nß¾c sÕch không?","NgÕc Ngß hung hãn tàn bÕo, trß¾c ğây có vài thôn dân mu¯n ğu±i chúng ği, nhßng ğ«u mµt ği không tr· lÕi, ngß½i phäi c¦n th§n.","B÷n NgÕc Ngß có phäi r¤t khó ğ¯i phó nhß ta nói không?","T¯t quá! Ta lÕi có th¬ u¯ng ngu°n nß¾c sÕch r°i!","Vi®c này vô cùng ğ½n giän, sao ngß½i cûng không làm ğßşc?","","","","","","",""
"90","H± Vß½ng Bình Ba","Tiêu di®t H± Vß½ng, di®t tr× Yêu ĞÕo Hµ Pháp.","Có phäi trong thôn ngß½i ğã g£p Ti¬u S½n Dân và nghe h¡n k¬ v« truy«n thuyªt cüa S½n Lang Th¥n không? Thñc ra S½n Th¥n có t°n tÕi nhßng không phäi là Sài Lang nhß h¡n nói mà là Thông Linh Mãnh H±, chính H± Vß½ng H± Träo S½n ngày xßa, bây gi¶ ğã b¸ Yêu ĞÕo thu phøc, tr· thành hµ v® trong Ğ¢ng Tu Ğµng. Sau này ngß½i có vào Ğ¢ng Tu Ğµng thì phäi hªt sÑc c¦n th§n.","M÷i hành ğµng ğ«u phäi c¦n th§n, H± Vß½ng v¯n là Th¥n V§t, thñc lñc không th¬ xem thß¶ng.","Ngß½i không sao chÑ? Nªu nhß ğánh không lÕi thì thôi. Xem nhß không có chuy®n gì xäy ra.","Cu¯i cùng H± Vß½ng cûng ğã b¸ chính phái tiêu di®t.","Vi®c này vô cùng ğ½n giän, sao ngß½i cûng không làm ğßşc?","","","","","","",""
"91","Cñc Hàn Nghiêm Ğông","H² trş S½n Dân Thß½ng Nhân l¤y mµt ít bì mao cüa Dã La ğ¬ làm áo ¤m giúp thôn dân s¯ng qua mùa ğông giá rét.","Häo kÏ hi®p, bì mao · S½n TrÕi không còn bao nhiêu, lÕi g¥n ğªn hàn ğông, nªu nhß không ğü bì mao làm áo ¤m thì s¨ có nhi«u thôn dân phäi thi®t mÕng. Vì lşi ích cüa bµ lÕc, ta hy v÷ng ngß½i có th¬ sån vài con ĞÕi Dã La ğ¬ l¤y bì mao cüa chúng.","Ngß½i hãy hành ğµng nhanh, ta · ğây ch¶ ngß½i.","Sao ngß½i ch§m chÕp thª? Chuy®n làm ån... à... Mùa ğông nào có ğşi ai!","Ha ha, l¥n này phát tài r°i, ngß½i th§t d­ b¸ l×a.","Vi®c này vô cùng ğ½n giän, sao ngß½i cûng không làm ğßşc?","","","","","","",""
"92","Dã La Vß½ng","Thay S½n Dân Trß·ng Lão nh§n l¶i khiêu chiªn cüa Dã La.","Nói ra cûng là chúng ta không ğúng, do s½n dân ğ«u sån b¡t Dã La, Dã La Vß½ng vô cùng tÑc gi§n, khiêu chiªn v¾i chúng ta, nªu không nh§n l¶i khiêu chiªn thì chúng san b¢ng S½n TrÕi. Ta vì vi®c này mà r¤t lo l¡ng. Hy v÷ng ngß½i giúp ta ğánh bÕi Dã La Vß½ng, làm d¸u tr§n phong ba này, ta ğäm bäo t× nay s¨ không sån b¡t b×a bãi næa.","Xin nh¶ ngß½i... Ta không mu¯n nhìn th¤y thôn làng vì chuy®n này mà b¸ tiêu di®t.","Sao ngß½i còn · ğây? L¨ nào ngß½i ğã quên vi®c ta üy thác cho ngß½i?","Th§t may có ngß½i ğã làm bình ±n tr§n cu°ng phong này, xin ğa tÕ! ","Vi®c này vô cùng ğ½n giän, sao ngß½i cûng không làm ğßşc?","","","","","","",""
"93","TrÕi Chü H¡c Th¥n","Ğánh bÕi H¡c Th¥n - Nha Lâm TrÕi chi chü ğ¬ chÑng minh thñc lñc.","Có mµt vi®c khiªn ta cÑ bån khoån, do thñc lñc cüa ğ¯i phß½ng quá mÕnh, ta vçn chßa tìm ğßşc ngß¶i thích hşp. Trß¾c ğây bi¬u hi®n cüa ngß½i r¤t t¯t, vì ğ¬ th§n tr÷ng ta quyªt ğ¸nh cØ ngß½i ği ğánh bÕi H¡c Th¥n, không biªt ngß½i có th¬  ğäm nh§n tr÷ng trách này không?","Ğây là c½ hµi duy nh¤t ğ¬ ngß½i chÑng minh thñc lñc cüa mình, ngß½i hãy n¡m b¡t.","Bây gi¶ rút lui còn k¸p, ngß½i hãy suy nghî c¦n th§n.","M¤y nåm nay r¤t ít ngß¶i dám giao chiªn v¾i H¡c Th¥n, không ng¶ ngß½i có th¬ ğánh bÕi h¡n, th§t không th¬ tin ğßşc.","Vi®c này vô cùng ğ½n giän, sao ngß½i cûng không làm ğßşc?","","","","","","",""
"94","Ğào Nguyên Th± TrÑ ","Nh§n l¶i üy thác cüa S½n Dân Trß·ng Lão ğªn bên trong Ğ¢ng Tu Ğµng tiêu di®t S½n Dân Hµ Pháp.","S½n Dân Hµ Pháp cß trú tÕi Ğào Nguyên Thôn bên trong Ğ¢ng Tu Ğµng, do b¤t mãn v¾i vi®c kª v¸ cüa H¡c Th¥n, bän thân lÕi yªu thª  nên ğã ch¤p nh§n sñ bäo hµ cüa Yêu ĞÕo, tiªn nh§p tà môn. Nªu nhß uy lñc cüa H¡c Th¥n không phäi thuµc hÕng thßşng th×a thì ¡t hÆn ğã s¾m b¸ l§t ğ±, Nha Lâm TrÕi s¾m muµn cûng r½i vào tay b÷n hung tà. Vì sñ an nguy cüa bµ lÕc, ngß½i hãy ğªn Ğ¢ng Tu Ğµng tiêu di®t S½n Dân Hµ Pháp.","N¡m b¡t th¶i c½, chúng ta phäi ra tay trß¾c ğ¬ giành th¡ng lşi.","Sao ngß½i còn · ğây? L¨ nào ngß½i ğã quên vi®c ta ğã üy thác?","T¯t quá, t× nay s¨ không còn lo sş b÷n Hµ Pháp ğó ğªn qu¤y nhi­u chúng ta næa.","Vi®c này vô cùng ğ½n giän, sao ngß½i cûng không làm ğßşc?","","","","","","",""
"95","Huynh Ğ® Thü Túc","Giúp Ti¬u ĞÕo Sî tiêu di®t Ti¬u H± trên ğ°i Dã La.","Ta v¯n là ğ® tØ cüa Yêu ĞÕo. Ta biªt r¢ng trß¾c ğây bän thân t×ng làm nhi«u vi®c không t¯t nhßng hoàn toàn không th¬ ch¤p nh§n vi®c sß phø b¡t ğ® ğ® cüa ta ğ¬ tu luy®n Pháp Bäo. Ğám Ti¬u H± chính là tay sai ğ¡c lñc cüa Yêu ĞÕo ğ°ng th¶i cûng là thú cßng cüa lão, ngß½i có th¬ giúp ta tiêu di®t chúng không?","Tiêu di®t Ti¬u H±, nghîa cØ này s¨ giúp linh h°n ğ® ğ® cüa ta nguôi ngoai n½i chín su¯i.","Ğa tÕ ngß½i ğã giúp ğŞ, ngß½i · ğây có g£p khó khån gì không?","Xin ğa tÕ häo kÏ hi®p! Yêu ĞÕo, ta nh¤t ğ¸nh không tha cho ngß½i!","Vi®c này vô cùng ğ½n giän, sao ngß½i cûng không làm ğßşc?","","","","","","",""
"96","Giäi CÑu Linh Thú ","Giúp Kim Nhu l¤y vài C¤m Chª Phù Kı t× Mµc Tu Quái.","Ta chï vô tình ği ngang qua khu này, không ng¶ b¸ Yêu ĞÕo phát hi®n và b¸ yêu pháp cüa lão giam giæ ta tÕi n½i ğây. Chï có C¤m Chª Phù Kı cüa Mµc Tu Quái m¾i giäi thoát cho ta ğßşc. Phi«n ngß½i thay ta ği l¤y chúng v«.","Ta b¸ giam giæ · ğây ğã lâu, cu¯i cùng cûng ğã ğşi ğßşc mµt v¸ häo kÏ hi®p.","Phi«n ngß½i nhanh mµt chút ğßşc không? Chân ta ğã b¡t ğ¥u m¤t cäm giác r°i.","Ta b¸ giam c¥m quá lâu, nh¤t th¶i không th¬ di chuy¬n ğßşc, ngß½i cÑ ği làm vi®c cüa ngß½i ği, xin ğa tÕ. ","Vi®c này vô cùng ğ½n giän, sao ngß½i cûng không làm ğßşc?","","","","","","",""
"97","Ngøy D¸ Pháp Tr§n","Tiêu di®t Mµc Tu Quái ğ¬ phá Yêu ĞÕo Pháp Tr§n.","Yêu ĞÕo b¯ trí pháp tr§n tu luy®n Pháp Bäo kÏ lÕ tÕi Lâm Trung Tª Ğàn, ğßşc canh giæ nghiêm ng£t b·i S½n Lâm Mµc Tu Quái. Ğ¬ có th¬ tiªp c§n và phá tr§n pháp này, ngß½i c¥n phäi xØ lı S½n Lâm Mµc Tu Quái xung quanh trß¾c.","Mµc Tu Quái là ği¬m then ch¯t cüa Pháp Tr§n.","Vçn chßa hoàn thành mà!? Còn Mµc Tu Quái canh giæ thì không th¬ phá tr§n pháp ğßşc.","Yêu pháp cu¯i cùng cûng ğã b¸ giäi phá, nhßng Yêu ĞÕo ch¡c ch¡n tìm c½ hµi báo thù, sau này ngß½i hành t¦u tam gi¾i nên c¦n th§n.","Vi®c này vô cùng ğ½n giän, sao ngß½i cûng không làm ğßşc?","","","","","","",""
"98","C± Thành Oan H°n","Ğánh bÕi C± Thành Tà Linh ğ¬ giúp oan h°n ğßşc siêu thoát.","Ğ¢ng Tu Ğµng v¯n là Thành Trì C± ĞÕi, bö hoang ğã lâu, hi®n Yêu ĞÕo ğang chiªm ğóng. Yêu ĞÕo tà ác ğã thu th§p các h°n ma cüa thôn dân ğã tØ mÕng trong cuµc chiªn chính tà, biªn h÷ thành nhæng C± Thành Tà Linh. Th§t ra C± Thành Tà Linh r¤t ğau kh±, h÷ không mu¯n bán mÕng cho Yêu ĞÕo nhßng không còn cách nào khác, Yêu ĞÕo pháp lñc quá cao, chï có tiêu di®t h÷ m¾i có th¬ giúp linh h°n cüa h÷ siêu thoát.","Phäi hªt sÑc c¦n th§n, C± Thành Tà Linh b¸ kh¯ng chª nên r¤t lşi hÕi.","Sao ngß½i còn · ğây? L¨ nào ngß½i ğã quên vi®c ta ğã üy thác?","Nhæng oan h°n ğáng thß½ng ğó cu¯i cùng cûng ğã ğßşc siêu thoát.","Vi®c này vô cùng ğ½n giän, sao ngß½i cûng không làm ğßşc?","","","","","","",""
