"ID","name","desc","talk_pre","talk_accept","talk_doing","talk_finish","task_failed","",""
"1826","C¥u Vi®n Ti«n Tuyªn","Höi Thß½ng Long Cß Sî v« cách giäi ğµc.","Các ngß½i mau tìm cách ği, th§t vô døng, ngày thß¶ng ai n¤y ğ«u tö ra r¤t bän lînh, ğªn phút quan trong ğ«u tr· thành nhæng kë vô døng.. , là $username$, mµt s¯ huynh ğ® ğã b¸ Cñ Tích trong TØ Trúc Lâm c¡n b¸ thß½ng, Tích D¸ch có ch¤t k¸ch ğµc, ğã m¶i r¤t nhi«u ğÕi phu giöi ğ«u vô døng, ngài mau ği höi Thß½ng Long Cß Sî v« cách giäi ğµc.","Sinh m®nh cüa các huynh ğ® ğ«u n¢m trong tay ngài..","Tà khí · TØ Trúc Lâm ngày càng n£ng, th§t khiªn cho ngß¶i ta lo l¡ng. Bên Phòng Tuyªn g¥n ğây vçn ±n chÑ?","Có ai b¸ Tích D¸ch c¡n b¸ thß½ng không?","","",""
"1827","Ğµc Tích D¸ch","Thu th§p Thanh Du¦n và Ğµc Tuyªn trên ngß¶i Thñc Hü Cñ Tích.","Ğµc Cñ Tích r¤t lşi hÕi, nhßng giäi cûng không khó, chï c¥n có hai thÑ này là ğßşc, mµt là Thanh Du¦n · TØ Trúc Lâm, nó r¤t ğ£c bi®t, là báo v§t hiªm có và hai là Ğµc Tuyªn cüa Cñ Tích, cái này c¥n phäi mÕo hi¬m mµt chút.","C¦n th§n coi ch×ng b¸ Tích D¸ch c¡n trúng.","Thu th§p ğü nhæng thÑ mà lão phu c¥n chßa?","Xin ch¶ chút, lão phu s¨ ği chª thu¯c giäi.","","",""
"1828","Tr¸ Li®u","Mang TØ Tuyªt Bäo Ğan ğªn cho Phong KÖ Trung ğ¬ giäi ğµc cho nhæng dân binh b¸ trúng ğµc.","Uh, thu¯c giäi cu¯i cùng cûng luy®n thành, ğây là TØ Tuyªt Bäo Ğan, ğµc cüa nhi«u loÕi côn trùng hşp thành. Ngài mau c¥m l¤y ğem ği giäi ğµc cho nhæng dân binh b¸ thß½ng.","Bän thân ngài cûng b¸ trúng ğµc, cûng phäi u¯ng mµt viên.","Nh§n ğßşc thu¯c giäi chßa?","Nguy hi¬m vô cùng, ta không th¬ lÕi m¤t thêm mµt huynh ğ® nào næa.","","",""
"1829","TØ Trúc Lâm","Tiêu di®t CØu U Hành Giä · phß½ng b¡c TØ Trúc Lâm.","TØ Trúc Lâm v¯n là n½i tiên gia tu luy®n, nay lÕi b¸ âm khí bao phü, âm u rùng rşn, th§t ğáng tiªc. G¥n ğây lÕi có mµt ğám CØu U Hành Giä ğªn t× phß½ng b¡c, chúng là mµt ğám Linh h°n b¤t tØ, v¯n tu luy®n trên núi Côn Luân, sau lÕi chiªm TØ Trúc Lâm, cùng mµt ruµt v¾i La Kiêu, thß¶ng ğªn cß¾p b¯c ngß¶i dân Kinh ThÕch Dø. $username$, ği tiêu di®t b÷n chúng, vì dân tr× hÕi.","Chúng t§p trung · phía b¡c TØ Trúc Lâm, cÑ ği thÆng v« phía b¡c là s¨ ğªn.","Tiêu di®t b÷n chúng chßa?","CØu U Hành Giä ğã b¸ di®t, áp lñc · TØ Trúc lâm ğã ğßşc giäm b¾t mµt chút.","","",""
"1830","Hß Tin","Thåm dò Ti¬u ThÕch Bäo · phía b¡c TØ Trúc Lâm.","M¾i nhân ğßşc tin, CØu U Hành Giä ğã xây mµt ThÕch Bäo nhö · phía b¡c TØ Trúc Lâm, chúng thß¶ng tø th§p · ğó, không biªt làm gì, ch¡c cûng không phäi là chuy®n t¯t gì. N½i ğó r¤t th¥n bí, theo suy ğoán cüa lão phu, n½i ğó có mµt lñc lßşng r¤t là kì quái, $username$, ği ği«u tra ThÕch Bäo xem chúng gi· trò gì.","Trong ThÕch Bäo ch¡c có huy«n c½, nh¾ phäi th§n tr÷ng ğó.","Tình hình thª nào?","Tam Tài Kiªm? Ğây là v§t dùng ğ¬ b¯ trí Tam Tài Tr§n. Tam Tài Tr§n là mµt tr§n pháp cñc kì lşi hÕi, t§p trung sÑc lñc cüa Thiên ĞÕi Nhân Tam Gi¾i. TØ Trúc Lâm v¯n là n½i tu luy®n cüa Tiên Âm Kh¦u, CØu U Hành Giä mu¯n l§p Tam Tài Tr§n, không biªt có døng ı gì. Cûng may ngài cß¾p ğßşc Tam Tài Kiªm, nªu không h§u quä s¨ khôn lß¶ng.","","",""
"1831","M· C±ng Tà Ác","Tiêu di®t Thiªt Di®n Ph§t- thü lînh CØu U Hành Giä.","Chªt, chï có thü lînh CØu U Hành Giä Thiªt Di®n Ph§t m¾i thi tri¬n ğßşc Tam Tài Tr§n, lúc trß¾c lão phu ğã t×ng g£p qua chúng · B¡c Ğình, chúng b¸ ğu±i ra khöi Côn Luân. Ta v¯n cho r¢ng b÷n TØ Linh và La Kiêu có liên quan, hình nhß ta ğã ğoán sai, chúng mu¯n ğµc chiªm TØ Trúc Lâm, · ğó tu luy®n lâu dài, th§t ğáng chªt! $username$, Tam Tài Kiªm ğã m¤t, Thiªt Di®n Ph§t r¤t tÑc gi§n, bây gi¶ không có Tam Tài Tr§n, sñ uy hiªp cüa Thiªt Di®n Ph§t cûng không ğáng k¬, mau tiêu di®t Thiªt Di®n Ph§t ğ¬ tr× h§u hoÕn.","Thiªt Di®n Ph§t pháp thu§t cao cß¶ng, t¯t nh¤t là tìm thêm vài ngß¶i giúp, sau khi giªt chªt h¡n, mang Huy«n minh Ni®m Châu cüa h¡n v«.","Giªt ch¤t Ma Vß½ng ğó chßa?","Thiªt Di®n Ph§t ğã chªt, cu¯i cùng cûng tiêu di®t ğßşc mµt m¯i h÷a l¾n.","","",""
"1832","Phän công Phi Lôi Lînh (2)","Tiêu di®t Khô C¯t Ma, thu ğßşc Linh C¯t cüa nó r°i giao cho Thß½ng Long Cß Sî.","CØu U Hành Giä và La Kiêu không có quan h® gì. Lúc trß¾c không ğ« phòng b÷n La Kiêu, khiªn cho thª lñc cüa chúng trong th¶i gian này ngày càng mÕnh. Vì sñ c¯ ch¤p cüa lão phu ğã khiªn cho ğµi dân binh phòng v® t±n th¤t tr¥m tr÷ng, không còn m£t mûi nhìn thß½ng thân phø lão Kinh ThÕch Dø. $username$, Phòng Tuyªn TØ Trúc Lâm ğã không ch¸u n±i, nên b¸ CØu U Hành Giä tiêu di®t, bây gi¶ ta phäi l§p tÑc t¤n công ğïnh Phi Lôi Lînh. Trên ngß¶i Khô C¯t Ma có mµt loÕi Linh C¯t, các TØ Linh này nh¶ vào Linh C¯t m¾i có th¬ xuyên qua ğßşc c±ng D¸ Gi¾i, ğªn Phi Lôi Lînh.","B÷n chúng có th¬ s¯ng ğßşc trong kªt gi¾i là nh¶ vào Linh C¯t này.","L¤y ğßşc Linh C¯ chßa?","Hi®u quä phän công l¥n này r¤t t¯t.","","",""
"1833","Bình Ğ¸nh Chiªn Sñ","Ğem Th¤t Thái C¯t Tän có th¬ phong ¤n c±ng d¸ gi¾i giao cho Phong KÖ Trung.","T§n døng Linh C¯t mà ğÕi hi®p ğã thu th§p l¥n trß¾c, lão phu s¨ thi tri¬n pháp thu§t làm thành 1 chiªc Th¤t S¡c C¯t Tän, ğÕi hi®p mang nó ğªn cho ğµi trß·ng Phong KÖ Trung, nói v¾i ông ¤y, chï c¥n ğªn cØa s½n ğµng ğïnh Phi Lôi Lînh, li«n có th¬ sØ døng nó ğ¬ ğóng cØa d¸ gi¾i.","Luôn ti®n giúp ta xin l²i Phong ĞÕo Trß·ng, hi v÷ng có th¬ bù ğ¡p nhæng sai l¥m trß¾c ğây.","ĞÕi hi®p ğªn ğây có vi®c gì không?","C±ng d¸ gi¾i có th¬ ğóng lÕi r°i? Th§t t¯t quá, ngày tiêu di®t yêu ma s¨ không còn xa næa. Thß½ng Long Cß Sî cûng không c¥n tñ trách, nªu không có ông ¤y, chúng tôi s¾m ğã tr· thành vong h°n dß¾i tay tà ma r°i. ĞÕi ½n ğÕi ğÑc này chúng tôi xin nh¾ mãi.","","",""
"1834","Mänh Linh H°n „n Kı","Tiêu di®t Hóa C¯t Lão Yêu, nh§n ğßşc Linh H°n „n Kı.","Nªu có ngß¶i có duyên nghe ğßşc thông tin này, xin ğ×ng kinh hoàng, tÕi hÕ Lı Th×a Càn, v¯n là dân dß¾i núi Phi Lôi Lînh. Nåm ğó toàn bµ thôn dân b¸ Ma Vß½ng tàn sát, Th×a Càn b¤t tài, mu¯n l¤y sÑc mình ğ¯i kháng v¾i Ma Vß½ng nên dçn ğªn cänh h°n phiêu phách tán. Ma Vß½ng có ı mu¯n hút h°n phách cüa ta nhßng lÕi b¸ Ng÷c ThÕch HÕng Trøy cüa tÕi hÕ trói lÕi, chï còn lÕi mänh vøn này, còn giæ lÕi mµt chút kı Ñc cüa tÕi hÕ. Ngß¶i có duyên nªu g£p mänh vøn này, xin tìm giúp Linh H°n „n Kı cüa tÕi hÕ b¸ phát tán nåm ğó, phóng thích h°n phách cüa tÕi hÕ, xin ğa tÕ, mong kiªp sau báo ğáp.","Biªn c¯ nåm ğó, thân th¬ cüa Ma Vß½ng cûng b¸ n± tan nát, kéo dài không di®t ğã tr· thành C¯t Hóa Lão Yêu, vªt tích linh h°n g¥n trên ngß¶i yêu quái này. ","Tìm th¤y d¤u ¤n chßa?","ĞÕi hi®p nh¤t ğ¸nh s¨ nh§n ğßşc sñ ğ«n ğáp cüa Thiên ĞÕo.","","",""
"1835","Huynh Ğ® Ğoàn Tø","Tìm th¤y di th¬ cüa Lı Th×a Càn, ğem di th¬ t£ng cho Lı Nguyên Hóa.","Xin ğÕi hi®p giúp ğŞ l¥n næa, tÕi hÕ có mµt ğ® ğ® tên là Lı Nguyên Hóa, nó bây gi¶ ğã ğªn Phi Lôi Lînh, thân th¬ cüa tÕi hÕ ğã hóa thành nhân sâm, ngña cûng biªn thành xax1 khô. Mong ğÕi hi®p mang quä nhân sâm ğó ğªn cho Nguyên Hóa, ğ¬ hai huynh ğ® tôi ğßşc g£p m£t l¥n cu¯i. Nªu nhß ğÕi hi®p không biªt ğß¶ng, con ngña cüa tÕi hÕ s¨ chï ğß¶ng cho ngài.","Nhân sâm · g¥n ğây.","$username$, có phäi có phi«n phÑc gì không?","A? Ğây chính là di th¬ cüa huynh trß·ng b¥n ğÕo sao?","","",""
"1836","L¶i TÕ L²i Cu¯i Cùng","Ğem nhân sâm chôn · Lß½ng Ğïnh ch² TØ Trúc Lâm.","Huynh trß·ng.. Nguyên Hóa có l²i v¾i huynh! Bây gi¶ h¯i h§n cûng muµn r°i, nªu nhß nåm ğó không bß¾ng bïnh thì hai huynh ğ® ta cûng ğâu phäi âm dß½ng cách bi®t. $username$, phía nam TØ Trúc Lâm có mµt Lß½ng Ğình, · ğó phong thüy r¤t t¯t, làm phi«n ğÕi hi®p an tán huynh trß·ng · ğó.","Biªt v§y chÆng thèm làm.","Ğã an tán huynh trß·ng cüa b¥n ğÕo chßa?","Hi v÷ng huynh trß·ng b¥n ğÕo sau khi chuy¬n thª có th¬ ğÕi phúc ğÕi quı.","","",""
"1837","D¸ Tßşng Phi Lôi Lînh","Ğªn g¥n Cñ Khanh · Phi Lôi Lïnh tìm cån nguyên cüa sñ d¸ tßşng.","G¥n ğây tÕi hÕ phát hi®n mµt d¸ tßşng trên ğß¶ng núi dß¾i Phi Lôi Linh, có mµt con ngña con v¾i thân hình to l¾n chÕy nhanh nhß bay v« hß¾ng Phi Lôi Lînh. M²i l¥n mu¯n ğu±i theo tung tích cüa nó thì luôn g£p phäi mµt ğµi quân Vong Linh, li«n b¸ m¤t d¤u vªt. ĞÕi hi®p bän lînh phi thß¶ng, không biªt có th¬ giäi thích hi®n tßşng lÕ này không?","Th§t là kì lÕ, r¯t cuµc là con ngña gì thª..","Có phát hi®n gì ğ£c bi®t gì không?","ĞÕi hi®p ğã tìm ğßşc v§t gì, mµt cái ng÷c trøy?","","",""
"1838","Ng÷c Trøy C±","Ğem Ng÷c ThÕch HÕng Trøy ğªn cho Ngû Thiên TÑ xem coi biªt ğßşc lai l¸ch cüa nó không?","Ng÷c Trùy này phát hi®n · Cñ Khanh phía bên ğß¶ng núi Phi Lôi Lînh, không biªt có liên quan t¾i con ngña nhö chÕy nhanh nhß bay lúc trß¾c không? Ğúng r°i, hai chæ "" Th×a Càn"" trên Ng÷c Trùy này có ı nghîa gì? TÕi hÕ th§t ra cûng không có manh m¯i gì, hay là ğÕi hi®p ği tìm trß·ng lão Ngû Thiên TÑ höi thØ, xem có biªt lai l¸ch cüa v§t này không?","ChÆng l¨.. Rõ ràng có cái gì ğó m¾i khiªn cho con ngña dçn ngß¶i khác tìm ğßşc HÕng Trøy này?","ĞÕi hi®p ğªn ğây có vi®c gì không?","Mµt cái Ng÷c ThÕch HÕng Trøy, ğşi lão phu quan sát tï mî xem.","","",""
"1839","Danh sách Trong Phª Tích","Ğªn S½n Trang Phª Tích ğem danh sách hµ t¸ch cüa Kinh ThÕch Tr¤n mang v«.","Th×a Càn.. Hình nhß là tên ngß¶i. Có th¬ là ngß¶i dân cüa Kinh ThÕch Tr¤n lúc trß¾c. Nhßng Kinh ThÕch Tr¤n biªn thành ğ¯ng hoang phª ğã g¥n tråm nåm, lão phu th§t ra cûng không nh¾ rõ trong tr¤n nåm ğó có nhæng ai, nhßng nªu nhß ğÕi hi®p có th¬ t× trong ğó tìm ğßşc danh sách hµ t¸ch cüa Kinh ThÕch Tr¤n nåm ğó thì có th¬ tìm th¤y nhæng ghi chép liên quan.","Tòa S½n Trang Phª Tích nay ğã là thiên hÕ cüa yêu ma, nguy hi¬m trùng trùng, ğÕi hi®p phäi c¦n thân.","Tìm th¤y danh sách hµ t¸ch mà lão phu c¥n chßa?","Haha, th§t không ng¶ v§t này ğã cách bao nhiêu nåm vçn còn t°n tÕi, ğÕi hi®p th§t th¥n thông quãng ğÕi.","","",""
"1840","Lı Th×a Càn","Báo cho Lı Nguyên Hóa biªt nhæng vi®c có liên quan ğªn Ng÷c ThÕch HÕng Trøy.","Uh, quä nhiên không ngoài dñ ğoán cüa lão phu, quä th§t có ngß¶i tên Lı Th×a Càn, nhßng nåm ğó h¡n chï m¾i mß¶i m¤y tu±i, và em trai cüa h¡n chính là Nhiêm Tiên Lı Nguyên Hóa · Nga Mi. Th§t không th¬ tin ğßşc, nhi«u nåm nhß v§y cûng không nghe Lı ğÕi tiên có ngß¶i anh.. nhßng hôm nay Lı Nguyên Hóa ğÕi tiên · thôn L® Giang cách Phi Lôi Lînh không xa, nhß v§y d­ r°i, có th¬ giao Ng÷c ThÕch HÕng Trøy này cho ông ¤y xØ lí.","Th§t không ng¶ ğïnh ğïnh ğÕi danh Nhiêm Tiên Nga Mi lÕi là ngß¶i Phi Lôi Lînh, m÷i ngß¶i coi nhß là ğ°ng hß½ng r°i.","ĞÕi hi®p ğªn ğây có vi®c gì không?","Cái gì? Ngài phát hi®n cái Ng÷c ThÕch HÕng Trøy này · ğâu?","","",""
"1841","Kí ºc Xa Xßa","Ğªn Cñ Khanh · Phi Lôi Lînh tìm kiªm sñ t°n tÕi cüa Lßşng Ngân Ti Võng và mang nó v«.","Chuy®n này ğã r¤t lâu r°i, b¥n ğÕo nghî kiªp này s¨ không nh¡c t¾i, ai ng¶.. Tr¶i ½i! Lı Th×a Càn quä th§t là anh ruµt cüa b¥n ğÕo, cä nhà ğ¸nh cß · Kinh ThÕch Tr¤n dß¾i núi Phi Lôi Lînh. Tình cäm giæa huynh ğ® ta r¤t t¯t, m²i l¥n b¥n ğÕo ngh¸ch ngşm và gây ra h÷a, khi cha m© s¡p trách phÕt thì huynh trß·ng li«n ra m£t bäo v®, và sau ğó chï c¥n b¥n ğÕo nói tiªng ""Xin l²i!"" thì s¨ ğßşc tha thÑ. Có mµt ğêm, trß¾c khi ngü, sß½ng mù bao trùm Phi Lôi Lînh, trong làn khói ğó có mµt tiên æ xinh ğ©p lúc ¦n lúc hi®n, ta cho r¢ng ğó là CØu Thiên Tiên Næ hÕ phàm tÕo phúc nên l§p tÑc lên Phi Lôi Lînh, sş b¸ ngß¶i khác cß¾p m¤t. Huynh trß·ng tuy trong lòng có nghi ng¶ nhßng không yêu tâm ğ¬ mình ta lên núi, nên hai ngß¶i cùng nhau lên ğïnh Phi Lôi Lînh. Ai ng¶ trên tr¶i ngoài làn khói ra thì không có tiên næ nào cä, dß¾i ğ¤t lÕi có nhi«u v§t phát sáng l¤p lánh, chính là nhæng t¤m võng do Lßşng Ngân Ti kªt thành. Nhæng cái võng ğó.. Ôi, nhßng cái võng ğáng chªt ğó! Các hÕ có th¬ ğªn h¯ sâu mµt l¥n næa không, tìm kiªm xem có Võng Ti màu Lßşng Ngân không, nªu có xin mang v« cho b¥n ğÕo.","Các hÕ nªu mu¯n biª câu chuy®n v« sau nhß thª nào thì hãy giúp b¥n ğÕo tìm Lßşng Ti Ngân Võng trß¾c.","Các hÕ khi nào xu¤t phát","Quä nhiên lÕi xu¤t hi®n næa sao? Ğã qua bao nåm r°i nhßng b¥n ğÕo không mµt kh¡c nào có th¬ quên ğßşc thäm k¸ch ğó.","","",""
"1842","Ch¤m DÑt Ân Oán","Tr× khØ Bích Nhãn Ma La Hi®u và l¤y Hß Linh Châu, thông báo cho Lı Nguyên Hóa ğªn.","Ğây chính là Lßşng Ngân Võng. B¥n ğÕo không cßŞng n²i sÑc h¤p dçn cüa nó nên ğã thu th§p ğêm v«. Ai ng¶ cái Lßşng Ngân Võng mang v« ğó lÕi có nhæng biªn hóa ğáng sş nhß v§y, chúng xu¤t hi®n nhæng thanh khí xoáy tròn và thôn dân b¸ thanh khí bao trùm trong ğó, r¤t nhanh lão hóa, cu¯i cùng biªn thành nhæng xác khô. Lúc nhìn th¤y cänh ğó b¥n ğÕo cûng ng¾ ngß¶i ra, nhßng chßa phát hi®n hai huynh ğ® chúng tôi chßa b¸ thanh khí g£m nh¤m. Nhßng huynh trß·ng ğã chú ı ğªn ği¬m này, cho dù r¤t hoäng sş, nhßng huynh ¤y vçn quyªt ğ¸nh mang nhæng cái Lßşng Ngân Võng lên Phi Lôi Lînh. B¥n ğÕo lúc ğó nhát gan, chï mu¯n tr¯n càng xa càng t¯t, b¥n ğÕo còn nh¾ ánh m¡t lúc ğó cüa huynh trß·ng.. Huynh ¤y không nói l¶i nào li«n cßŞi con Táo H°ng Mã ğã xông pha cùng huynh ¤y 7 nåm hß¾ng thÆng ğªn Phi Lôi Lînh. L¥n ğó là l¥n g£p cu¯i cùng cüa hai huynh ğ® ta. Sau ğó m¾i biªt, cái Ti Võng ğó chính là tóc cüa BÕch C¯t Th¥n Quân hóa thành, chuyên ği hút tinh nguyên cüa con ngß¶i nhßng ğã b¸ Thß½ng C± Tích Tà KÏ Ng÷c cüa huynh trß·ng phong ¤n, Cái cäm giác b¸ nh¯t tråm m¤y nåm cûng không d­ ch¸u! Ğªn nay, ğÕi ğ® tØ cüa h¡n là La Hi®u ğã ğªn n½i này và tìm cách cÑu h¡n ra. Các hÕ hãy mau tiêu di®t La Hi®u, ğşi lão phu thi tri¬n LßŞng Nghi Vi Tr¥n Tr§n, luy®n hóa ğ° ğ® cüa ác ma này.","Các hÕ vçn chßa biªt, s· dî hai huynh ğ® chún tôi không b¸ yêu pháp cüa BÕch C¯t Th¥n Quân xâm hÕi là vì cái HÕng Trøy do Thßşng C± Th¥n Ng÷c tÕo ra này, th§t là tÕo hóa tr¾ trêu.","Tiêu di®t ğßşc La Hi®u chßa?",".. Huynh trß·ng, Nguyên Hóa b¤t tài, khiªn cho huynh phäi ch¸u nhøc nhß v§y, nay trä ğßşc thù, mong huynh dß¾i cØu tuy«n có th¬ nh¡m m¡t.","","",""
"1843","Xích Hà Ğ® TØ","Ğªn Thái ThÕch Trß¶ng ğ¬ tìm Xích Hà ği«u tra chân tß¾ng.","Ğ® tØ cüa lão phu là Xích Hà ğã ği trß¾c mµt bß¾c ğªn Thái ThÕch Trß¶ng · Kinh ThÕch Dø r°i, ğÕi hi®p cûng mau cûng kh·i hành ği, hi v÷ng s¨ có phát hi®n m¾i.","l¥n này nh¤t ğ¸nh phäi b¡t ğßşc kë vu oan giá h÷a ğó!","ĞÕi hi®p ğªn ğây có vi®c gì không?",", các hÕ ch¡c là ğÕi hi®p ğã sang b¢ng  Nha Nh¤t Tµc chï v¾i sÑc cüa mình.","","",""
"1844","Tß Tôn Tâm Thiªt","Thâm nh§p vào U Ám M§t Lâm ğ¬ tìm Tâm Bäo."," ĞÕi hi®p, xin d×ng bß¾c, lão phu có vi®c c¥u xin, cháu cüa lão phu là Tâm Bäo ğã b¸ b¡t khi Nha Nh¤t Tµc t¤n công doanh trÕi l¥n trß¾c. Tâm Bäo là ngß¶i thân duy nh¤t cüa lão phu, cha m© cüa nó ğ«u b¸ chªt trong tay yêu tà, hai ông cháu chúng tôi nß½ng tña nhau mà s¯ng, kh¦n xin ğÕi hi®p hãy tìm nó v«.","Nghe dân binh nói doanh trÕi cüa Nha Nh¤t Tµc ğã m· ra mµt d¸ gi¾i g÷i là U Ám M§t Lâm, Tâm Bäo ğã b¸ b¡t vào ğó.","Tìm th¤y Tâm Bäo chßa?","Có phäi là ông ğã kêu ngß½i ğªn tìm ta không?","","",""
"1845","Thoát Khöi M§t Lâm","Hµ t¯ng Tâm Bäo ra khöi U Ám M§t Lâm.","Ông quä nhiên phái ngß¶i ği tìm ta. Lû heo x¤u xí, hung dæ, là phi«n ğßa ta ra ngoài, ta r¤t nh¾ ông cüa ta.","Chúng ta ği, r¶i khöi n½i u ám này.","Tìm th¤y Tâm Bäo chßa?","ĞÕi ½n ğÕi ğÑc cüa ğÕi hi®p lão phu không biªt l¤y gì báo ğáp.","","",""
"1846","Thu Th§p Trß Tung","Thu th§p Trß Tung trên ngß¶i Tiên Phong Nha Nh¤t Tµc · U Ám M§t Lâm.","Có mµt ğám Trß Nhân tr¯n trong U Ám M§t Lâm · D¸ Gi¾i, trên ngß¶i Tiên Phong Nha Nh¤t Tµc có Trß Tung r¤t t¯t. Vì v§y, hy vong ğÕi hi®p giúp ta mang v« mµt ít nhé vì hi®n tÕi trong thôn thiªu r¤t nhi«u Trß Tung này.","U Ám M§t Lâm là n½i tø t§p cüa Trß Nhân, t¯t nh¤t là ğÕi hi®p nên tìm vài ngß¶i giúp ğŞ.","Thu th§p ğßşc Trß Tung chßa?","ĞÕi hi®p nhi«u l¥n ra tay tß½ng trş, th§t không biªt phäi báo ğáp nhß thª nào?","","",""
"1847","Di®t Tr× T§n G¯c","Tiêu di®t dûng sî Nha Nh¤t Tµc trong U Ám M§t Lâm, ğánh bÕi ğ® nh¤t dûng sî.","Trong ğám dã thú ğó có mµt ğám xem ra r¤t mÕnh, tñ xßng là dûng sî, có mµt con heo tñ xßng là ğ® nh¤t dûng sî. $username$, dña vào tu luy®n bây gi¶ cüa ngài, tìm thêm vài ngß¶i giúp ğŞ næa, r°i ği ğánh bÕi ğám heo không biªt x¤u h± ğó.","Xem ra da m£t cüa b÷n heo này cûng dày l¡m.","Ğánh bÕi nhæng dûng sî ğó chßa?","Hay l¡m, ğã có nhi«u tiªn bµ.","","",""
"1848","H¡c Thüy H° Kì Quái","Tiêu di®t thü lînh Tª Sß Nha Nh¤t Tµc và nhæng ngß¶i tùy tùng khác trong U Ám M§t Lâm.","Trong U Ám M§t Lâm có mµt H¡c Thüy H°, nghe nói thông v¾i Minh Hà. Vu Sß Nha Nh¤t Tµc có ı ğ° thông qua H¡c Thüy H° này thi tri¬n pháp thu§t, thao túng Vong Linh, do ğó phäi ngån cän chúng.","Thü T÷a Pháp Lñc cüa Vu Sß tß½ng ğ¯i mÕnh, các hÕ phäi c¦n th§n.","Ğánh bÕi chúng chßa?","Nhß v§y chúng ta không c¥n lo la81ngthe61 lñc Vong Linh ngày càng mÕnh.","","",""
"1849","Tiêu Di®t Tµc Trß·ng","Tiêu di®t Kim Nha Tµc Trß·ng, di®t t§n g¯c thª lñc Nha Nh¤t Tµc.","Theo tin thám thính ğßşc, Kim Nha Tµc Trß·ng cüa Nha Nh¤t Tµc tr¯n trong U Ám M§t Lâm tu luy®n, phäi tìm cách tìm h¡n và giªt h¡n, tiêu tr× sñ uy hiªu cüa Trß Nhân. ","Thñc lñc cüa Kim Nha Tµc Trß·ng r¤t mÕnh, ğÕi hi®p phäi c¦n th§n Ñng phó.","Giªt chªt Kim Nha Tµc Trß·ng chßa?","Uy hiªp cüa Trß Nhân cu¯i cùng cûng b¸ tiêu di®t, th§t v¤t vã cho ğÕi hi®p.","","",""
"1850","Huyªt H§n Thâm Thù","Tiêu di®t d¸ nhân tr¯n trong Huy«n ThÕch Tr§n báo thù cho ngß¶i dân Kinh ThÕch Dø.","Bích Nhãn Ma La Hi®u vì ğ¬ xây dñng Hß Linh Th¤p ğã sai khiªn ğám thuµc hÕ cüa h¡n là ğám d¸ nhân làm x¢ng làm b§y, bàn tay chúng nhu¯m ğ¥y máu cüa quân dân Kinh ThÕch Dø. Ğám yêu nghi®t này ğã s¾m bß¾c vào Huy«n ThÕch Gi¾i cùng BÕch C¯t Th¥n Quân báo thù cho nhæng ngß¶i ğã chªt.","M÷i thÑ ğ«u nh¶ vào ğÕi hi®p ğó.","Nhi®m vø ğßşc giao ğã hoàn thành chßa?","Hi v÷ng nhæng quân nhân ğã chªt · Kinh ThÕch Dø có th¬ an nghï.","","",""
"1851","Hß Linh Tr§n","Thu th§p Huy«n Âm Ti Tuyªn trên ngß¶i Ğao H°n và Hß Linh · Huy«n ThÕch Gi¾i giao cho Thß½ng Long Cß Sî.","Linh Th¬ có th¬ ği b¤t cÑ ğâu, ğây là ği«u phi«n phÑc nh¤t. Do nhæng ngß¶i chân tu chính ğÕo không mµt ai luy®n qua tà công Vong Linh B¤t TØ, cách duy nh¤t tiêu di®t Linh Th¬ này là ngån ngu°n cung c¤p nång lßşng t× không gian D¸ Gi¾i ğªn v¾i chúng. ĞÕi hi®p phäi thu th§p mµt s¯ Huy«n Âm Ti Tuyªn do linh lñc ngßng tø thành ğ¬ làm tài li®u nghiên cÑu các phá giäi b¤t tØ công pháp này.","Hi v÷ng m÷i ngß¶i t× ğây có th¬ cänh giác, ğ×ng khiªn cho b÷n Vong Linh làm hÕi nhân gian.","Nhßng thÑ mà lão phu c¥n ğã thu th§p ğü chßa?","Bi¬u hi®n l¥n này cüa các hÕ r¤t xu¤t s¡c.","","",""
"1852","Huy«n ThÕch Nát Vøn","Tiêu di®t Hóa C¯t Lão Yêu mà hµ pháp cho BÕch C¯t Th¥n Quân trong Huy«n ThÕch Tr§n.","Các hÕ có ği«u không biªt, trong Huy«n ThÕch Gi¾i, t¤t cä các quái v§t và tài nguyên xây dñng th¥n ği®n th§t ra là mµt kh¯i, ğ«u là Toái C¯t trên ngß¶i BÕch C¯t Th¥n Quân biªn thành. Do ğó chï c¥n tiêu di®t quái v§t này, không gian này cûng s¨ søp lún. Nhi®m vø l¥n này tß½ng ğ¯i nguy hi¬m, mong các hÕ phäi c¦n th§n.","Nhæng thü ğoÕn cüa BÕch C¯t Th¥n Quân cûng ğªn ğây là ch¤m dÑt.","Nhi®m vø ğßşc giao ğã hoàn thành chßa?","Hay l¡m, l¥n này nguyên khí cüa BÕch C¯t Th¥n Quân ğã b¸ t±n thß½ng tr¥m tr÷ng, không th¬ làm hÕi ai ğßşc næa.","","",""
