,编号,等级,说明,掉落物品,
,5654,,南疆宝箱,"1005,0;3459,0;3461,0;4796,0;3486,3;3488,3;3987,0;1026,0;3922,0;4176,0;5699,0;5700,0;5701,0;5703,0;5721,0;5722,0;3484,3;4313,3;5656,0;1027,0;5967,0;3956,0;1250,0;5969,0;5970,0;5971,0;5972,0;5973,0;5974,0;5975,0;",
,5655,,南疆宝箱,"1251,0;1004,0;3985,0;3954,0;4755,0;4201,0;4205,0;1255,0;1256,0;1026,0;1048,0;6000,0;6001,0;405,0;406,0;402,0;403,0;902,0;383,0;3922,0;3709,0;1079,0;1158,0;3451,0;4327,0;4988,0;5705,0;3711,0;3462,0;5991,0;5728,0;5717,0;5718,0;3464,0;4723,0;5702,0;6151,0;6152,0;6153,0;",
,12029,,,"4845,0;",
,12030,,,"245,0;292,0;231,0;310,0;617,0;695,0;101,0;128,0;155,0;599,0;677,0;83,0;110,0;137,0;581,0;659,0;12,0;32,0;52,0;558,0;636,0;255,0;319,0;328,0;337,0;626,0;704,0;265,0;274,0;283,0;608,0;686,0;92,0;119,0;146,0;590,0;668,0;22,0;42,0;62,0;568,0;646,0;","1"""
,,,,,
,5656,,71怪物掉落,"82,0;109,0;136,0;580,0;658,0",
,5657,,72怪物掉落,"265,0;274,0;283,0;608,0;686,0",
,5658,,73怪物掉落,"92,0;119,0;146,0;590,0;668,0",
,5659,,74怪物掉落,"292,0;301,0;308,0;617,0;695,0",
,5660,,75怪物掉落,"101,0;128,0;155,0;599,0;677,0",
,5661,,80级的武器,"12,0;32,0;62,0;558,0;636,0",
,5662,,80级的武器,"22,0;42,0;52,0;568,0;646,0",
,5663,,76级怪掉落,"319,0;328,0;337,0;626,0;704,0",
,5665,,78级怪掉落,"83,0;110,0;137,0;581,0;659,0",
,5666,,79级怪掉落,"255,0",
,5668,,80级怪掉落(2),"22,0;42,0;52,0;568,0;646,0;12,0;32,0;62,0;558,0;636,0",
,,,,,
,7000,,RingAmulet,"8010,0;8013,0",0.5
,7001,,Weapon80,"12,0;22,0;42,0;32,0;558,0;568,0;52,0;62,0;636,0;646,0;",0.5
,7002,,PVP,"31000,0;31001,0;31002,0;31003,0;31004,0;31005,0;31006,0;31007,0;31008,0;31009,0;31010,0;31011,0;31012,0;31013,0;31014,0;31015,0;31016,0;31017,0;31018,0;31019,0;31020,0;31021,0;31022,0;31023,0;31024,0;31025,0;31026,0;31027,0;31028,0;31029,0",0.5
,7003,,NgaMy,"12,0;22,0;83,0;82,0;101,0;265,0;293,0;319,0",0.5
,7004,,PhatMon,"42,0;32,0;110,0;119,0;128,0;274,0;301,0;329,0",0.5
,7005,,BachHoa,"52,0;62,0;137,0;146,0;155,0;283,0;310,0;337,0",0.5
,7006,,ThanhThanh,"558,0;568,0;581,0;590,0;599,0;608,0;617,0;626,0",0.5
,7007,,TienCam,"636,0;646,0;659,0;668,0;677,0;686,0;695,0;704,0",0.5
,7008,,Stone,"8018,0;8019,0;8020,0;",0.5
,7009,,NgaMy,"82,0;91,0;100,0;264,0;291,0;318,0;",0.5
,7010,,PhatMon,"109,0;118,0;127,0;273,0;300,0;327,0;",0.5
,7011,,ThanhThanh,"580,0;589,0;598,0;607,0;616,0;625,0;",0.5
,7012,,BachHoa,"136,0;145,0;154,0;282,0;309,0;336,0;",0.5
,7013,,TienCam,"658,0;667,0;676,0;685,0;694,0;703,0;",0.5
,7014,,FULL,"92,0;101,0;83,0;265,0;292,0;319,0;110,0;119,0;128,0;274,0;301,0;328,0;581,0;590,0;599,0;608,0;617,0;626,0;137,0;146,0;155,0;283,0;310,0;337,0;659,0;668,0;677,0;686,0;695,0;704,0;",0.5
,7015,,Ngoa8x,"678,0;600,0;156,0;129,0;102,0",0.5
,7016,,,,
,7017,,,,
,7018,,Dai8x,"705,0;627,0;338,0;320,0;329,0",0.5
,7019,,Giap8x,"660,0;582,0;138,0;111,0;84,0",0.5
,7020,,VK9x,"637,0;647,0;569,0;559,0;13,0;23,0;33,0;43,0;53,0;63,0",0.5
,7021,,GioiChiHoPhu,"256,0;246,0;9117,0;9118,0;9119,09120,0;9121,0;9122,0;9123,0;9124,0;9125,0;9126,0;",0.5
,7022,,Do8x,"93,0;120,0;147,0;266,0;275,0;284,0;293,0;302,0;311,0;591,0;609,0;618,0;669,0;687,0;696,0;678,0;600,0;156,0;129,0;102,0",0.5
,,,,,
,8000,,RingAlone,"8011,0;8014,0;9113,0;9114,0;9115,0;9116,0;9127,0;9128,0;9129,0;9130,0;9131,0;9132,0;",0.5
,8001,,NgaMy,"31000,0;31001,0;31002,0;31003,0;31004,0;31005,0;30054,0;30055,0;30056,0;30057,0;30058,0;30059,0",0.5
,8002,,PhatMon,"31006,0;31007,0;31008,0;31009,0;31010,0;31011,0;30042,0;30043,0;30044,0;30045,0;30046,0;30047,0",0.5
,8003,,BachHoa,"31012,0;31013,0;31014,0;31015,0;31016,0;31017,0;30030,0;30031,0;30032,0;30033,0;30034,0;30035,0",0.5
,8004,,ThanhThanh,"31018,0;31019,0;31020,0;31021,0;31022,0;31023,0;30036,0;30037,0;30038,0;30039,0;30040,0;30041,0",0.5
,8005,,TienCam,"31024,0;31025,0;31026,0;31027,0;31028,0;31029,0;30048,0;30049,0;30050,0;30051,0;30052,030053,0",0.5
,8006,,DaDap,"10001,0;10002,0;10003,0",0.5
,8007,,HoiHuyet,"8046,0;8047,0;8048,0",0.5
,,,,,
,8008,,RingAloneS,"8012,0;8015,0;9093,0;9094,0;9095,0;9096,0;9097,0;9098,0;9099,0;9100,0;9101,0;9102,0;9103,0;9104,0;9105,0;9106,0;9107,0;9108,0;9109,0;9110,0;9111,0;9112,0;",0.5
,8009,,NgaMyS,"30000,0;30001,0;30001,0;30003,0;30004,0;30005,0;32000,0;32001,0;32002,0;32003,0;32004,0;32005,0",0.5
,8010,,PhatMonS,"30006,0;30007,0;30008,0;30009,0;30010,0;30011,0;32006,0;32007,0;32008,0;32009,0;32010,0;32011,0",0.5
,8011,,BachHoaS,"30012,0;30013,0;30014,0;30015,0;30016,0;30017,0;32012,0;32013,0;32014,0;32015,0;32016,0;32017,0",0.5
,8012,,ThanhThanhS,"30018,0;30019,0;30020,0;30021,0;30022,0;30023,0;32018,0;32019,0;32020,0;32021,0;32022,0;32023,0",0.5
,8013,,TienCamS,"30024,0;30025,0;30026,0;30027,0;30028,0;30029,0;32024,0;32025,0;32026,0;32027,0;32028,0;32029,0",0.5
,8014,,PVPS,"30000,0;30001,0;30002,0;30003,0;30004,0;30005,0;30006,0;30007,0;30008,0;30009,0;30010,0;30011,0;30012,0;30013,0;30014,0;30015,0;30016,0;30017,0;30018,0;30019,0;30020,0;30021,0;30022,0;30023,0;30024,0;30025,0;30026,0;30027,0;30028,0;30029,0;32060,0;32063,0;32064,0;32065,0;32066,0;32067,0",0.5
