基本,,,,,,,,,,,属性,,,,,,,,,,,,,,,,,,,,,,,给予,给予,00,,,,,,,,,,,,,其他,,,,,,,,,小宠物专用,小宠物/战斗宠物,属于哪一个城战区,,,,,1,,
编号,名字,名字,类型,鼠标选择,类型细分,模型ID,可否被玩家攻击,可驯服类型,资源类型,尸体存在时间,等级,掉落金装是否广播,精英比率,伤害比率,头衔,血条层数,效果免疫,技能免疫,血值,魔法,攻击,伤害,闪避率,防御,默认普通攻击,,技能,宠物技能(包括战斗宠物和傀儡),元素伤害,元素防御,攻击距离,移动速度,攻击速度,经验,灵力,金钱,金钱掉落几率,掉落类型,掉落道具,颜色概率,掉落道具等级调整,独立掉落道具,独立颜色概率,独立掉落道具等级调整,独立掉落率,固定掉落数量,随机坐标,地图坐标,功能,默认对话,可接受的任务,可完成的任务,关联任务,传送点,辅助技能,所属势力,声望奖励,对应增益性buf,适合的食物,居住地,离开视野缓存,NPC相对性,随从开关,是否显示附近NPC,是否可在SpcBoss中查找,SpcBoss中的详细描述(xml文件地址),备注(Npc简单描述)
329,遗失的货物,$L:npc_329$,2,3,,114,0,,,0,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,1100,1,,,0.1;0;0;,,,,,,,,,,,,,211,,,,,,,,,,,,,,
330,破旧的箱子,$L:npc_330$,2,3,,114,0,,,0,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,1100,1,,,0.1;0;0;,,,,,,,,,,,,,214,,,,,,,,,,,,,,
331,腐皮豺狼,$L:npc_331$,1,3,,186,1,2,,100,36,,,,0,,,,1528,120,0,102,37,784,20,,,"1145,1",,784;784;784;784;784,60,120,3,235,39,4800,0.5,1,703;,0.1;0;0;,"-1,1;",6024,0;0;0;0;0;0;0;,"0,0",0.13,,,,,,,,212,,,,,,2,,,,,1,,,
332,红头秃鹫,$L:npc_332$,1,3,,187,1,,,100,36,,,,0,,,,1528,120,0,102,37,784,20,,,,,784;784;784;784;784,60,120,3,235,39,4800,0.5,1,703;,0.1;0;0;,"-1,1;",6024,0;0;0;0;0;0;0;,"0,0",0.13,,,,,,,,212,,,,,,,,,,,1,,,
333,驿站邮件管理员,$L:npc_333$,1,3,,5293,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,,mail;task;,,,,,,,,,,,,,,,1,,,
334,育成村村长,$L:npc_334$,1,3,,116,0,,,100,15,,,,0,,,,378,120,0,33,18,325,20,,,,,325;325;325;325;325,60,120,3,130,22,2600,0.5,,,0.1;0;0;,,,,,,,,57;-1651;1,talk;task,talk/npc_talk_334.xml,60;68;69;70;,67;68;69;63;61;,,,,,,,,,,,,,,,
335,查探的村民,$L:npc_335$,1,3,,100,0,,,100,8,,,,0,,,,184,120,0,17,12,164,20,,,,,164;164;164;164;164,60,120,3,95,16,2000,0.5,,,,,,,,,,,88;-1575;1,talk;task,talk/npc_talk_335.xml,61,60,,,,,,,,,,,,1,,,
336,战马,$L:npc_336$,1,3,,86,1,1,,100,6,,,,0,,,,135,120,0,12,10,99,20,,,"1143,1",,99;99;99;99;99,60,120,3,85,14,1800,0.5,1,400;700;,0.05;0;0;,"0,1;-1,1;",6008,0;0;0;0;0;0;0;,"0,0",0.13,,,0;-1520;1,,,,,62,,,,,,2,,,,,1,,,
337,马贼内应,$L:npc_337$,1,3,,61,0,,,100,8,,,,0,,,,184,120,0,17,12,164,20,,,,,164;164;164;164;164,60,120,3,95,16,2000,0.5,,,,,,,,,,,44;-1501;1,talk;task,talk/npc_talk_337.xml,62;64;65;66,62;64;65;66,,,,,,,,,,,,,,,
338,布告栏,$L:npc_338$,1,3,,202,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,000,0,,,0;0;0;,,,,,,,,64;-1651;1,task;,,63;67,,,,,,,,,,,,,,,,
339,流寇头领,$L:npc_339$,1,3,,63,1,,,100,6,,3,2,1,,,,406,30,0,23,10,99,20,,,,,99;99;99;99;99,60,120,3,255,43,8100,1,2,400;700;,0.25;0;0;,"0,1;-1,1;",6008,0;0;0;0;0;0;0;,"0,0",0.13,2,,125;-1673;1,,,,,63,,,,,,,,,,,,,,
340,战狼,$L:npc_340$,1,3,,15,1,2,,100,7,,,,0,,,,159,30,0,14,11,130,20,,,"1145,1",,130;130;130;130;130,60,120,3,90,15,1800,0.5,1,700;200;,0.05;0;0;,"0,1;-1,0;",6008,0;0;0;0;0;0;0;,"0,0",0.13,,,-35;-1414;1,,,,,64,,,,,,2,,,,,,,,
341,马贼头领,$L:npc_341$,1,3,,61,1,,,100,8,,3,2,1,,,,553,30,0,33,12,164,20,,,,,164;164;164;164;164,60,120,3,285,48,9000,1,2,200;700;,0.25;0;0,"-1,1;0,2;",6008,0;0;0;0;0;0;0;,"0,0",0.13,2,,-200;-1408;1,,,,,67,,,,,,,,,,,1,,,
342,无眉使者,$L:npc_342$,1,3,,22,1,,,100,8,,,,0,,,,129,300,0,17,12,164,1118,,,,,164;164;164;164;164,200,120,3,95,16,2000,0.5,1,200;700;,0.05;0;0;,"-1,1;0,2;",6008,0;0;0;0;0;0;0;,"0,0",0.13,,,-20;-1350;1,,,,,69,,,,,,,,,,,1,,,
343,仙家道长,$L:npc_343$,1,3,,38,0,,,100,30,,,,0,,,,983,600,0,76,32,569,20,,,,,569;569;569;569;569,60,120,3,205,34,4200,0.5,,,0.3;0;0;,,,,,,,,43;-1498;1,talk;task,talk/npc_talk_343.xml,71;72;73;74;75;76;,70;71;72;73;74;75;76;,,,,,,,,,,,,,,,
344,石碑,$L:npc_344$,1,3,,203,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,000,0,,,0;0;0;,,,,,,,,80;-1453;1,talk;task,talk/npc_talk_344.xml,,,70,,,,,,,,,,,,,,
345,被鼓惑的男子,$L:npc_345$,1,3,,13,1,,,100,9,,,,0,,,,213,120,0,19,13,202,20,,,,,202;202;202;202;202,60,120,3,100,17,2000,0.5,1,300;400;500,0.05;0;0;,"3,5;1,2;4,6;",6008,0;0;0;0;0;0;0;,"0,0",0.13,,,60;-1450;1,,,,,71,,,,,,,,,,,,,,
346,怨灵,$L:npc_346$,1,3,,126,1,2,,100,9,,,,0,,,,213,240,0,19,13,202,20,,,"1145,1",,202;202;202;202;202,60,120,3,100,17,2000,0.5,1,300;400;500;,0.05;0;0;,"3,5;1,2;4,6;",6008,0;0;0;0;0;0;0;,"0,0",0.13,,,140;-1400;1,,,,,73,,,,,,2,,,,,,,,
347,磷火,$L:npc_347$,1,3,,8,1,4,,100,10,,,,0,,,,170,204,0,23,14,244,1103,,,,,244;244;244;244;244,300,120,3,105,18,2200,0.5,1,500;300;600;400;700;,0.05;0;0;,"4,6;3,5;2,4;1,3;0,2;",6008,0;0;0;0;0;0;0;,"0,0",0.13,,,155;-1470;1,,,,,76;75,,,,,,2,,,,,,,,
348,冤魂,$L:npc_348$,1,3,,9,1,4,,100,10,,,,0,,,,170,57,0,45,14,244,1114,,,,,244;244;244;244;244,300,120,3,105,18,2200,0.5,1,500;300;600;400;700;,0.05;0;0;,"4,6;3,5;2,4;1,3;0,2;",6008,0;0;0;0;0;0;0;,"0,0",0.13,,,180;-1450;1,,,,,74,,,,,,2,,,,,,,,
349,枯草堆,$L:npc_349$,2,3,,204,0,,,0,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,1100,1,,,0.1;0;0;,,,,,,,,-4;-1252;1,,,,,77,,,,,,,,,,,,,,
350,山林野狼,$L:npc_350$,1,3,,14,1,2,,100,15,,,,0,,,,378,288,0,33,18,325,20,,,"1145,1",,325;325;325;325;325,60,120,3,130,22,2600,0.5,1,401;701;,0.05;0;0;,"-1,1;-1,0;",6009,0;0;0;0;0;0;0;,"0,0",0.13,,,-88;-885;1,,,,,85;86;100,,,,,,2,,,,,,,,
352,丛林鳄鱼,$L:npc_352$,1,3,,149,1,1,,100,17,,,,0,,,,441,228,0,38,20,358,20,,,"1143,1",``,358;358;358;358;358,60,120,3,140,23,2800,0.5,1,501;701;,0.05;0;0;,"2,4;0,1;",6010,0;0;0;0;0;0;0;,"0,0",0.13,,,414;-855;1,,,,,89;46;,,,,,,2,,,,,,,,
354,野骡王,$L:npc_354$,1,3,,88,1,,,100,18,,3,2,1,,,,1422,30,0,81,21,374,20,,,,,374;374;374;374;374,60,120,3,435,73,13500,1,2,201;,0.2;0;0;,"-1,1;",6010,0;0;0;0;0;0;0;,"0,0",0.13,2,,203;-843;1,,,,,92;,,,,,,,,,,,1,,,
356,森林木须怪,$L:npc_356$,1,3,,16,1,2,,100,20,,,,0,,,,545,240,0,46,23,406,20,,,"1145,1",,406;406;406;406;406,60,120,3,155,26,3200,0.5,1,502;,0.05;0;0;,"-2,0;",6010,0;0;0;0;0;0;0;,"0,0",0.13,,,-160;-850;1,,,,,96;97,,,,,,2,,,,,1,,,
358,小洋葱,$L:npc_358$,1,3,,207,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,,,,,,,,,,,1208,1,,,,,1,,,
359,灵芝仙,$L:npc_359$,1,3,,208,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,,,,,,,,,,,121,1,,,,,1,,,
360,小野骡,$L:npc_360$,1,3,,209,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,,,,,,,,,,,122,1,,,,,1,,,
361,金毛猿,$L:npc_361$,1,3,,210,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,,,,,,,,,,,123,1,,,,,1,,,
362,商风子,$L:npc_362$,1,3,,12,0,,,100,5,,,,0,,,,114,120,0,10,9,72,20,,,,,72;72;72;72;72,60,120,3,80,13,1600,0.5,,,0.05;0;0;,,,,,,,,189;-1160;1,talk;task,talk/npc_talk_362.xml,79;80;,79;80;,,,,,,,,,,,,1,,,
363,山民铁匠,$L:npc_363$,1,3,,117,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,6;-946;1,talk;shop;identify;smithing;life_skill;task,talk/npc_talk_109.xml,85;1790;1791,85;1790;1791,,,12;15;,,,,,1,,,,1,,,
364,小三儿,$L:npc_364$,1,3,,44,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,-10;-961;1,talk;task,talk/npc_talk_364.xml,87;88;,87;88;,,,,,,,,,,,,1,,,
365,山民村妇,$L:npc_365$,1,3,,198,0,,,100,30,,,,0,,,,983,120,0,76,32,569,20,,,,,569;569;569;569;569,60,120,3,205,34,4200,0.5,,,0.1;0;0;,,,,,,,,161;-921;1,talk;task;,talk/npc_talk_365.xml,89;,89;,,,,,,,,,,,,1,,,
366,山民商人,$L:npc_366$,1,3,,100,0,,,100,8,,,,0,,,,184,120,0,17,12,164,20,,,,,164;164;164;164;164,60,120,3,95,16,2000,0.5,,,,,,,,,,,161;-914;1,talk;task,talk/npc_talk_366.xml,91;,91;,,,,,,,,,,,,,,,
367,张家小道士,$L:npc_367$,1,3,,45,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,11;-909;1,talk;task,talk/npc_talk_367.xml,95;97;99;47,95;97;99;,,,,,,,,,,,,1,,,
368,雨后春笋,$L:npc_368$,2,3,,211,0,,,0,15,,,,0,,,,378,120,0,33,18,325,20,,,,,325;325;325;325;325,60,120,3,130,22,0,0,,,0.1;0;0;,,,,,,,,,,,,,38;,,,,,,,,,,,,,,
369,赵燕儿,$L:npc_369$,1,3,,45,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,,talk;shop;task;,talk/npc_talk_199.xml,,,,,,,,,,1,,,,1,,,
370,小穿山甲,$L:npc_370$,1,3,,212,1,1,,100,2,,,,0,,,,62,240,0,5,6,13,20,,,"1143,1",,13;13;13;13;13,60,120,3,65,11,1400,0.5,,,,,6007,0;0;0;0;0;0;0;,"0,0",0.13,,,,,,,,195;,,,,,,2,,,,,1,,,
371,育成村铁匠,$L:npc_371$,1,3,,117,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,,talk;shop;identify;smithing;life_skill;task,talk/npc_talk_109.xml,1790;1791,1790;1791,,,12;15;,,,,,1,,,,1,,,
372,育成村药师,$L:npc_372$,1,3,,49,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,86;-1640;1,talk;shop;life_skill;task;,talk/npc_talk_128.xml,513;,513;,,,11;14;,,,,,1,,,,1,,,
373,育成村仓库管理,$L:npc_373$,1,3,,5651,0,,,100,15,,,,0,,,,378,120,0,33,18,325,20,,,,,325;325;325;325;325,60,120,3,130,22,2600,0.5,,,0.1;0;0;,,,,,,,,,talk;bank;pet;task;,talk/npc_talk_183.xml,864[mars];865;970[mars],864[mars];865;970[mars],,,,,,,,,,,,1,,,
374,育成村掌柜,$L:npc_374$,1,3,,4601,0,,,100,15,,,,0,,,,378,120,0,33,18,325,20,,,,,325;325;325;325;325,60,120,3,130,22,2600,0.5,,,0.1;0;0;,,,,,,,,315;-545;1,talk;auction;task,talk/npc_talk_108.xml,522;523;524,522;523;524,,,,,,,,,,,,,,,
375,育成村伙计,$L:npc_375$,1,3,,100,0,,,100,8,,,,0,,,,184,120,0,17,12,164,20,,,,,164;164;164;164;164,60,120,3,14,2,300,0.5,,,,,,,,,,,86;-1648;1,auction_get,talk/npc_talk_100.xml,,,,,,,,,,,,,,,,,
376,金驼护卫,$L:npc_376$,1,3,,143,1,,,100,32,,,,0,,,,1107,100,0,84,33,601,20,,,,,601;601;601;601;601,60,120,3,215,36,4400,0.5,1,503;,0.1;0;0;,"-1,1;",6023;4509,0;0;0;0;0;0;0;,"0,0;0,0;",0.13;0.13,,,-644;-1195;1,,,,,256;,,,,,,,,,,,,,,
377,被污染的桃树,$L:npc_377$,1,3,,241,1,2,,100,32,,,,0,,,,1107,240,0,84,33,601,20,,,"1145,1",,601;601;601;601;601,60,120,3,215,36,4400,0.5,1,503;,0.1;0;0;,"-1,1;",4509,0;0;0;0;0;0;0;,"0,0",0.13,,,-557;-1066;1,,,,,258;272;274;131,,,,,,2,,,,,,,,
378,精英桃树妖,$L:npc_378$,1,3,,4652,1,,,100,32,,5,3,1,,,,5535,30,0,252,33,601,20,,,,,601;601;601;601;601,60,120,3,1075,179,20000,1,1,,,,6023;4509,0;0;0;0;0;0;0;,"0,0;0,0;",0.13;0.13,2,,-533;-1041;1,,,,,259;,,,,,,,,,,,,,,
379,机关护卫,$L:npc_379$,1,3,,154,1,,,100,33,,,,0,,,,1173,240,0,88,34,618,20,,,,,618;618;618;618;618,60,120,3,220,37,4400,0.5,1,303;,0.1;0;0;,"-1,1;",6023;4509,0;0;0;0;0;0;0;,"0,0;0,0;",0.13;0.13,,,-300;-1080;1,,,,,258;262;460;,,,,,,,,,,,,,,
380,红花护卫,$L:npc_380$,1,3,,22,1,,,100,34,,,,0,,,,1241,264,0,93,35,634,1118,,,,,634;634;634;634;634,200,120,3,225,38,4600,0.5,1,603;,0.1;0;0;,"-1,1;",6023;4509,0;0;0;0;0;0;0;,"0,0;0,0;",0.13;0.13,,,-300;-1113;1,,,,,263;,,,,,,,,,,,,,,
381,神鳄守卫,$L:npc_381$,1,3,,149,1,,,100,34,,,,0,,,,1241,228,0,93,35,634,20,,,,``,634;634;634;634;634,60,120,3,225,38,4600,0.5,1,603;,0.1;0;0;,"-1,1;",6023;4509,0;0;0;0;0;0;0;,"0,0;0,0;",0.13;0.13,,,-404;-1150;1,,,,,266;,,,,,,,,,,,,,,
382,乌风草,$L:npc_382$,2,3,,238,0,,,0,15,,,,0,,,,378,120,0,33,18,325,20,,,,,325;325;325;325;325,60,120,3,130,22,000,0,1,,0.1;0;0;,,,,,,,,-378;-1188;1,,,,,267;,,,,,,,,,,,1,,,
383,黑石护卫,$L:npc_383$,1,3,,239,1,,,100,35,,1,1,0,,,,1313,228,0,97,36,650,20,,,,``,650;650;650;650;650,60,120,3,230,38,4600,0.5,1,403;,0.1;0;0;,"-1,1;",4509,0;0;0;0;0;0;0;,"0,0",0.13,,,-333;-1220;1,,,,,268;,,,,,,,,,,,1,,,
384,朱文,$L:npc_384$,1,3,,113,0,,,100,18,,,,0,,,,474,120,0,41,21,374,20,,,,,374;374;374;374;374,60,120,3,145,24,3000,0.5,,,0.1;0;0;,,,,,,,,-437;-854;1,talk;task,talk/npc_talk_384.xml,250;251;274,250;274;665;1666,250;,,,,,,,,,,,1,,,
385,若兰,$L:npc_385$,1,3,,111,0,,,100,20,,,,0,,,,545,120,0,46,23,406,20,,,,,406;406;406;406;406,60,120,3,155,26,3200,0.5,,,0.1;0;0;,,,,,,,,-573;-842;1,talk;task,talk/npc_talk_385.xml,252;253;254;264;266;267;268;131,251;252;253;254;266;267;268;131;,,,,,,,,,,,,1,,,
386,奇怪的机关人,$L:npc_386$,1,3,,147,0,,,100,33,,,,0,,,,1173,100,0,88,34,618,20,,,"1145,1",,618;618;618;618;618,60,120,3,220,37,4400,0.5,,,0.1;0;0;,,6023,0;0;0;0;0;0;0;,"0,0",0.13,,,-615;-1014;1,talk;task,talk/npc_talk_386.xml,255;256;259,255;256;259,,,,,,,,,,,,1,,,
387,桃花源村民,$L:npc_387$,1,3,,100,0,,,100,35,,,,0,,,,1313,120,0,97,36,650,20,,,,,650;650;650;650;650,60,120,3,230,38,4600,0.5,,,,,,,,,,,-615;-1026;1,talk;task,talk/npc_talk_387.xml,257;258;,257;258;,,,,,,,,,,,,1,,,
388,桃花源长老,$L:npc_388$,1,3,,116,0,,,100,35,,,,0,,,,1313,120,0,97,36,650,20,,,,,650;650;650;650;650,60,120,3,230,38,4600,0.5,,,,,,,,,,,-400;-894;1,talk;task,talk/npc_talk_388.xml,260;261;262;263;1326;1327;1328;1329;933,260;261;262;263;1326;1327;1328;1329;933,,,,,,,,,,,,1,,,
389,红花婆婆的分身,$L:npc_389$,1,3,,155,0,,,100,38,,10,3,1,,,,15429,228,0,335,39,699,20,,,,``,699;699;699;699;699,60,120,3,2450,408,75000,1,,,0.1;0;0;,,,,,,,,-334;-1120;1,talk;task,talk/npc_talk_389.xml,265;269;270;271;,264;265;269;270;,,,,,,,,,,,,1,,,
390,红花婆婆,$L:npc_390$,1,3,,155,0,,,100,38,,10,3,1,,,,15429,228,0,335,39,699,20,,,,``,699;699;699;699;699,60,120,3,2450,408,75000,1,,,0.1;0;0;,,,,,,,,-313;-1486;1,talk;traffic;task;,,,271;,,6,,,,,,,,,,1,,,
391,营地铁匠,$L:npc_391$,1,3,,117,0,,,100,10,,,,0,,,,213,120,0,17,14,225,20,,,,,225;225;225;225;225,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,278;-140;1,talk;shop;identify;smithing;life_skill;task,talk/npc_talk_287.xml,125;126;467;468;1790;1791,125;126;467;468;1790;1791,,,12;15;,,,,,1,,,,1,,,
392,山民猎户,$L:npc_392$,1,3,,46,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,163;-902;1,talk;task;,talk/npc_talk_225.xml,46;,46;,,,,,,,,,,,,1,,,
393,辟邪村村民,$L:npc_393$,1,3,,100,0,,,100,8,,,,0,,,,184,120,0,17,12,164,20,,,,,164;164;164;164;164,60,120,3,95,16,2000,0.5,,,,,,,,,,,312;-350;1,task,,127;,127;957,,,,,,,,,,,,1,,,
394,成都药师,$L:npc_394$,1,3,,49,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,-263;-481;1,talk;shop;life_skill;task;,talk/npc_talk_128.xml,129;470;1735,129;470;,,,11;14;,,,,,1,,,,1,,,
395,桂花山药童,$L:npc_395$,1,3,,45,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,-612;-1011;1,talk;task,talk/npc_talk_128.xml,272;,272;,,,,,,,,,,,,,,,
396,点卡商贩,$L:npc_396$,1,3,,110,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,,card;task,talk/npc_talk_102.xml,,,,,,,,,,,,,,,,,
2001,朱草,$L:npc_2001$,3,1,,213,0,,1,0,1,,,,0,,,,49,120,0,4,5,0,20,,,,,0;0;0;0;0,60,120,3,60,10,,0.5,,10001,,"0,0;",10001,,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
2002,野蘑菇,$L:npc_2002$,3,1,,214,0,,1,0,1,,,,0,,,,49,120,0,4,5,0,20,,,,,0;0;0;0;0,60,120,3,60,10,,0.5,,10002,,"0,0;",10002,,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
2003,丹参,$L:npc_2003$,3,1,,215,0,,1,0,1,,,,0,,,,49,120,0,4,5,0,20,,,,,0;0;0;0;0,60,120,3,60,10,,0.5,,10003,,"0,0;",10003,,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
2004,夏枯草,$L:npc_2004$,3,1,,216,0,,1,0,2,,,,0,,,,62,120,0,5,6,13,20,,,,,13;13;13;13;13,60,120,3,65,11,,0.5,,10004,,"0,0;",10004,,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
2005,朱果,$L:npc_2005$,3,1,,217,0,,1,0,2,,,,0,,,,62,120,0,5,6,13,20,,,,,13;13;13;13;13,60,120,3,65,11,,0.5,,10005,,"0,0;",10005,,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
2006,荔枝草,$L:npc_2006$,3,1,,218,0,,1,0,2,,,,0,,,,62,120,0,5,6,13,20,,,,,13;13;13;13;13,60,120,3,65,11,,0.5,,10006,,"0,0;",10006,,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
2007,北草乌,$L:npc_2007$,3,1,,219,0,,1,0,3,,,,0,,,,78,120,0,6,7,29,20,,,,,29;29;29;29;29,60,120,3,70,12,,0.5,,10007,,"0,0;",10007,,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
2008,何首乌,$L:npc_2008$,3,1,,220,0,,1,0,3,,,,0,,,,78,120,0,6,7,29,20,,,,,29;29;29;29;29,60,120,3,70,12,,0.5,,10008,,"0,0;",10008,,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
2009,金银花,$L:npc_2009$,3,1,,221,0,,1,0,3,,,,0,,,,78,120,0,6,7,29,20,,,,,29;29;29;29;29,60,120,3,70,12,,0.5,,10009,,"0,0;",10009,,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
2010,罗汉果,$L:npc_2010$,3,1,,222,0,,1,0,4,,,,0,,,,95,120,0,8,8,49,20,,,,,49;49;49;49;49,60,120,3,75,13,,0.5,,10010,,"0,0;",10010,,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
2011,"毒芹 ",$L:npc_2011$,3,1,,223,0,,1,0,4,,,,0,,,,95,120,0,8,8,49,20,,,,,49;49;49;49;49,60,120,3,75,13,,0.5,,10011,,"0,0;",10011,,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
2012,石吊兰,$L:npc_2012$,3,1,,224,0,,1,0,4,,,,0,,,,95,120,0,8,8,49,20,,,,,49;49;49;49;49,60,120,3,75,13,,0.5,,10012,,"0,0;",10012,,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
2013,无花果,$L:npc_2013$,3,1,,225,0,,1,0,5,,,,0,,,,114,120,0,10,9,72,20,,,,,72;72;72;72;72,60,120,3,80,13,,0.5,,10013,,"0,0;",10013,,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
2014,无根藤,$L:npc_2014$,3,1,,226,0,,1,0,5,,,,0,,,,114,120,0,10,9,72,20,,,,,72;72;72;72;72,60,120,3,80,13,,0.5,,10014,,"0,0;",10014,,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
2015,百里香,$L:npc_2015$,3,1,,227,0,,1,0,5,,,,0,,,,114,120,0,10,9,72,20,,,,,72;72;72;72;72,60,120,3,80,13,,0.5,,10015,,"0,0;",10015,,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
2016,橙红石,$L:npc_2016$,4,1,,228,0,,2,0,1,,,,0,,,,49,120,0,4,5,0,20,,,,,0;0;0;0;0,60,120,3,60,10,,0.5,,10016,,"0,0;",10016,,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
2017,"白云石 ",$L:npc_2017$,4,1,,229,0,,2,0,1,,,,0,,,,49,120,0,4,5,0,20,,,,,0;0;0;0;0,60,120,3,60,10,,0.5,,10017,,"0,0;",10017,,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
2018,白榴石,$L:npc_2018$,4,1,,230,0,,2,0,2,,,,0,,,,62,120,0,5,6,13,20,,,,,13;13;13;13;13,60,120,3,65,11,,0.5,,10018,,"0,0;",10018,,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
2019,叶蜡石,$L:npc_2019$,4,1,,231,0,,2,0,2,,,,0,,,,62,120,0,5,6,13,20,,,,,13;13;13;13;13,60,120,3,65,11,,0.5,,10019,,"0,0;",10019,,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
2020,尖晶石,$L:npc_2020$,4,1,,232,0,,2,0,3,,,,0,,,,78,120,0,6,7,29,20,,,,,29;29;29;29;29,60,120,3,70,12,,0.5,,10020,,"0,0;",10020,,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
2021,重晶石,$L:npc_2021$,4,1,,233,0,,2,0,3,,,,0,,,,78,120,0,6,7,29,20,,,,,29;29;29;29;29,60,120,3,70,12,,0.5,,10021,,"0,0;",10021,,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
2022,水镁石,$L:npc_2022$,4,1,,234,0,,2,0,4,,,,0,,,,95,120,0,8,8,49,20,,,,,49;49;49;49;49,60,120,3,75,13,,0.5,,10022,,"0,0;",10022,,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
2023,顽火石,$L:npc_2023$,4,1,,235,0,,2,0,4,,,,0,,,,95,120,0,8,8,49,20,,,,,49;49;49;49;49,60,120,3,75,13,,0.5,,10023,,"0,0;",10023,,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
2024,铝榴石,$L:npc_2024$,4,1,,236,0,,2,0,5,,,,0,,,,114,120,0,10,9,72,20,,,,,72;72;72;72;72,60,120,3,80,13,,0.5,,10024,,"0,0;",10024,,"0,0;",1,,,,,,,,,,,,,,,,,,,,,,
