short,备注,,bool,float[3],,string,,string,,,,string,string,,string,string,,string,string,string,string,string,string,string,float,int,float, ,string,string,,,,,,
,备注,名字,是否动态模型,模型缩放,模型透明度,模型文件,换皮肤,换材质,模型受击点,DOT受击点,模型门派,武器1,武器1连接,武器1收起link点,武器2,武器2连接,武器2收起link点,附身特效文件,link点名,头发,头,身体,手,脚,碰撞半径,移动方式,移动速度,消失方式,死亡模型文件,出生模型文件,waiting动作个数,头像,3D头像摄像机位置,3D头像摄像机目标位置,,备注
ID,,name,dynamic,modelScale,visible,act,replaceSkin,replaceMat,hitPoint,dotHitPoint,party,weapon1,weapon1Link,weapon1DrawInLink,weapon2,weapon2Link,weapon2DrawInLink,linkEffect,linkBone,hairSkin,headSkin,bodySkin,handSkin,footSkin,modelRadius,moveType,moveSpeed,vanishType,deadModel,bornModel,waitingPoseCount,headIcon,headCameraPos,headCameraLookAt,bCache,
165,野兔幼崽,,0,0.9;0.9;0.9,1,mon012,,mon012_a,Bmon012,,5,,,,,,,,,,,,,,15,2,80,1,,,1,ic_mon012_b,,,,
166,老蟑螂,,0,1.3;1.3;1.3,1,mon023,,,Bmon023_00,,5,,,,,,,,,,,,,,15,2,80,1,,,1,ic_mon023,,,,
167,决斗旗子,,0,1;1;1,1,npc026,,,,,5,,,,,,,,,,,,,,15,1,80,1,,,0,,,,,
168,小双头蛇,,0,0.7;0.7;0.7,1,mon018,,,Bmon018_cat00,,5,,,,,,,,,,,,,,15,2,80,1,,,1,ic_mon018,,,,
169,幼豹,,0,0.7;0.7;0.7,1,mon026,mon026_c,,bip_mon026 Spine1,,5,,,,,,,,,,,,,,15,2,80,1,,,1,ic_mon026_c,,,,
170,小黑豹,,0,0.7;0.7;0.7,1,mon026,mon026_c,mon026_d,bip_mon026 Spine1,,5,,,,,,,,,,,,,,15,2,80,1,,,1,ic_mon026_d,,,,
171,黑豹,,0,1;1;1,1,mon026,mon026_c,mon026_d,bip_mon026 Spine1,,5,,,,,,,,,,,,,,15,2,80,1,,,1,ic_mon026_d,,,,
172,恶鬼凶灵,,0,2;2;2,1,mon038_c,,,Bip01,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_mon038_c,,,,
173,飞蛇,,0,1.3;1.3;1.3,1,mon019,,,bmon019_cat01,,5,,,,,,,,,,,,,,15,2,80,1,,,1,ic_mon019,,,,
174,新鲜的蘑菇,,0,0.5;0.5;0.5,1,mon011,,,Bmon011_00,,5,,,,,,,,,,,,,,15,2,47,1,,,1,ic_mon011,,,,
175,百合花,,0,0.5;0.5;0.5,1,npc027,,,,,5,,,,,,,,,,,,,,15,2,47,1,,,1,ic_npc027,,,,
250,心灯,,0,1;1;1,1,eff_f_skill13,,,,,5,,,,,,,,,,,,,,15,1,0,1,,,1,ic_default_face,,,,
176,小青蛇,,0,0.7;0.7;0.7,1,mon001,mon001_a,mon024,Bone06,,5,,,,,,,,,,,,,,15,2,80,1,,,1,ic_mon001,,,,
177,智通,,0,1.2;1.2;1.2,1,boss005_a,,,Bip01 Spine,,5,iwboss005_b,Bwp01,,,,,,,,,,,,15,1,138,1,,,1,ic_boss005a,,,,
178,智通,,0,1.4;1.4;1.4,1,boss005_a,,,Bip01 Spine,,5,iwboss005_b,Bwp01,,,,,,,,,,,,15,1,138,1,,,1,ic_boss005a,,,,
179,智通,,0,1.6;1.6;1.6,1,boss005_a,,,Bip01 Spine,,5,iwboss005_b,Bwp01,,,,,,,,,,,,15,1,138,1,,,1,ic_boss005a,,,,
180,蛇匪将军,,0,1.3;1.3;1.3,1,mon002,,,Bonecat28,,5,iwmon002_c,Bwp01,,,,,,,,,,,,15,2,80,1,,,1,ic_mon002_c,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,新鲜的野果,,0,1;1;1,1,npc031,,,,,5,,,,,,,,,,,,,,15,1,,1,,,1,ic_npc099,,,,
182,西域妖人,,0,1;1;1,1,mon039,,,Bip_mon039_ Spine,,5,,,,,,,,,,,,,,15,1,120,1,,,1,ic_mon039,,,,
183,西域猎犬,,0,1;1;1,1,mon009,,mon009_d,B01,,5,,,,,,,,,,,,,,15,2,106,1,,,1,ic_mon009_d,,,,
184,尸体,,0,1;1;1,1,npc030,,,,,5,,,,,,,,,,,,,,15,2,,1,,,1,ic_npc005_c,,,,
185,西域魔僧,,0,1;1;1,1,mon008,,mon008_b,Bip_mon008 Spine1,,5,iwmon002_b,Bwp01,,,,,,,,,,,,15,1,94,1,,,1,ic_mon008_b,,,,
186,腐皮豺狼,,0,1;1;1,1,mon009,,mon009_e,B01,,5,,,,,,,,,,,,,,15,2,106,1,,,1,ic_mon009_e,,,,
187,红头秃鹫,,0,1;1;1,1,mon040_a,,,bip_mon040 Spine,,5,,,,,,,,,,,,,,15,2,80,1,,,1,ic_mon040_a,,,,
188,秃鹫首领,,0,1.5;1.5;1.5,1,mon040_a,,,bip_mon040 Spine,,5,,,,,,,,,,,,,,15,2,80,1,,,1,ic_mon040_a,,,,
189,藤须怪,,0,1;1;1,1,mon045,,,bmon045_20,,5,,,,,,,,,,,,,,15,2,80,1,,,1,ic_mon045,,,,
190,林掌黑熊,,0,1;1;1,1,mon044,,,bip_mon044 Spine1,,5,,,,,,,,,,,,,,15,2,212,1,,,1,ic_mon044,,,,
191,西方野魔,,0,1;1;1,1,boss014,,,bip_boss014 Spine,,5,iwboss014,Bwp01,,,,,,,,,,,,15,1,170,1,,,1,ic_boss014,,,,
192,雪地高粱酒,,0,1;1;1,1,npc023,,,,,5,,,,,,,,,,,,,,15,1,,1,,,1,ic_npc023,,,,
193,远古雪人,,0,1;1;1,1,mon047_a,,,bip_mon043 Spine,,5,,,,,,,,,,,,,,15,1,150,1,,,1,ic_mon047_a,,,,
194,石头人,,0,1;1;1,1,mon047,,,bip_mon043 Spine,,5,,,,,,,,,,,,,,15,1,150,1,,,1,ic_mon047_b,,,,
195,雪豹,,0,1;1;1,1,mon026,mon026_c,mon026_e,bip_mon026 Spine1,,5,,,,,,,,,,,,,,15,2,80,1,,,1,ic_mon026_e,,,,
196,雪鹰,,0,1;1;1,1,mon040_a,mon040_b,,bip_mon040 Spine,,5,,,,,,,,,,,,,,15,2,80,1,,,1,ic_mon040_b,,,,
197,梵拿加音二,,0,1;1;1,1,boss015,,,bip_boss015 Spine,,5,,,,,,,,,,,,,,15,1,105,1,,,1,ic_boss015,,,,
198,八姑,,0,1;1;1,1,npc025,,,,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_npc025,,,,
199,雪山巨人,,0,1.3;1.3;1.3,1,mon047_a,,,bip_mon043 Spine,,5,,,,,,,,,,,,,,15,1,150,1,,,1,ic_mon047_a,,,,
200,八姑原神,,0,1;1;1,0.4,npc025,,,,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_npc025,,,,
201,流寇头领,,0,1.2;1.2;1.2,1,mon015,mon015_h,,Bip_mon015,,5,iwmon015_h,Bwp01,,,,,,,,,,,,15,1,100,1,,,1,ic_mon015_h,,,,
202,布告栏,,0,1;1;1,1,npc028,,,,,5,,,,,,,,,,,,,,15,1,80,1,,,0,ic_default_face,,,,
203,石碑,,0,1;1;1,1,npc029,,,,,5,,,,,,,,,,,,,,15,1,80,`,,,0,ic_default_face,,,,
204,枯草堆,,0,0.3;0.3;0.3,1,npc013,,,,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_npc013,,,,
205,金猱首领,,0,1.4;1.4;1.4,1,mon030,,mon030_b,Bip_mon030,,5,,,,,,,,,,,,,,15,2,89,1,,,1,ic_mon030_a,,,,
206,虎王,,0,1.4;1.4;1.4,1,mon026,,mon026_b,bip_mon026 Spine1,,5,,,,,,,,,,,,,,15,2,80,1,,,1,ic_mon026_b,,,,
207,小洋葱,$L:pet207$,0,1;1;1,1,pet002,,,,,5,,,,,,,,,,,,,,15,1,60,1,,,1,ic_pet002,,,1,
208,灵芝仙,$L:pet208$,0,1;1;1,1,pet003,,,,,5,,,,,,,,,,,,,,15,1,60,1,,,1,ic_pet003,,,1,
209,小野骡,$L:pet209$,0,1;1;1,1,pet004,,,,,5,,,,,,,,,,,,,,15,1,60,1,,,1,ic_pet004,,,1,
210,金毛猿,$L:pet210$,0,1;1;1,1,pet005,,,,,5,,,,,,,,,,,,,,15,1,60,1,,,1,ic_pet005,,,1,
211,雨后春笋,,0,1;1;1,1,npc032,,,,,5,,,,,,,,,,,,,,15,1,,1,,,1,ic_npc013,,,,
212,小穿山甲,,0,0.6;0.6;0.6,1,mon037,,,bip_mon037 Spine1,,5,,,,,,,,,,,,,,15,2,75,1,,,1,ic_mon037,,,,
213,朱草,,0,1;1;1,1,npc033,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
214,野蘑菇,,0,1;1;1,1,npc034,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
215,丹参,,0,1;1;1,1,npc035,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
216,夏枯草,,0,1;1;1,1,npc036,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
217,朱果,,0,1;1;1,1,npc037,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
218,荔枝草,,0,1;1;1,1,npc038,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
219,北草乌,,0,1;1;1,1,npc039,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
220,何首乌,,0,1;1;1,1,npc040,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
221,金银花,,0,1;1;1,1,npc041,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
222,罗汉果,,0,1;1;1,1,npc042,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
223,毒芹 ,,0,1;1;1,1,npc043,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
224,石吊兰,,0,1;1;1,1,npc044,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
225,无花果,,0,1;1;1,1,npc045,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
226,无根藤,,0,1;1;1,1,npc046,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
227,百里香,,0,1;1;1,1,npc047,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
228,橙红石,,0,1;1;1,1,npc048,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
229,白云石 ,,0,1;1;1,1,npc049,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
230,白榴石,,0,1;1;1,1,npc050,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
231,叶蜡石,,0,1;1;1,1,npc051,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
232,尖晶石,,0,1;1;1,1,npc052,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
233,重晶石,,0,1;1;1,1,npc053,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
234,水镁石,,0,1;1;1,1,npc054,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
235,顽火石,,0,1;1;1,1,npc055,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
236,铝榴石,,0,1;1;1,1,npc056,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
237,碘银石,,0,1;1;1,1,npc057,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
251,烈炎天网,,0,1;1;1,1,eff_x_skill23_body,,,,,5,,,,,,,,,,,,,,15,1,0,1,,,1,ic_default_face,,,,
252,寒冰地网,,0,1;1;1,1,eff_x_skill24_body,,,,,5,,,,,,,,,,,,,,15,1,0,1,,,1,ic_default_face,,,,
238,乌风草,,0,1;1;1,1,npc043,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
239,黑石护卫,,0,1;1;1,1,mon048,,,Bip01 Spine,,5,iwmon048,Bwp01,,,,,,,,,,,,15,1,85,1,,,1,ic_mon048,,,,
240,古藤木,,0,1;1;1,1,shz_huzhuashanrukou,,,,,5,,,,,,,,,,,,,,15,1,0,1,,,1,ic_default_face,,,,
241,被污染的桃花妖,,0,1;1;1,1,mon033,,mon033_b,bip_mon033 Spine,,5,,,,,,,,,,,,,,15,1,85,1,,,1,ic_mon033_b,,,,
242,猎户,,0,1;1;1,1,npc005,,npc005_d,,,5,,,,,,,,,,,,,,15,1,,1,,,1,ic_npc005,,,,
253,茯苓,,0,0.5;0.5;0.5,1,npc170,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
254,麻黄草,,0,0.5;0.5;0.5,1,npc171,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
255,银犀草,,0,0.5;0.5;0.5,1,npc172,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
256,黄精,,0,0.5;0.5;0.5,1,npc173,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
257,雪见草,,0,0.5;0.5;0.5,1,npc174,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
258,龙胆紫,,0,0.5;0.5;0.5,1,npc175,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
259,方解石,,0,1;1;1,1,npc176,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
260,菱辉石,,0,1;1;1,1,npc177,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
261,锰矾石,,0,1;1;1,1,npc178,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
262,翡翠石,,0,1;1;1,1,npc179,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
263,云母石,,0,1;1;1,1,npc180,,,,,5,,,,,,,,,,,,,,15,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,金蝉,,0,1;1;1,1,npc068,,,,,5,,,,,,,,,,,,,,15,1,,1,,,1,ic_npc068,,,,
503,妙一夫人,,0,1;1;1,1,npc002,,npc002_c,,,5,,,,,,,,,,,,,,15,1,,1,,,1,ic_npc002_b,,,,
504,李英琼,,0,1;1;1,1,npc011_c,,npc011_d,,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_npc011_c,,,,
505,袁星,,0,1;1;1,1,mon064,,mon064_b,Bip01 Spine1,,5,,,,,,,,,,,,,,15,2,60,1,,,1,ic_mon064_b,,,,
506,清风,,0,1;1;1,1,npc004,,,,,5,,,,,,,,,,,,,,15,1,,1,,,1,ic_npc004,,,,
507,明月,,0,1;1;1,1,npc004,,,,,5,,,,,,,,,,,,,,15,1,,1,,,1,ic_npc004,,,,
508,峨眉男弟子,,0,1;1;1,1,npc004,,,,,5,,,,,,,,,,,,,,15,1,,1,,,1,ic_npc004,,,,
509,峨眉女弟子,,0,1;1;1,1,npc003_a,npc003_b,,,,5,,,,,,,,,,,,,,15,1,,1,,,1,ic_npc003_b,,,,
510,短尾猴,,0,0.7;0.7;0.7,1,mon030,mon030_c,,Bip_mon030,,5,,,,,,,,,,,,,,15,2,89,1,,,1,ic_mon030_c,,,,
511,穿山甲,,0,1;1;1,1,mon037,,,bip_mon037 Spine1,,5,,,,,,,,,,,,,,15,2,75,1,,,1,ic_mon037,,,,
512,肉芝,,0,1.3;1.3;1.3,1,mon054,,mon054_a,Bip01 Spine1,,5,,,,,,,,,,,,,,15,1,100,1,,,1,ic_mon054_a,,,,
513,千年肉芝,,0,1;1;1,1,mon054,,mon054_b,Bip01 Spine1,,5,,,,,,,,,,,,,,15,1,100,1,,,1,ic_mon054_b,,,,
514,石笋巨人,,0,1.3;1.3;1.3,1,mon055,,,Bip01 Spine1,,5,,,,,,,,,,,,,,15,1,100,1,,,1,ic_mon055,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,小沙弥唯善,,0,2;2;2,1,npc067,,,,,5,,,,,,,,,,,,,,20,1,,1,,,1,ic_npc067,,,,
602,小沙弥唯清,,0,1;1;1,1,npc067,,npc067_b,,,5,,,,,,,,,,,,,,15,1,,1,,,1,ic_npc067,,,,
603,小沙弥唯明,,0,1.3;1.3;1.3,1,npc067,,npc067_c,,Bip01 Head,5,,,,,,,,,,,,,,20,1,,1,,,1,ic_npc067,,,,
604,楠树守卫,,0,1;1;1,1,npc066,,,Bip_npc066 Spine,Bip_npc066 Head,5,,,,,,,,,,,,,,15,1,100,1,,,1,ic_npc066,,,,
605,千年楠树守卫,,0,1.6;1.6;1.6,1,npc066,,,Bip_npc066 Spine,Bip_npc066 Head,5,,,,,,,,,,,,,,15,1,100,1,,,1,ic_npc066,,,,
606,老楠树,,0,3.5;3.5;3.5,1,npc065,,,Bip_npc065 Spine,,5,,,,,,,,,,,,,,15,1,100,1,,,1,ic_npc065,,,,
607,佛奴,,0,1.7;1.7;1.8,1,npc064,,,,,5,,,,,,,,,,,,,,20,1,106,1,,,1,ic_npc064,,,,
608,白雕,,0,1;1;1,1,npc064_b,,,,,5,,,,,,,,,,,,,,15,1,106,1,,,1,ic_npc064b,,,,
610,小野猪,,0,1;1;1,1,mon052,,,Bip01 Spine1,,5,,,,,,,,,,,,,,15,2,72,1,,,1,ic_mon052_a,,,,
611,野猪,,0,1.3;1.3;1.3,1,mon052,,,Bip01 Spine1,,5,,,,,,,,,,,,,,15,2,72,1,,,1,ic_mon052_a,,,,
612,小山猿,,0,0.7;0.7;0.7,1,mon064,,mon064_a,Bip01 Spine1,,5,,,,,,,,,,,,,,15,2,60,1,,,1,ic_mon064_a,,,,
613,山猿,,0,1;1;1,1,mon064,,mon064_a,Bip01 Spine1,,5,,,,,,,,,,,,,,15,2,60,1,,,1,ic_mon064_a,,,,
614,小山狼,,0,0.7;0.7;0.7,1,mon009,,mon009_b,B01,,5,,,,,,,,,,,,,,15,2,106,1,,,1,ic_mon009_b,,,,
615,小血精灵,,0,1;1;1,1,mon053,,,bip_mon053 Spine1,,5,,,,,,,,,,,,,,15,1,108,1,,,1,ic_mon053_a,,,,
616,小血精灵,,0,1;1;1,1,mon053,,,bip_mon053 Spine1,,5,,,,,,,,,,,,,,15,1,108,1,,,1,ic_mon053_a,,,,
617,小血精灵,,0,1;1;1,1,mon053,,,bip_mon053 Spine1,,5,,,,,,,,,,,,,,15,1,108,1,,,1,ic_mon053_a,,,,
618,血精灵,,0,1.2;1.2;1.2,1,mon053,,,bip_mon053 Spine1,,5,,,,,,,,,,,,,,15,1,108,1,,,1,ic_mon053_a,,,,
619,大血精灵,,0,1.5;1.5;1.5,1,mon053_b,,,bip_mon053 Spine1,,5,,,,,,,,,,,,,,15,1,108,1,,,1,ic_mon053_b,,,,
621,巨型精灵,,0,1.8;1.8;1.8,1,mon053_b,,,bip_mon053 Spine1,,5,,,,,,,,,,,,,,15,1,108,1,,,1,ic_mon053_b,,,,
622,野猪王,,0,2.5;2.5;2.5,1,mon052,,,Bip01 Spine1,,5,,,,,,,,,,,,,,15,2,72,1,,,1,ic_mon052_a,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,野猿,,0,1;1;1,1,mon064,,mon064_b,Bip01 Spine1,,5,,,,,,,,,,,,,,15,2,60,1,,,1,ic_mon064_b,,,,
703,巨型野猿,,0,1.2;1.2;1.2,1,mon064,,mon064_b,Bip01 Spine1,,5,,,,,,,,,,,,,,15,2,60,1,,,1,ic_mon064_b,,,,
704,石头人,,0,1;1;1,1,mon047,,,bip_mon043 Spine,,5,,,,,,,,,,,,,,15,1,150,1,,,1,ic_mon047_b,,,,
705,石精怪,,0,1;1;1,1,mon047,,,bip_mon043 Spine,,5,,,,,,,,,,,,,,15,1,150,1,,,1,ic_mon047_b,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,周轻云,,0,1;1;1,1,npc011_c,,npc011_e,,,5,,,,,,,,,,,,,,15,1,,1,,,1,ic_npc011_c,,,,
802,素因师太,,0,1;1;1,1,npc002,,npc002_d,,,5,,,,,,,,,,,,,,15,1,,1,,,1,ic_npc002_b,,,,
804,吴文琪,,0,1;1;1,1,npc011,,npc011_f,,,5,,,,,,,,,,,,,,15,1,,1,,,1,ic_npc011_b,,,,
805,小尼姑定闲,,0,1;1;1,1,npc003_a,,,,,5,,,,,,,,,,,,,,15,1,,1,,,1,ic_npc003_a,,,,
806,小尼姑定慧,,0,1;1;1,1,npc003_a,,npc003_c,,,5,,,,,,,,,,,,,,15,1,,1,,,1,ic_npc003_a,,,,
807,小尼姑定虚,,0,1;1;1,1,npc003_a,,npc003_d,,,5,,,,,,,,,,,,,,15,1,,1,,,1,ic_npc003_a,,,,
808,百花男弟子,,0,1;1;1,1,npc004,,,,,5,,,,,,,,,,,,,,15,1,,1,,,1,ic_npc004,,,,
809,百花女弟子,,0,1;1;1,1,npc003_a,npc003_b,,,,5,,,,,,,,,,,,,,15,1,,1,,,1,ic_npc003_b,,,,
810,食花兽,,0,1.25;1.25;1.25,1,mon056,,,Bip01 Spine1,,5,,,,,,,,,,,,,,15,1,72,1,,,1,ic_mon056,,,,
811,金莲花,,0,1;1;1,1,mon057,,,,,5,,,,,,,,,,,,,,15,2,47,1,,,1,ic_mon057,,,,
812,雷公藤,,0,1;1;1,1,mon058,,,bmon058_01,,5,,,,,,,,,,,,,,15,2,100,1,,,1,ic_mon058,,,,
813,水精灵,,0,1;1;1,1,mon059,,,Bip_mon059 Spine,,5,,,,,,,,,,,,,,15,1,100,4,eff_mon059_die,,1,ic_mon059,,,,
814,小灵花仙,,0,1;1;1,1,mon060,,,Bip01 Spine1,,5,,,,,,,,,,,,,,15,1,100,1,,,1,ic_mon060,,,,
815,水精将,,0,1.5;1.5;1.5,1,mon059,,,Bip_mon059 Spine,,5,,,,,,,,,,,,,,15,1,100,4,eff_mon059_die,,1,ic_mon059,,,,
816,大食花兽,,0,1.5;1.5;1.5,1,mon056,,,Bip01 Spine1,,5,,,,,,,,,,,,,,15,1,72,1,,,1,ic_mon056,,,,
817,大雷公藤,,0,1.3;1.3;1.3,1,mon058,,,bmon058_01,,5,,,,,,,,,,,,,,15,2,100,1,,,1,ic_mon058,,,,
818,血魔残魂,,0,1.3;1.3;1.3,1,mon060,,,Bip01 Spine1,,5,,,,,,,,,,,,,,15,1,100,1,,,1,ic_mon060,,,,
819,鲨鱼,,0,1;1;1,1,sxfb002_npcgy001,,,,,5,,,,,,,,,,,,,,15,1,80,1,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,百禽道人公冶黄,,0,1;1;1,1,npc069,,,,,5,,,,,,,,,,,,,,15,1,,1,,,1,ic_npc069,,,,
902,白鹦鹉,,0,1;1;1,1,npc070,,npc070_a,,,5,,,,,,,,,,,,,,15,1,106,1,,,1,ic_npc070,,,,
903,鲁孝,,0,1;1;1,1,npc071,,,,,5,,,,,,,,,,,,,,15,1,,1,,,1,ic_npc071,,,,
904,鲁勿恶,,0,1;1;1,1,npc071_b,,,,,5,,,,,,,,,,,,,,15,1,,1,,,1,ic_npc071_b,,,,
905,无名,,0,1;1;1,1,npc072,,,,,5,,,,,,,,,,,,,,15,1,150,1,,,1,ic_npc072,,,,
906,丑仙人鲁瑾,,0,1;1;1,1,npc073,,,,,5,iwmon027_a,Bwp01,,,,,,,,,,,,15,1,80,1,,,1,ic_npc073,,,,
907,修炼者牛二,,0,1;1;1,1,npc074,,,,,5,,,,,,,,,,,,,,15,1,,1,,,1,ic_npc074,,,,
908,小变形狗,,0,1;1;1,1,npc075,,,,,5,,,,,,,,,,,,,,15,1,284,1,,,1,ic_npc075,,,,
909,小木人,,0,1;1;1,1,npc076,,,,,5,,,,,,,,,,,,,,15,1,66,1,,,1,ic_npc076,,,,
910,小飞仙,,0,1;1;1,1,npc077,,,,,5,,,,,,,eff_chuan,Bip01,,,,,,15,2,80,1,,,1,ic_npc077,,,,
911,鹦鹉,,0,1;1;1,1,npc070,,npc070_b,,,5,,,,,,,,,,,,,,15,2,80,1,,,1,ic_npc070b,,,,
912,小树灵,,0,1;1;1,1,mon065,,,Box01,,5,,,,,,,eff_mon065_wait,Box01,,,,,,15,1,100,1,,,1,ic_mon065_a,,,,
913,异化狼人,,0,1;1;1,1,mon066,,,bip_mon066 Spine1,,5,,,,,,,,,,,,,,15,2,56,1,,,1,ic_mon009_e,,,,
914,五台魂魄,,0,1;1;1,1,mon065_b,,,Box01,,5,,,,,,,eff_mon065b_wait,Box01,,,,,,15,1,100,1,,,1,ic_mon065_b,,,,
915,苗疆魂魄,,0,1;1;1,1,mon065_c,,,Box01,,5,,,,,,,eff_mon065c_wait,Box01,,,,,,15,1,100,1,,,1,ic_mon065_c,,,,
916,大树灵,,0,2;2;2,1,mon065_d,,,Box01,,5,,,,,,,eff_mon065d_wait,Box01,,,,,,15,1,100,1,,,1,ic_mon065_d,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2901,封印塔,,0,1.2;1.2;1.2,1,szc01_jiguan001,,,Box03,,5,,,,,,,,,,,,,,15,2,80,1,,,1,ic_jiguan,,,,
2902,水晶塔,,0,1;1;1,1,szc01_jiguan001,,,Box03,,5,,,,,,,,,,,,,,15,2,80,4,szc01_jiguan001_die,,1,ic_jiguan,,,,
2903,攻城令旗,,0,1.5;1.5;1.5,1,npc078,,,Box03,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_npc078,,,,
2904,攻城管理员,,0,1;1;1,1,npc004,,,,,5,,,,,,,,,,,,,,15,1,,1,,,1,ic_npc004,,,,
2905,城门,,0,1;1;1,1,szc01_chengmen001,,,Bone02,,5,,,,,,,,,,,,,,15,2,80,4,szc01_chengmen_die,,1,ic_chengmen,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2910,血神护卫,,0,1;1;1,1,mon061,,,Bip01 Spine,,5,,,,,,,eff_mon061_wait,,,,,,,15,2,80,1,,,1,ic_mon061,,,,
2911,冰川银狐,,0,1;1;1,1,mon062,,,Bip_mon009 Spine1,,5,,,,,,,,,,,,,,15,2,88,1,,,1,ic_mon062,,,1,
2912,血神近侍,,0,1.5;1.5;1.5,1,mon063,,,Bip01 Spine,,5,,,,,,,,,,,,,,15,2,80,1,,,1,ic_mon063,,,,
2913,血神将,,0,4;4;4,1,boss031,,,Bip01 Spine,,5,,,,,,,,,,,,,,20,2,80,1,,,1,ic_boss031,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4301,霜魂,,0,1;1;1,1,mon065_b,,,Bmon005_22,,5,,,,,,,,,,,,,,15,1,48,1,,,1,ic_mon065_b,,,,
4302,幽灵鬼爪,,0,1;1;1,1,mon077,,mon077_d,Bip01,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_mon077_d,,,,
4303,深渊魔兵,,0,1;1;1,1,mon027_a,mon027_a,,Bip_mon027 Spine,,5,iwmon027_a,Bwp01,,,,,,,,,,,,15,1,105,3,,,1,ic_mon027_a1,,,,
4304,冰霜雪人,,0,0.7;0.7;0.7,1,mon047_a,,,bip_mon043 Spine,,5,,,,,,,,,,,,,,15,1,150,3,,,1,ic_mon047_c,,,,
4305,怒吼雪人,,0,1;1;1,1,mon047_a,mon047_d,,bip_mon043 Spine,,5,,,,,,,,,,,,,,15,1,150,3,,,1,ic_mon047_d,,,,
4306,魔化雪怪,,0,1;1;1,1,mon047_a,mon047_e,,bip_mon043 Spine,,5,,,,,,,,,,,,,,15,1,150,3,,,1,ic_mon047_e,,,,
4307,冰坚战士,,0,1;1;1,1,mon047_a,mon047_f,,bip_mon043 Spine,,5,,,,,,,,,,,,,,15,1,150,3,,,1,ic_mon047_f,,,,
4308,冰晶战士,,0,1;1;1,1,mon047_a,mon047_g,,bip_mon043 Spine,,5,,,,,,,,,,,,,,15,1,150,3,,,1,ic_mon047_g,,,,
