33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,说明,门派,部位,,品质,价值倍率,物理防御,主属性,体质,力量,敏捷,智力,道具等级,最大修炼等级,装备需求等级,法宝超级等级,闪躲,爆击,招架,hp回复,mp回复,闪躲率,爆击率,招架率,法术防御1,法术防御2,法术防御3,法术防御4,法术防御5,最大hp+x%,,,,,,,,,,,,,,,,,
209,辅助法宝,5,2,,3,2,,ItemGetMAttr*1.25+3,ItemGetCon*0.75+3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,辅助法宝,5,2,,4,2.25,,ItemGetMAttr*1+4,ItemGetCon*1+4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,辅助法宝,5,2,,4,2.25,,,ItemGetCon*1.25+4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,辅助法宝,5,2,,4,2.25,,ItemGetMAttr*1.25+4,ItemGetCon*0.75+4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,辅助法宝,5,2,,5,2.5,,ItemGetMAttr*1+5,ItemGetCon*1+5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,辅助法宝,5,2,,5,2.5,,,ItemGetCon*1.25+5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,辅助法宝,5,2,,5,2.5,,ItemGetMAttr*1.25+5,ItemGetCon*0.75+5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,辅助法宝,5,2,,6,2.75,,ItemGetMAttr*1+6,ItemGetCon*1+6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,辅助法宝,5,2,,6,2.75,,,ItemGetCon*1.25+6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,辅助法宝,5,2,,6,2.75,,ItemGetMAttr*1.25+6,ItemGetCon*0.75+6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,辅助法宝,5,2,,7,3,,ItemGetMAttr*1+7,ItemGetCon*1+7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,辅助法宝,5,2,,7,3,,,ItemGetCon*1.25+7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,辅助法宝,5,2,,7,3,,ItemGetMAttr*1.25+7,ItemGetCon*0.75+7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,法宝+7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,法宝+8,,,,,,,,,ItemGetEquipLev/20+20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,法宝+9,,,,,,,,,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,法宝+10,,,,,,,,,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,法宝+11,,,,,,,,,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,法宝+12,,,,,,,,,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,法宝+13,,,,,,,,,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,法宝+14,,,,,,,,,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,法宝+15,,,,,,,,,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,法宝+16,,,,,,,,,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,,,,,,,,,,,ItemGetEquipLev/20+1,,,,,,,,,ItemGetEquipLev/20+500,,,,,,,,,,,,,,,
500,法宝+17,,,,,,,,,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,,,,,,,,,,,ItemGetEquipLev/20+2,,,,,,,,,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,,,,,,,,,,,,,,
501,法宝+18,,,,,,,,,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,,,,,,,,,,,ItemGetEquipLev/20+3,,,,,,,,,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,,,,,,,,,,,,,
502,法宝+19,,,,,,,,,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,,,,,,,,,,,ItemGetEquipLev/20+4,,,,,,,,,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,,,,,,,,,,,,
503,法宝+20,,,,,,,,,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,,,,,,,,,,,ItemGetEquipLev/20+5,,,,,,,,,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,,,,,,,,,,,
523,法宝+20,,,,,,,,,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,,,,,,,,,,,ItemGetEquipLev/20+5,,,,,,,,,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,,,,,,,,,,,
524,法宝+20,,,,,,,,,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,,,,,,,,,,,ItemGetEquipLev/20+5,,,,,,,,,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,,,,,,,,,,,
525,法宝+20,,,,,,,,,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,,,,,,,,,,,ItemGetEquipLev/20+5,,,,,,,,,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,,,,,,,,,,,
526,法宝+20,,,,,,,,,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,,,,,,,,,,,ItemGetEquipLev/20+5,,,,,,,,,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,,,,,,,,,,,
527,法宝+20,,,,,,,,,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,,,,,,,,,,,ItemGetEquipLev/20+5,,,,,,,,,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,,,,,,,,,,,
261,防具+7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ItemGetEquipLev/10+2,,,,,,,,,,,,,,,,,
262,防具+8,,,,,,,,,ItemGetEquipLev/20+20,,,,,,,,,,,,,,,,,,,,ItemGetEquipLev/10+3,,,,,,,,,,,,,,,,,
263,防具+9,,,,,,,,,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,,,,,,,,,,,,,,,,,,,ItemGetEquipLev/10+4,,,,,,,,,,,,,,,,,
264,防具+10,,,,,,,,,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,,,,,,,,,,,,,,,,,,ItemGetEquipLev/10+5,,,,,,,,,,,,,,,,,
265,防具+11,,,,,,,,,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,,,,,,,,,,,,,,,,,,ItemGetEquipLev/10+6,,,,,,,,,,,,,,,,,
266,防具+12,,,,,,,,,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,,,,,,,,,,,,,,,,,,ItemGetEquipLev/10+7,,,,,,,,,,,,,,,,,
504,防具+13,,,,,,,,,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,,,,,,,,,,,,,,,,,,ItemGetEquipLev/10+8,,,,,,,,,,,,,,,,,
505,防具+14,,,,,,,,,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,,,,,,,,,,,,,,,,,,ItemGetEquipLev/10+9,,,,,,,,,,,,,,,,,
506,防具+15,,,,,,,,,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,,,,,,,,,,,,,,,,,,ItemGetEquipLev/10+10,,,,,,,,,,,,,,,,,
507,防具+16,,,,,,,,,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,,,,,,,,,,,,,,,,,,ItemGetEquipLev/10+11,,ItemGetEquipLev/20+500,,,,,,,,,,,,,,,
508,防具+17,,,,,,,,,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,,,,,,,,,,,,,,,,,,ItemGetEquipLev/10+12,,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,,,,,,,,,,,,,,
509,防具+18,,,,,,,,,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,,,,,,,,,,,,,,,,,,ItemGetEquipLev/10+13,,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,,,,,,,,,,,,,
510,防具+19,,,,,,,,,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,,,,,,,,,,,,,,,,,,ItemGetEquipLev/10+14,,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,,,,,,,,,,,,
511,防具+20,,,,,,,,,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,ItemGetEquipLev/20+20,,,,,,,,,,,,,,,,,,ItemGetEquipLev/10+15,,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,ItemGetEquipLev/20+500,,,,,,,,,,,
512,防具+21,,,,,,,,,ItemGetEquipLev/20+21,ItemGetEquipLev/20+21,ItemGetEquipLev/20+21,,,,,,,,,,,,,,,,,,ItemGetEquipLev/10+16,,ItemGetEquipLev/20+501,ItemGetEquipLev/20+501,ItemGetEquipLev/20+501,ItemGetEquipLev/20+501,ItemGetEquipLev/20+501,,,,,,,,,,,
513,防具+22,,,,,,,,,ItemGetEquipLev/20+22,ItemGetEquipLev/20+22,ItemGetEquipLev/20+22,,,,,,,,,,,,,,,,,,ItemGetEquipLev/10+17,,ItemGetEquipLev/20+502,ItemGetEquipLev/20+502,ItemGetEquipLev/20+502,ItemGetEquipLev/20+502,ItemGetEquipLev/20+502,,,,,,,,,,,
514,防具+23,,,,,,,,,ItemGetEquipLev/20+23,ItemGetEquipLev/20+23,ItemGetEquipLev/20+23,,,,,,,,,,,,,,,,,,ItemGetEquipLev/10+18,,ItemGetEquipLev/20+503,ItemGetEquipLev/20+503,ItemGetEquipLev/20+503,ItemGetEquipLev/20+503,ItemGetEquipLev/20+503,,,,,,,,,,,
515,防具+24,,,,,,,,,ItemGetEquipLev/20+24,ItemGetEquipLev/20+24,ItemGetEquipLev/20+24,,,,,,,,,,,,,,,,,,ItemGetEquipLev/10+19,,ItemGetEquipLev/20+504,ItemGetEquipLev/20+504,ItemGetEquipLev/20+504,ItemGetEquipLev/20+504,ItemGetEquipLev/20+504,,,,,,,,,,,
516,防具+25,,,,,,,,,ItemGetEquipLev/20+25,ItemGetEquipLev/20+25,ItemGetEquipLev/20+25,,,,,,,,,,,,,,,,,,ItemGetEquipLev/10+20,,ItemGetEquipLev/20+505,ItemGetEquipLev/20+505,ItemGetEquipLev/20+505,ItemGetEquipLev/20+505,ItemGetEquipLev/20+505,,,,,,,,,,,
517,防具+26,,,,,,,,,ItemGetEquipLev/20+26,ItemGetEquipLev/20+26,ItemGetEquipLev/20+26,,,,,,,,,,,,,,,,,,ItemGetEquipLev/10+25,,ItemGetEquipLev/20+506,ItemGetEquipLev/20+506,ItemGetEquipLev/20+506,ItemGetEquipLev/20+506,ItemGetEquipLev/20+506,,,,,,,,,,,
267,青龙护符（越南）,5,10,,,1,,,,,,,,,,,,,,,,10,,,220,220,220,220,220,,,,,,,,,,,,,,,,,,
268,白虎护符（越南）,5,10,,,1,,,,,,,,,,,,,,,,,10,,220,220,220,220,220,,,,,,,,,,,,,,,,,,
269,火凤护符（韩国）,5,10,,,1,,,,,,,,,,,,,,,,,,,220,220,220,220,220,,,,,,,,,,,,,,,,,,
270,玄武护符（韩国）,5,10,,,1,,,,,,,,,,,,,,,,,,,220,220,220,220,220,10,,,,,,,,,,,,,,,,,
271,"归魂项链 蓝色（韩国）",5,10,,,1,,,6,,,,,,,,,,,,,,,,231,231,231,231,231,ItemGetEquipLev/10+6,,,,,,,,,,,,,,,,,
272,"归魂项链 金色（韩国）",5,10,,,1,,,10,,,,,,,,,,,,,,,,462,462,462,462,462,ItemGetEquipLev/10+7,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,体质魔石1级,5,1;2;3;4;5;6;7;8,,,0.03,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,体质魔石2级,5,1;2;3;4;5;6;7;8,,,0.06,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,体质魔石3级,5,1;2;3;4;5;6;7;8,,,0.09,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,体质魔石4级,5,1;2;3;4;5;6;7;8,,,0.12,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,体质魔石5级,5,1;2;3;4;5;6;7;8,,,0.15,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,力量魔石1级,5,1;2;3;4;5;6;7;8,,,0.03,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,力量魔石2级,5,1;2;3;4;5;6;7;8,,,0.06,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,力量魔石3级,5,1;2;3;4;5;6;7;8,,,0.09,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,力量魔石4级,5,1;2;3;4;5;6;7;8,,,0.12,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,力量魔石5级,5,1;2;3;4;5;6;7;8,,,0.15,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,敏捷魔石1级,5,1;2;3;4;5;6;7;8,,,0.03,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,敏捷魔石2级,5,1;2;3;4;5;6;7;8,,,0.06,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,敏捷魔石3级,5,1;2;3;4;5;6;7;8,,,0.09,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,敏捷魔石4级,5,1;2;3;4;5;6;7;8,,,0.12,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,敏捷魔石5级,5,1;2;3;4;5;6;7;8,,,0.15,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,智力魔石1级,5,1;2;3;4;5;6;7;8,,,0.03,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,智力魔石2级,5,1;2;3;4;5;6;7;8,,,0.06,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,智力魔石3级,5,1;2;3;4;5;6;7;8,,,0.09,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,智力魔石4级,5,1;2;3;4;5;6;7;8,,,0.12,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,智力魔石5级,5,1;2;3;4;5;6;7;8,,,0.15,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,物理防御提高魔石,5,1;2;3;4;5;6;7;8,,,0.03,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,物理防御提高魔石,5,1;2;3;4;5;6;7;8,,,0.06,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,物理防御提高魔石,5,1;2;3;4;5;6;7;8,,,0.09,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,物理防御提高魔石,5,1;2;3;4;5;6;7;8,,,0.12,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,物理防御提高魔石,5,1;2;3;4;5;6;7;8,,,0.15,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,防具提升魔石1级,5,3;4;5;6;7;8,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,防具提升魔石2级,5,3;4;5;6;7;8,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,防具提升魔石3级,5,3;4;5;6;7;8,,,,,,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,防具提升魔石4级,5,3;4;5;6;7;8,,,,,,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,防具提升魔石5级,5,3;4;5;6;7;8,,,,,,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,防具提升魔石6级,5,3;4;5;6;7;8,,,,,,,,,,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,防具提升魔石7级,5,3;4;5;6;7;8,,,,,,,,,,7,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,防具提升魔石8级,5,3;4;5;6;7;8,,,,,,,,,,8,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,防具提升魔石9级,5,3;4;5;6;7;8,,,,,,,,,,9,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,防具提升魔石10级,5,3;4;5;6;7;8,,,,,,,,,,10,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,法宝提升魔石1级,5,1;2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,法宝提升魔石2级,5,1;2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,法宝提升魔石3级,5,1;2,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,法宝提升魔石4级,5,1;2,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,法宝提升魔石5级,5,1;2,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,法宝提升魔石6级,5,1;2,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,法宝提升魔石7级,5,1;2,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,法宝提升魔石8级,5,1;2,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,法宝提升魔石9级,5,1;2,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,法宝提升魔石10级,5,1;2,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,闪躲魔石1级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,闪躲魔石2级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,闪躲魔石3级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,闪躲魔石4级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,闪躲魔石5级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,闪躲魔石6级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,闪躲魔石7级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,闪躲魔石8级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,闪躲魔石9级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,闪躲魔石10级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,爆击魔石1级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,爆击魔石2级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,爆击魔石3级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,爆击魔石4级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,爆击魔石5级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,爆击魔石6级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,爆击魔石7级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,爆击魔石8级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,爆击魔石9级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,爆击魔石10级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,招架魔石1级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,招架魔石2级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,招架魔石3级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,招架魔石4级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,招架魔石5级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,招架魔石6级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,招架魔石7级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,招架魔石8级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,招架魔石9级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,招架魔石10级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,HP回复魔石1级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,HP回复魔石2级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,HP回复魔石3级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,HP回复魔石4级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,HP回复魔石5级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,HP回复魔石6级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,HP回复魔石7级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,HP回复魔石8级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,HP回复魔石9级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,HP回复魔石10级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,MP回复魔石1级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
402,MP回复魔石2级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
403,MP回复魔石3级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
404,MP回复魔石4级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
405,MP回复魔石5级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
406,MP回复魔石6级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
407,MP回复魔石7级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
408,MP回复魔石8级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
409,MP回复魔石9级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
410,MP回复魔石10级,5,1;2;3;4;5;6;7;8,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
