基本,,,,,,,,,,,属性,,,,,,,,,,,,,,,,,,,,,给予,给予,,,,,,,,,,,,,,其他,,,,,,,,,小宠物专用,小宠物/战斗宠物,属于哪一个城战区,,,,,
编号,名字,名字,类型,鼠标选择,类型细分,模型ID,可否被玩家攻击,可驯服类型,资源类型,尸体存在时间,等级,精英比率,伤害比率,头衔,血条层数,效果免疫,技能免疫,血值,魔法,攻击,伤害,闪避率,防御,默认普通攻击,技能,宠物技能(包括战斗宠物和傀儡),元素伤害,元素防御,攻击距离,移动速度,攻击速度,经验,灵力,金钱,金钱掉落几率,掉落类型,掉落道具,颜色概率,掉落道具等级调整,独立掉落道具,独立颜色概率,独立掉落道具等级调整,独立掉落率,固定掉落数量,随机坐标,地图坐标,功能,默认对话,可接受的任务,可完成的任务,关联任务,传送点,辅助技能,所属势力,声望奖励,对应增益性buf,适合的食物,居住地,离开视野缓存,NPC相对性,随从开关,是否显示附近NPC,备注
5677,幽暗密林副本出口NPC,$L:npc_5677$,1,3,,5463,0,,,100,35,1,3.5,0,,,,3440,312,0,228,31,569,20,,,,600;600;600;600;600,60,0,3,230 ,120,46 ,0.5,,,,,,,,,,,-1506;-137;1,talk;,talk/npc_talk_5677.xml,,,,,,,,,,,,,,,
5678,牢笼1,$L:npc_5678$,1,0,,5468,0,,,20,35,1,1,0,,,,100000 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,120,3,230 ,38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5679,牢笼2,$L:npc_5679$,1,0,,5468,0,,,20,35,1,1,0,,,,100000 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,120,3,230 ,38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5680,牢笼3,$L:npc_5680$,1,0,,5468,0,,,20,35,1,1,0,,,,100000 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,120,3,230 ,38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5681,良珠,$L:npc_5681$,1,3,,5475,0,,,100,35,1,1,0,,,,1313 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,60,3,230 ,38 ,,,,,,,,,,,,,,talk,,,,,,,,,,,,,,,,
5682,怀方,$L:npc_5682$,1,3,,5476,0,,,100,35,1,1,0,,,,1313 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,60,3,230 ,38 ,,,,,,,,,,,,,,talk,,,,,,,,,,,,,,,,
5683,心宝(不可点),$L:npc_5683$,1,0,,5477,0,,,0,35,1,1,0,,,,1313 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,60,3,230 ,38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5684,心宝,$L:npc_5684$,1,3,,5477,0,,,100,35,3,1,0,,,,3938 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,60,3,690 ,38 ,,,,,,,,,,,,795 1681;805 1678;803 1665;787 1649;773 1632;760 1615;752 1595;746 1574;735 1555;719 1540;698 1536;677 1534;656 1531;635 1524;616 1515;599 1502;594 1482;590 1460;586 1439;583 1418;580 1396;575 1376;570 1359;,-1506;-137;1,talk;task,,1845,1844,,,,,,,,,,,,,
5685,牙一族巡游者(巡逻)（副本）,$L:npc_5674$,1,3,,5467,1,,,100,32,2.8,3,1,,,,3099 ,120 ,0,252 ,33 ,601 ,20,,,,601;601;601;601;601,30,120,3,602 ,100 ,123 ,0.5,4,603,0.1;0;0;,"0,0;",6051,0;0;0;0;0;0;0;,"0,0;",0.13;,,,-1506;-137;1,,,,,1846,,,,,,,,,,,,
5686,牙一族巡游者(巡逻)（副本）,$L:npc_5674$,1,3,,5467,1,,,100,32,2.8,3,1,,,,3099 ,120 ,0,252 ,33 ,601 ,20,,,,601;601;601;601;601,30,120,3,602 ,100 ,123 ,0.5,4,603,0.1;0;0;,"0,0;",6051,0;0;0;0;0;0;0;,"0,0;",0.13;,,,-1506;-137;1,,,,,1846,,,,,,,,,,,,
5687,牙一族巡游者(巡逻)（副本）,$L:npc_5674$,1,3,,5467,1,,,100,32,2.8,3,1,,,,3099 ,120 ,0,252 ,33 ,601 ,20,,,,601;601;601;601;601,30,120,3,602 ,100 ,123 ,0.5,4,603,0.1;0;0;,"0,0;",6051,0;0;0;0;0;0;0;,"0,0;",0.13;,,,-1506;-137;1,,,,,1846,,,,,,,,,,,,
5688,牙一族巡游者(巡逻)（副本）,$L:npc_5674$,1,3,,5467,1,,,100,32,2.8,3,1,,,,3099 ,120 ,0,252 ,33 ,601 ,20,,,,601;601;601;601;601,30,100,3,602 ,100 ,123 ,0.5,4,603,0.1;0;0;,"0,0;",6051,0;0;0;0;0;0;0;,"0,0;",0.13;,,,-1506;-137;1,,,,,1846,,,,,,,,,,1,,
5689,虚灵（副本）,$L:npc_5689$,1,3,,5469,1,,,100,35,2.8,3,1,,,,3938 ,120 ,0,292 ,38 ,683 ,20,,,,683;683;683;683;683,30,120,3,547 ,107 ,129 ,0.5,4,403,0.1;0;0;,"0,0;",6052,0;0;0;0;0;0;0;,"0,0;",0.13;,,,-1762;226;1,,,,,1851,,,,,,,,,,,,
5690,刀魂（副本）,$L:npc_5690$,1,3,,5470,1,,,100,37,2.8,3,1,,,,4390 ,120 ,0,320 ,37 ,666 ,20,,,,666;666;666;666;666,30,120,3,571 ,112 ,134 ,0.5,4,403,0.1;0;0;,"0,0;",6052,0;0;0;0;0;0;0;,"0,0;",0.13;,,,-1762;226;1,,,,,1851,,,,,,,,,,,,
5691,罗枭部众（副本）,$L:npc_5691$,1,3,,5471,1,,,100,38,2.8,3,1,,,,4629 ,120 ,0,335 ,39 ,699 ,20,,,,699;699;699;699;699,30,120,3,583 ,114 ,140 ,0.5,4,703,0.1;0;0;,"0,0;",6053,0;0;0;0;0;0;0;,"0,0;",0.13;,,,-1762;226;1,,,,,1850,,,,,,,,,,,,
5692,枯骨魔（副本）,$L:npc_5692$,1,3,,5472,1,,,100,39,2.8,3,1,,,,4876 ,120 ,0,350 ,40 ,715 ,20,,,,715;715;715;715;715,30,120,3,595 ,117 ,140 ,0.5,4,203,0.1;0;0;,"0,0;",6052,0;0;0;0;0;0;0;,"0,0;",0.13;,,,-1762;226;1,,,,,1852,,,,,,,,,,,,
5693,化骨老妖（副本）,$L:npc_5693$,1,3,,5473,1,,,600,37,58,1.3,1,,2;3;4,,84867 ,120 ,0,1179 ,38 ,683 ,20,,,,683;683;683;683;683,30,160,3,11832 ,2320 ,2784 ,0.5,5,12012,0.1;0;0;,"0,0;",6052,0;0;0;0;0;0;0;,"0,0;",0.13;,,,-1762;226;1,,,,,1852,,,,,,,,,,,,
5694,玄石之界副本入口NPC,$L:npc_5694$,1,3,,5474,0,,,100,35,1,3.5,0,,,,3440,312,0,228,31,569,20,,,,600;600;600;600;600,60,0,3,718,120,46 ,0.5,,,,,,,,,,,-1762;226;1,talk;,talk/npc_talk_5694.xml,,,,,,,,,,,,,,1,
5695,玄石之界副本出口NPC,$L:npc_5695$,1,3,,5474,0,,,100,35,1,3.5,0,,,,3440,312,0,228,31,569,20,,,,600;600;600;600;600,60,0,3,718,120,46 ,0.5,,,,,,,,,,,-1762;226;1,talk;,talk/npc_talk_5695.xml,,,,,,,,,,,,,,,
5696,紫竹林民兵（2）,$L:npc_5637$,1,3,,5437,0,,,100,35,1,1,0,,,,1313 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,120,3,230 ,38 ,,,,,,,,,,,,,,talk;task,talk/npc_talk_5696.xml,,,,,,,,,,,,,,,
5697,紫竹林民兵（3）,$L:npc_5637$,1,3,,5437,0,,,100,35,1,1,0,,,,1313 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,120,3,230 ,38 ,,,,,,,,,,,,,,talk;task,talk/npc_talk_5697.xml,,,,,,,,,,,,,,,
5698,紫竹林民兵（4）,$L:npc_5637$,1,3,,5437,0,,,100,35,1,1,0,,,,1313 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,120,3,230 ,38 ,,,,,,,,,,,,,,talk;task,talk/npc_talk_5698.xml,,,,,,,,,,,,,,,
5699,紫竹林民兵（5）,$L:npc_5637$,1,3,,5437,0,,,100,35,1,1,0,,,,1313 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,120,3,230 ,38 ,,,,,,,,,,,,,,talk;task,talk/npc_talk_5699.xml,,,,,,,,,,,,,,,
5700,紫竹林民兵（6）,$L:npc_5637$,1,3,,5437,0,,,100,35,1,1,0,,,,1313 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,120,3,230 ,38 ,,,,,,,,,,,,,,talk;task,talk/npc_talk_5700.xml,,,,,,,,,,,,,,,
5701,紫竹林民兵（7）,$L:npc_5637$,1,3,,5437,0,,,100,35,1,1,0,,,,1313 ,120 ,0,97 ,36 ,650 ,20,,,,650;650;650;650;650,30,120,3,230 ,38 ,,,,,,,,,,,,,,talk;task,talk/npc_talk_5701.xml,,,,,,,,,,,,,,,
