,µÀ¾ßµÄId,µ±Ç°µãÊý,´òÕÛÇ°µÄµãÊý,"ÉÌÆ·µÄÌØÊâ±ê¼Ç(Èç""×îÐÂ"",""ÈÈÏú""µÈ)",ÉÌÆ·¶îÍâÃèÊö,ÊôÐÔId,ÉÌÆ·µÈ¼¶ÐÞÕý,°ó¶¨ÐÎÊ½,ÓÐÐ§Ê±¼ä,ÉùÍûÏÞÖÆµÄÊÆÁ¦,ÉùÍûµÈ¼¶ÏÞÖÆ,µÀ¾ßµÄÐû´«Í¼Æ¬(Ã»ÓÐ3DÄ£ÐÍÊ±ÏÔÊ¾),3DÄ£ÐÍµÄ±³¾°Í¼Æ¬,ÉãÏñ»úÓëÄ£ÐÍµÄ¾àÀë,ÉãÏñ»úÓëË®Æ½ÃæµÄ½Ç¶È(»¡¶È),Ä£ÐÍµÄÐý×ª½Ç¶È(»¡¶È),Ä£ÐÍµÄÆ«ÒÆÁ¿,"ÊÇ·ñ""²»Ô¤ÀÀÄ£ÐÍ»òÐû´«Í¼Æ¬"""
262,6098,1000,,,"Kim Long",,,,,,,,shop_model_bk1,,,,,
263,6099,1000,,,"Lam Long",,,,,,,,shop_model_bk1,,,,,
264,8044,1000,,,"Mèo M§p",,,,,,,,shop_model_bk1,,,,,
265,8045,1000,,,"Kim Ngßu",,,,,,,,shop_model_bk1,,,,,
266,8053,10,,,"Th¤t S¡c Thiên Lam Bäo ThÕch",,,,,,,,shop_model_bk1,,,,,
267,8054,20,,,"Th¤t S¡c Phï Thúy Løc Bäo ThÕch",,,,,,,,shop_model_bk1,,,,,
268,8055,30,,,"Th¤t S¡c BÕch Kim Bäo ThÕch",,,,,,,,shop_model_bk1,,,,,
269,8056,5000,,,"Kim Tinh Thiªt Ng÷c",,,,,,,shop_model_bk1,,,,,
270,8018,100,,,"Kim Tinh (Ti¬u)",,,,,,,,shop_model_bk1,,,,,
271,8019,300,,,"Kim Tinh (Trung)",,,,,,,,shop_model_bk1,,,,,
272,8020,500,,,"Kim Tinh (ÐÕi)",,,,,,,,shop_model_bk1,,,,,
273,8066,1000,,,"H± C¦u",,,,,,,,shop_model_bk1,,,,,
274,8500,10000,,,"NgÕo Thiên Phi Kiªm S",,,,,,,,shop_model_bk1,,,,,
275,8501,10000,,,"Ð° Th¥n Phi Ðao S",,,,,,,,shop_model_bk1,,,,,
276,8502,10000,,,"Luân H°i Thi«n Trßþng S",,,,,,,,shop_model_bk1,,,,,
277,8503,10000,,,"C¯t Ma Th¥n Côn S",,,,,,,,shop_model_bk1,,,,,
278,8504,10000,,,"Vçn Thiên Liên Ðao S",,,,,,,,shop_model_bk1,,,,,
279,8505,10000,,,"Thiên Tinh Song Ðoän S",,,,,,,,shop_model_bk1,,,,,
280,8506,10000,,,"Minh Nguy®t Chi Luân S",,,,,,,,shop_model_bk1,,,,,
281,8507,10000,,,"H¯n Ðµn Höa Châu S",,,,,,,,shop_model_bk1,,,,,
282,8508,10000,,,"Tru Thiên Th¥n Cung S",,,,,,,,shop_model_bk1,,,,,
283,8509,10000,,,"Tinh Vân Cñ Nö S",,,,,,,,shop_model_bk1,,,,,
284,8510,5000,,,"NgÕo Thiên Phi Kiªm",,,,,,,,shop_model_bk1,,,,,
285,8511,5000,,,"Ð° Th¥n Phi Ðao",,,,,,,,shop_model_bk1,,,,,
286,8512,5000,,,"Luân H°i Thi«n Trßþng",,,,,,,,shop_model_bk1,,,,,
287,8513,5000,,,"C¯t Ma Th¥n Côn",,,,,,,,shop_model_bk1,,,,,
288,8514,5000,,,"Vçn Thiên Liên Ðao",,,,,,,,shop_model_bk1,,,,,
289,8515,5000,,,"Thiên Tinh Song Ðoän",,,,,,,,shop_model_bk1,,,,,
290,8516,5000,,,"Minh Nguy®t Chi Luân",,,,,,,,shop_model_bk1,,,,,
291,8517,5000,,,"H¯n Ðµn Höa Châu",,,,,,,,shop_model_bk1,,,,,
292,8518,5000,,,"Tru Thiên Th¥n Cung",,,,,,,,shop_model_bk1,,,,,
293,8519,5000,,,"Tinh Vân Cñ Nö",,,,,,,,shop_model_bk1,,,,,
294,8089,3000,,,"Tiên ¿ng",,,,,,,,shop_model_bk1,,,,,
295,8090,3000,,,"C§u Bé Giáng Sinh",,,,,,,,shop_model_bk1,,,,,
296,8091,3000,,,"Cô Bé Giáng Sinh",,,,,,,,shop_model_bk1,,,,,
297,8092,3000,,,"Bång Xuyên Ngân H°",,,,,,,,shop_model_bk1,,,,,
298,8093,3000,,,"Ngß¶i Tuyªt",,,,,,,,shop_model_bk1,,,,,
299,8094,3000,,,"Nguy®t Nga",,,,,,,,shop_model_bk1,,,,,
300,8095,3000,,,"Ti¬u Hï",,,,,,,,shop_model_bk1,,,,,
301,8096,3000,,,"Báo Tuyªt",,,,,,,,shop_model_bk1,,,,,
302,8097,3000,,,"Pha Lê Yªt Ngçu",,,,,,,,shop_model_bk1,,,,,
303,8098,3000,,,"Ngßu Lang",,,,,,,,shop_model_bk1,,,,,
304,8099,3000,,,"ChÑc Næ",,,,,,,,shop_model_bk1,,,,,
305,8100,3000,,,"Ông Già Tuyªt",,,,,,,,shop_model_bk1,,,,,
306,8677,3000,,,"Nga My (Pet)",,,,,,,,shop_model_bk1,,,,,
307,8678,3000,,,"Ph§t Môn (Pet)",,,,,,,,shop_model_bk1,,,,,
308,8679,3000,,,"Bách Hoa (Pet)",,,,,,,,shop_model_bk1,,,,,
309,8680,3000,,,"Thanh Thành (Pet)",,,,,,,,shop_model_bk1,,,,,
310,8681,3000,,,"Tiên C¥m (Pet)",,,,,,,,shop_model_bk1,,,,,
